stat	value
thetaS_last_obs_p_mean	0.9942551
thetaI_last_obs_p_mean	0.0006446691
thetaR_last_obs_p_mean	0.005100243
thetaS_last_obs_p_ci_low	0.9939509
thetaS_last_obs_p_ci_med	0.9942552
thetaS_last_obs_p_ci_up	0.9945567
thetaI_last_obs_p_ci_low	0.0005456333
thetaI_last_obs_p_ci_med	0.0006435297
thetaI_last_obs_p_ci_up	0.0007495615
thetaR_last_obs_p_ci_low	0.00481715
thetaR_last_obs_p_ci_med	0.005099665
thetaR_last_obs_p_ci_up	0.005386823
R0_p_mean	1.078356
R0_p_ci_low	0.8062774
R0_p_ci_med	1.064959
R0_p_ci_up	1.430557
gamma_p_mean	0.100974
gamma_p_ci_low	0.04195353
gamma_p_ci_med	0.1013737
gamma_p_ci_up	0.1582861
beta_p_mean	0.1075981
beta_p_ci_low	0.0460039
beta_p_ci_med	0.1076688
beta_p_ci_up	0.1691735
incidence_mean	0.03667072
incidence_ci_low	0.003215765
incidence_ci_median	0.01702122
incidence_ci_up	0.1994422
thetaI_tp1_mean	0.003284601
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0009664561
thetaI_tp1_ci_up	0.02178875
thetaR_tp1_mean	0.02352288
thetaR_tp1_ci_low	0.004692938
thetaR_tp1_ci_med	0.01521113
thetaR_tp1_ci_up	0.09536613
Y_tp1_mean	0.00328506
Y_tp1_ci_low	0
Y_tp1_ci_med	0.000966208
Y_tp1_ci_up	0.02178162
R_tp1_mean	0.02352256
R_tp1_ci_low	0.004676303
R_tp1_ci_med	0.01521608
R_tp1_ci_up	0.0954272
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03433445
thetaR_max_ci_low	0.004479643
thetaR_max_ci_med	0.01826549
thetaR_max_ci_up	0.1702783
cumInf_mean	0.03878383
cumInf_ci_low	0.004518248
cumInf_ci_med	0.01947222
cumInf_ci_up	0.2002284
dthetaI_tp1_date	02/09/21
first_tp_mean	10/11/20
first_tp_ci_low	08/25/20
first_tp_ci_med	09/12/20
first_tp_ci_up	03/11/21
dthetaI_tp2_date	02/09/21
second_tp_mean	10/13/20
second_tp_ci_low	08/27/20
second_tp_ci_med	09/14/20
second_tp_ci_up	03/11/21
end_p_mean	02/27/21
end_p_ci_low	12/06/20
end_p_ci_med	03/11/21
end_p_ci_up	03/11/21
begin_str	08/24/2020
