stat	value
thetaS_last_obs_p_mean	0.9981364
thetaI_last_obs_p_mean	0.0001109527
thetaR_last_obs_p_mean	0.001752651
thetaS_last_obs_p_ci_low	0.997965
thetaS_last_obs_p_ci_med	0.9981372
thetaS_last_obs_p_ci_up	0.9983033
thetaI_last_obs_p_ci_low	7.251818e-05
thetaI_last_obs_p_ci_med	0.0001100639
thetaI_last_obs_p_ci_up	0.0001542376
thetaR_last_obs_p_ci_low	0.001591156
thetaR_last_obs_p_ci_med	0.001751791
thetaR_last_obs_p_ci_up	0.001918535
R0_p_mean	1.376335
R0_p_ci_low	0.6467537
R0_p_ci_med	1.252124
R0_p_ci_up	2.791045
gamma_p_mean	0.05465058
gamma_p_ci_low	0.007120235
gamma_p_ci_med	0.04147338
gamma_p_ci_up	0.1740081
beta_p_mean	0.06591309
beta_p_ci_low	0.009786272
beta_p_ci_med	0.05462784
beta_p_ci_up	0.1863278
incidence_mean	0.02620545
incidence_ci_low	9.955451e-05
incidence_ci_median	0.0009792294
incidence_ci_up	0.3220574
thetaI_tp1_mean	0.006142509
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.06749284
thetaR_tp1_mean	0.01522896
thetaR_tp1_ci_low	0.0002507547
thetaR_tp1_ci_med	0.002670872
thetaR_tp1_ci_up	0.1465786
Y_tp1_mean	0.006142763
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.06739362
R_tp1_mean	0.01523009
R_tp1_ci_low	0.0002465433
R_tp1_ci_med	0.00266886
R_tp1_ci_up	0.146401
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01990125
thetaR_max_ci_low	0.0002037198
thetaR_max_ci_med	0.002744416
thetaR_max_ci_up	0.2181828
cumInf_mean	0.02741259
cumInf_ci_low	0.0002069425
cumInf_ci_med	0.002896073
cumInf_ci_up	0.3194831
dthetaI_tp1_date	02/28/21
first_tp_mean	10/29/20
first_tp_ci_low	08/26/20
first_tp_ci_med	09/23/20
first_tp_ci_up	03/13/21
dthetaI_tp2_date	02/28/21
second_tp_mean	11/01/20
second_tp_ci_low	08/28/20
second_tp_ci_med	09/24/20
second_tp_ci_up	03/13/21
end_p_mean	01/12/21
end_p_ci_low	10/22/20
end_p_ci_med	01/13/21
end_p_ci_up	03/13/21
begin_str	08/26/2020
