stat	value
thetaS_last_obs_p_mean	0.996816
thetaI_last_obs_p_mean	0.0003278721
thetaR_last_obs_p_mean	0.002856162
thetaS_last_obs_p_ci_low	0.9965903
thetaS_last_obs_p_ci_med	0.996817
thetaS_last_obs_p_ci_up	0.9970368
thetaI_last_obs_p_ci_low	0.0002585511
thetaI_last_obs_p_ci_med	0.0003269285
thetaI_last_obs_p_ci_up	0.0004025142
thetaR_last_obs_p_ci_low	0.002648534
thetaR_last_obs_p_ci_med	0.002855085
thetaR_last_obs_p_ci_up	0.003069731
R0_p_mean	1.31956
R0_p_ci_low	0.7280955
R0_p_ci_med	1.216372
R0_p_ci_up	2.504825
gamma_p_mean	0.06624994
gamma_p_ci_low	0.009553551
gamma_p_ci_med	0.05685928
gamma_p_ci_up	0.171526
beta_p_mean	0.07902266
beta_p_ci_low	0.01351624
beta_p_ci_med	0.07094591
beta_p_ci_up	0.1880249
incidence_mean	0.005470178
incidence_ci_low	0.0003658397
incidence_ci_median	0.0023165
incidence_ci_up	0.03058783
thetaI_tp1_mean	0.001173184
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.009326533
thetaR_tp1_mean	0.006459493
thetaR_tp1_ci_low	0.0009994106
thetaR_tp1_ci_med	0.004457787
thetaR_tp1_ci_up	0.02415878
Y_tp1_mean	0.001173341
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.00931849
R_tp1_mean	0.006460077
R_tp1_ci_low	0.0009953216
R_tp1_ci_med	0.004457277
R_tp1_ci_up	0.02413062
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.006459493
thetaR_max_ci_low	0.0009994106
thetaR_max_ci_med	0.004457787
thetaR_max_ci_up	0.02415878
cumInf_mean	0.007632677
cumInf_ci_low	0.001018716
cumInf_ci_med	0.004633246
cumInf_ci_up	0.03298668
dthetaI_tp1_date	03/14/21
first_tp_mean	10/05/20
first_tp_ci_low	08/27/20
first_tp_ci_med	09/28/20
first_tp_ci_up	03/14/21
dthetaI_tp2_date	03/14/21
second_tp_mean	10/07/20
second_tp_ci_low	08/29/20
second_tp_ci_med	09/29/20
second_tp_ci_up	03/14/21
end_p_mean	01/28/21
end_p_ci_low	11/08/20
end_p_ci_med	02/09/21
end_p_ci_up	03/14/21
begin_str	08/27/2020
