date	value	lower_ci	upper_ci	incidence	scenario
2020-10-13	728270	657818	801700	NA	Cautious return
2020-10-14	733851	652044	819900	5581	Cautious return
2020-10-15	739351	647602	836092	5500	Cautious return
2020-10-16	744709	643289	851858	5358	Cautious return
2020-10-17	749958	639984	866909	5249	Cautious return
2020-10-18	755125	637227	881332	5167	Cautious return
2020-10-19	760124	634806	894865	4999	Cautious return
2020-10-20	765010	632987	908182	4886	Cautious return
2020-10-21	769792	630768	920814	4782	Cautious return
2020-10-22	774408	628864	933108	4616	Cautious return
2020-10-23	778947	626925	945355	4539	Cautious return
2020-10-24	783365	625706	956942	4418	Cautious return
2020-10-25	787675	624341	968423	4310	Cautious return
2020-10-26	791939	623578	978889	4264	Cautious return
2020-10-27	796063	622072	990070	4124	Cautious return
2020-10-28	800107	620881	1000621	4044	Cautious return
2020-10-29	804114	620506	1011420	4007	Cautious return
2020-10-30	807972	619290	1021392	3858	Cautious return
2020-10-31	811716	618955	1030920	3744	Cautious return
2020-11-01	815409	618442	1040204	3693	Cautious return
2020-11-02	818979	617365	1049581	3570	Cautious return
2020-11-03	822439	616709	1058629	3460	Cautious return
2020-11-04	825852	616079	1067479	3413	Cautious return
2020-11-05	829288	615351	1075317	3436	Cautious return
2020-11-06	832572	615029	1084661	3284	Cautious return
2020-11-07	835775	613923	1092510	3203	Cautious return
2020-11-08	838870	613680	1101138	3095	Cautious return
2020-11-09	841974	612658	1109246	3104	Cautious return
2020-11-10	845001	612583	1117401	3027	Cautious return
2020-11-11	847915	612474	1126298	2914	Cautious return
2020-11-12	850821	611263	1133651	2906	Cautious return
2020-11-13	853636	611974	1140419	2815	Cautious return
2020-11-14	856369	611123	1148246	2733	Cautious return
2020-11-15	859107	610637	1154934	2738	Cautious return
2020-11-16	861746	610669	1162777	2639	Cautious return
2020-11-17	864293	610843	1169680	2547	Cautious return
2020-11-18	866807	610160	1176437	2514	Cautious return
2020-11-19	869329	609584	1184264	2522	Cautious return
2020-11-20	871727	608986	1191093	2398	Cautious return
2020-11-21	874082	608811	1197888	2355	Cautious return
2020-11-22	876404	608931	1203554	2322	Cautious return
2020-11-23	878680	608230	1210886	2276	Cautious return
2020-11-24	880881	608106	1216771	2201	Cautious return
2020-11-25	882983	607847	1222003	2102	Cautious return
2020-11-26	885118	607587	1228145	2135	Cautious return
2020-11-27	887145	606460	1234270	2027	Cautious return
2020-11-28	889251	605975	1240663	2106	Cautious return
2020-11-29	891279	605538	1245539	2028	Cautious return
2020-11-30	893249	604955	1252179	1970	Cautious return
2020-12-01	895181	605465	1256588	1932	Cautious return
2020-12-02	897098	604261	1264000	1917	Cautious return
2020-12-03	898962	604172	1269125	1864	Cautious return
2020-12-04	900746	603781	1274994	1784	Cautious return
2020-12-05	902482	603484	1279420	1736	Cautious return
2020-12-06	904178	602193	1284831	1696	Cautious return
2020-12-07	905994	602069	1290781	1816	Cautious return
2020-12-08	907658	601809	1295887	1664	Cautious return
2020-12-09	909296	601655	1301267	1638	Cautious return
2020-12-10	910911	600390	1306874	1615	Cautious return
2020-12-11	912434	600331	1311932	1523	Cautious return
2020-12-12	913998	598972	1316609	1564	Cautious return
2020-12-13	915467	597513	1322329	1469	Cautious return
2020-12-14	916912	597452	1326972	1445	Cautious return
2020-12-15	918364	597159	1330886	1452	Cautious return
2020-12-16	919770	595885	1336070	1406	Cautious return
2020-12-17	921162	595176	1339896	1392	Cautious return
2020-12-18	922576	594620	1345281	1414	Cautious return
2020-12-19	923935	594167	1349715	1359	Cautious return
2020-12-20	925372	594823	1354876	1437	Cautious return
2020-12-21	926717	593470	1358213	1345	Cautious return
2020-12-22	927927	592999	1362353	1210	Cautious return
2020-12-23	929209	592099	1366791	1282	Cautious return
2020-12-24	930423	592172	1371210	1214	Cautious return
2020-12-25	931639	591155	1376898	1216	Cautious return
2020-12-26	932741	590774	1381702	1102	Cautious return
2020-12-27	933904	590169	1384870	1163	Cautious return
2020-12-28	935045	589174	1391607	1141	Cautious return
2020-12-29	936101	588581	1393373	1056	Cautious return
2020-12-30	937234	587145	1398434	1133	Cautious return
2020-12-31	938255	586959	1402471	1021	Cautious return
2021-01-01	939347	585797	1406841	1092	Cautious return
2021-01-02	940383	585659	1410243	1036	Cautious return
2021-01-03	941400	584770	1413564	1017	Cautious return
2021-01-04	942379	583722	1417937	979	Cautious return
2021-01-05	943370	583501	1420983	991	Cautious return
2021-01-06	944361	582459	1425167	991	Cautious return
