stat	value
thetaS_last_obs_p_mean	0.9977975
thetaI_last_obs_p_mean	0.0002009255
thetaR_last_obs_p_mean	0.002001575
thetaS_last_obs_p_ci_low	0.9976104
thetaS_last_obs_p_ci_med	0.9977982
thetaS_last_obs_p_ci_up	0.9979816
thetaI_last_obs_p_ci_low	0.0001475215
thetaI_last_obs_p_ci_med	0.0002000202
thetaI_last_obs_p_ci_up	0.000259299
thetaR_last_obs_p_ci_low	0.001827011
thetaR_last_obs_p_ci_med	0.002000838
thetaR_last_obs_p_ci_up	0.002180894
R0_p_mean	1.233462
R0_p_ci_low	0.6589038
R0_p_ci_med	1.146563
R0_p_ci_up	2.324292
gamma_p_mean	0.05896142
gamma_p_ci_low	0.00943384
gamma_p_ci_med	0.05302932
gamma_p_ci_up	0.140147
beta_p_mean	0.06669274
beta_p_ci_low	0.01255265
beta_p_ci_med	0.0612468
beta_p_ci_up	0.1507057
incidence_mean	0.001459291
incidence_ci_low	0.0002424484
incidence_ci_median	0.001179512
incidence_ci_up	0.004408729
thetaI_tp1_mean	0.0003038803
thetaI_tp1_ci_low	0.0002484798
thetaI_tp1_ci_med	0.0003032827
thetaI_tp1_ci_up	0.00036302
thetaR_tp1_mean	0.001002724
thetaR_tp1_ci_low	0.0008998554
thetaR_tp1_ci_med	0.001002021
thetaR_tp1_ci_up	0.001108912
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.002441307
R_tp1_ci_low	0.0006303737
R_tp1_ci_med	0.002242951
R_tp1_ci_up	0.005323498
thetaI_tp2_mean	0.0003405656
thetaI_tp2_ci_low	0.000282128
thetaI_tp2_ci_med	0.0003399843
thetaI_tp2_ci_up	0.0004027093
thetaR_tp2_mean	0.001318463
thetaR_tp2_ci_low	0.001201166
thetaR_tp2_ci_med	0.001317584
thetaR_tp2_ci_up	0.00144033
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.002700631
thetaR_max_ci_low	0.0002753093
thetaR_max_ci_med	0.002373087
thetaR_max_ci_up	0.006996692
cumInf_mean	0.00280462
cumInf_ci_low	0.0002790879
cumInf_ci_med	0.002408785
cumInf_ci_up	0.007507225
dthetaI_tp1_date	09/05/20
first_tp_mean	09/09/20
first_tp_ci_low	08/29/20
first_tp_ci_med	09/07/20
first_tp_ci_up	10/09/20
dthetaI_tp2_date	09/16/20
second_tp_mean	09/11/20
second_tp_ci_low	08/31/20
second_tp_ci_med	09/09/20
second_tp_ci_up	10/11/20
end_p_mean	12/27/20
end_p_ci_low	10/30/20
end_p_ci_med	12/13/20
end_p_ci_up	03/16/21
begin_str	08/29/2020
