date	value	lower_ci	upper_ci	incidence	scenario
2020-10-17	315202	262873	372006	NA	Normal (pre-intervention)
2020-10-18	317732	257132	385039	2530	Normal (pre-intervention)
2020-10-19	320330	252026	396851	2598	Normal (pre-intervention)
2020-10-20	322977	247949	408276	2647	Normal (pre-intervention)
2020-10-21	325724	243955	419616	2747	Normal (pre-intervention)
2020-10-22	328465	240721	430425	2741	Normal (pre-intervention)
2020-10-23	331364	237479	442091	2899	Normal (pre-intervention)
2020-10-24	334293	234692	453370	2929	Normal (pre-intervention)
2020-10-25	337288	232427	464396	2995	Normal (pre-intervention)
2020-10-26	340349	229844	476061	3061	Normal (pre-intervention)
2020-10-27	343505	227744	487537	3156	Normal (pre-intervention)
2020-10-28	346689	225627	500211	3184	Normal (pre-intervention)
2020-10-29	349982	223958	512495	3293	Normal (pre-intervention)
2020-10-30	353306	222119	525037	3324	Normal (pre-intervention)
2020-10-31	356744	220068	537631	3438	Normal (pre-intervention)
2020-11-01	360274	218316	551088	3530	Normal (pre-intervention)
2020-11-02	363871	216674	564290	3597	Normal (pre-intervention)
2020-11-03	367577	215063	578740	3706	Normal (pre-intervention)
2020-11-04	371296	213611	594242	3719	Normal (pre-intervention)
2020-11-05	375161	212524	608364	3865	Normal (pre-intervention)
2020-11-06	379116	211103	624380	3955	Normal (pre-intervention)
2020-11-07	383171	209990	641134	4055	Normal (pre-intervention)
2020-11-08	387320	208624	657615	4149	Normal (pre-intervention)
2020-11-09	391597	207310	675593	4277	Normal (pre-intervention)
2020-11-10	395999	206269	694471	4402	Normal (pre-intervention)
2020-11-11	400546	205204	714749	4547	Normal (pre-intervention)
2020-11-12	405175	203933	734070	4629	Normal (pre-intervention)
2020-11-13	409951	203199	755790	4776	Normal (pre-intervention)
2020-11-14	414807	202332	775990	4856	Normal (pre-intervention)
2020-11-15	419826	201651	799551	5019	Normal (pre-intervention)
2020-11-16	424968	200533	822743	5142	Normal (pre-intervention)
2020-11-17	430263	199617	849384	5295	Normal (pre-intervention)
2020-11-18	435729	198537	874060	5466	Normal (pre-intervention)
2020-11-19	441325	197747	902644	5596	Normal (pre-intervention)
2020-11-20	447127	196755	929576	5802	Normal (pre-intervention)
