date	value	lower_ci	upper_ci	incidence	scenario
2020-10-19	202522	176780	229987	NA	Cautious return
2020-10-20	203425	173528	235351	903	Cautious return
2020-10-21	204311	170886	240212	886	Cautious return
2020-10-22	205157	168603	244960	846	Cautious return
2020-10-23	205986	166440	249308	829	Cautious return
2020-10-24	206792	164539	253249	806	Cautious return
2020-10-25	207597	162792	257306	805	Cautious return
2020-10-26	208377	161103	261235	780	Cautious return
2020-10-27	209172	159508	264874	795	Cautious return
2020-10-28	209940	158200	268264	768	Cautious return
2020-10-29	210696	156848	271659	756	Cautious return
2020-10-30	211449	155520	275231	753	Cautious return
2020-10-31	212172	154521	278663	723	Cautious return
2020-11-01	212900	153324	281861	728	Cautious return
2020-11-02	213607	152325	284767	707	Cautious return
2020-11-03	214269	151108	288011	662	Cautious return
2020-11-04	214962	150142	291221	693	Cautious return
2020-11-05	215626	149345	294161	664	Cautious return
2020-11-06	216268	148377	296915	642	Cautious return
2020-11-07	216917	147543	299693	649	Cautious return
2020-11-08	217552	146715	302377	635	Cautious return
2020-11-09	218206	146035	305296	654	Cautious return
2020-11-10	218830	145233	307803	624	Cautious return
2020-11-11	219441	144550	310121	611	Cautious return
2020-11-12	220041	143886	312788	600	Cautious return
2020-11-13	220634	143071	315221	593	Cautious return
2020-11-14	221245	142560	318017	611	Cautious return
2020-11-15	221794	141854	320414	549	Cautious return
2020-11-16	222372	141151	323114	578	Cautious return
2020-11-17	222906	140696	325465	534	Cautious return
2020-11-18	223443	140191	328118	537	Cautious return
2020-11-19	224007	139567	330235	564	Cautious return
2020-11-20	224513	138984	332778	506	Cautious return
2020-11-21	225037	138591	334969	524	Cautious return
2020-11-22	225554	137894	336956	517	Cautious return
2020-11-23	226040	137245	339442	486	Cautious return
2020-11-24	226544	136901	341952	504	Cautious return
2020-11-25	227033	136500	344024	489	Cautious return
2020-11-26	227510	136142	346020	477	Cautious return
2020-11-27	227977	135690	348367	467	Cautious return
2020-11-28	228445	135257	350181	468	Cautious return
2020-11-29	228909	134826	352239	464	Cautious return
2020-11-30	229368	134480	354294	459	Cautious return
2020-12-01	229830	133821	356865	462	Cautious return
2020-12-02	230256	133403	358860	426	Cautious return
2020-12-03	230663	132947	360834	407	Cautious return
2020-12-04	231096	132639	362754	433	Cautious return
2020-12-05	231519	132181	364554	423	Cautious return
2020-12-06	231970	131834	366484	451	Cautious return
2020-12-07	232384	131412	368439	414	Cautious return
2020-12-08	232800	131300	370461	416	Cautious return
2020-12-09	233196	130718	372562	396	Cautious return
2020-12-10	233595	130464	374597	399	Cautious return
2020-12-11	234002	130012	376098	407	Cautious return
2020-12-12	234389	129626	378102	387	Cautious return
2020-12-13	234783	129349	380170	394	Cautious return
2020-12-14	235184	129039	381885	401	Cautious return
2020-12-15	235563	128512	383864	379	Cautious return
2020-12-16	235942	128473	385895	379	Cautious return
2020-12-17	236338	128324	387123	396	Cautious return
2020-12-18	236711	127826	388799	373	Cautious return
2020-12-19	237077	127495	391270	366	Cautious return
2020-12-20	237443	127170	392767	366	Cautious return
2020-12-21	237803	126948	394324	360	Cautious return
2020-12-22	238157	126473	396127	354	Cautious return
2020-12-23	238508	126056	397893	351	Cautious return
2020-12-24	238839	125666	399645	331	Cautious return
2020-12-25	239179	125453	401258	340	Cautious return
2020-12-26	239518	124839	403517	339	Cautious return
2020-12-27	239825	124546	404629	307	Cautious return
2020-12-28	240139	124290	406204	314	Cautious return
2020-12-29	240433	124015	408120	294	Cautious return
2020-12-30	240761	123658	409438	328	Cautious return
2020-12-31	241092	123386	411121	331	Cautious return
2021-01-01	241419	122861	412913	327	Cautious return
2021-01-02	241704	122690	415154	285	Cautious return
2021-01-03	242000	122375	416842	296	Cautious return
2021-01-04	242291	122194	417551	291	Cautious return
2021-01-05	242595	121915	419525	304	Cautious return
2021-01-06	242899	121632	420927	304	Cautious return
2021-01-07	243193	121389	422253	294	Cautious return
2021-01-08	243464	121017	423932	271	Cautious return
2021-01-09	243750	120611	425765	286	Cautious return
2021-01-10	244059	120102	427462	309	Cautious return
2021-01-11	244343	120038	428927	284	Cautious return
2021-01-12	244637	119375	430784	294	Cautious return
2021-01-13	244937	119255	432147	300	Cautious return
2021-01-14	245204	118878	433182	267	Cautious return
2021-01-15	245491	118853	435114	287	Cautious return
2021-01-16	245752	118171	436883	261	Cautious return
2021-01-17	246040	118062	438851	288	Cautious return
2021-01-18	246321	117630	439360	281	Cautious return
2021-01-19	246591	117528	441605	270	Cautious return
2021-01-20	246889	117278	443470	298	Cautious return
2021-01-21	247156	116926	444642	267	Cautious return
2021-01-22	247422	116556	446751	266	Cautious return
2021-01-23	247675	116360	447903	253	Cautious return
2021-01-24	247933	116008	449759	258	Cautious return
2021-01-25	248177	115638	450877	244	Cautious return
2021-01-26	248423	115351	451710	246	Cautious return
2021-01-27	248664	115144	453545	241	Cautious return
2021-01-28	248927	114889	455231	263	Cautious return
2021-01-29	249161	114447	457033	234	Cautious return
2021-01-30	249383	113960	458454	222	Cautious return
2021-01-31	249626	113771	459695	243	Cautious return
2021-02-01	249878	113336	461016	252	Cautious return
2021-02-02	250115	113263	462831	237	Cautious return
2021-02-03	250377	112756	464379	262	Cautious return
2021-02-04	250603	112493	465377	226	Cautious return
2021-02-05	250846	111989	466527	243	Cautious return
2021-02-06	251072	111598	468319	226	Cautious return
2021-02-07	251312	111645	469688	240	Cautious return
2021-02-08	251536	110989	471466	224	Cautious return
2021-02-09	251767	110603	472882	231	Cautious return
2021-02-10	252005	110373	474374	238	Cautious return
2021-02-11	252209	109924	475710	204	Cautious return
2021-02-12	252425	109659	477149	216	Cautious return
2021-02-13	252671	109237	478943	246	Cautious return
2021-02-14	252905	108733	479924	234	Cautious return
2021-02-15	253134	108426	481879	229	Cautious return
2021-02-16	253328	107960	482846	194	Cautious return
2021-02-17	253531	107642	484559	203	Cautious return
2021-02-18	253718	107379	485736	187	Cautious return
2021-02-19	253947	106989	487241	229	Cautious return
2021-02-20	254168	106734	488402	221	Cautious return
2021-02-21	254373	106338	490239	205	Cautious return
2021-02-22	254601	106083	491302	228	Cautious return
2021-02-23	254805	105778	492681	204	Cautious return
2021-02-24	255024	105173	493924	219	Cautious return
2021-02-25	255233	104864	495857	209	Cautious return
2021-02-26	255435	104822	498003	202	Cautious return
2021-02-27	255636	104580	498462	201	Cautious return
2021-02-28	255848	104365	500884	212	Cautious return
2021-03-01	256084	104016	502044	236	Cautious return
