stat	value
thetaS_last_obs_p_mean	0.9974709
thetaI_last_obs_p_mean	0.0003158248
thetaR_last_obs_p_mean	0.002213271
thetaS_last_obs_p_ci_low	0.9972703
thetaS_last_obs_p_ci_med	0.9974719
thetaS_last_obs_p_ci_up	0.9976662
thetaI_last_obs_p_ci_low	0.0002488651
thetaI_last_obs_p_ci_med	0.0003148457
thetaI_last_obs_p_ci_up	0.0003880444
thetaR_last_obs_p_ci_low	0.002030796
thetaR_last_obs_p_ci_med	0.002212388
thetaR_last_obs_p_ci_up	0.002400257
R0_p_mean	1.415455
R0_p_ci_low	0.7546669
R0_p_ci_med	1.308589
R0_p_ci_up	2.691443
gamma_p_mean	0.05550326
gamma_p_ci_low	0.008986638
gamma_p_ci_med	0.04798893
gamma_p_ci_up	0.1407896
beta_p_mean	0.07116659
beta_p_ci_low	0.013118
beta_p_ci_med	0.0650026
beta_p_ci_up	0.1633365
incidence_mean	0.05570059
incidence_ci_low	0.0004204321
incidence_ci_median	0.008579118
incidence_ci_up	0.4632786
thetaI_tp1_mean	0.01114645
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001430903
thetaI_tp1_ci_up	0.09305834
thetaR_tp1_mean	0.02704739
thetaR_tp1_ci_low	0.001044397
thetaR_tp1_ci_med	0.006840178
thetaR_tp1_ci_up	0.2133915
Y_tp1_mean	0.01114849
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001429187
Y_tp1_ci_up	0.09305683
R_tp1_mean	0.02704687
R_tp1_ci_low	0.001038273
R_tp1_ci_med	0.00683944
R_tp1_ci_up	0.21348
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0417525
thetaR_max_ci_low	0.0009604705
thetaR_max_ci_med	0.008276461
thetaR_max_ci_up	0.3475439
cumInf_mean	0.05686914
cumInf_ci_low	0.001006176
cumInf_ci_med	0.01040471
cumInf_ci_up	0.4608187
dthetaI_tp1_date	03/01/21
first_tp_mean	12/09/20
first_tp_ci_low	09/05/20
first_tp_ci_med	10/12/20
first_tp_ci_up	03/22/21
dthetaI_tp2_date	03/01/21
second_tp_mean	12/11/20
second_tp_ci_low	09/07/20
second_tp_ci_med	10/13/20
second_tp_ci_up	03/22/21
end_p_mean	03/05/21
end_p_ci_low	11/25/20
end_p_ci_med	03/22/21
end_p_ci_up	03/22/21
begin_str	09/04/2020
