date	value	lower_ci	upper_ci	incidence	scenario
2020-10-20	335737	311726	360575	NA	Normal (pre-intervention)
2020-10-21	338181	309889	367533	2444	Normal (pre-intervention)
2020-10-22	340628	308625	374043	2447	Normal (pre-intervention)
2020-10-23	343071	307649	380206	2443	Normal (pre-intervention)
2020-10-24	345578	307074	386195	2507	Normal (pre-intervention)
2020-10-25	348056	306278	392127	2478	Normal (pre-intervention)
2020-10-26	350566	305775	398003	2510	Normal (pre-intervention)
2020-10-27	353075	305763	403874	2509	Normal (pre-intervention)
2020-10-28	355613	305447	409506	2538	Normal (pre-intervention)
2020-10-29	358151	305057	415410	2538	Normal (pre-intervention)
2020-10-30	360690	305076	420777	2539	Normal (pre-intervention)
2020-10-31	363228	305021	426395	2538	Normal (pre-intervention)
2020-11-01	365816	304931	432351	2588	Normal (pre-intervention)
2020-11-02	368412	305015	438063	2596	Normal (pre-intervention)
2020-11-03	370988	305067	444022	2576	Normal (pre-intervention)
2020-11-04	373597	305138	449948	2609	Normal (pre-intervention)
2020-11-05	376217	305232	455903	2620	Normal (pre-intervention)
2020-11-06	378856	305356	461756	2639	Normal (pre-intervention)
2020-11-07	381504	305704	467957	2648	Normal (pre-intervention)
2020-11-08	384165	305900	473975	2661	Normal (pre-intervention)
2020-11-09	386838	305883	479909	2673	Normal (pre-intervention)
2020-11-10	389536	305851	486165	2698	Normal (pre-intervention)
2020-11-11	392215	306155	492643	2679	Normal (pre-intervention)
2020-11-12	394935	306469	498961	2720	Normal (pre-intervention)
2020-11-13	397679	306637	505644	2744	Normal (pre-intervention)
2020-11-14	400435	307045	512023	2756	Normal (pre-intervention)
2020-11-15	403207	307077	518694	2772	Normal (pre-intervention)
2020-11-16	406028	307540	525492	2821	Normal (pre-intervention)
2020-11-17	408858	307789	531836	2830	Normal (pre-intervention)
2020-11-18	411679	308234	539124	2821	Normal (pre-intervention)
2020-11-19	414502	308476	546171	2823	Normal (pre-intervention)
2020-11-20	417357	308640	553376	2855	Normal (pre-intervention)
2020-11-21	420233	308922	560268	2876	Normal (pre-intervention)
2020-11-22	423128	309419	568113	2895	Normal (pre-intervention)
2020-11-23	426033	309296	575359	2905	Normal (pre-intervention)
2020-11-24	428966	309913	583429	2933	Normal (pre-intervention)
2020-11-25	431924	310315	591127	2958	Normal (pre-intervention)
2020-11-26	434910	310400	598788	2986	Normal (pre-intervention)
2020-11-27	437879	310858	606317	2969	Normal (pre-intervention)
2020-11-28	440881	311079	614941	3002	Normal (pre-intervention)
2020-11-29	443919	311349	623510	3038	Normal (pre-intervention)
