date	value	lower_ci	upper_ci	incidence	scenario
2020-10-21	167059	144559	190928	NA	No intervention
2020-10-22	169082	142945	197416	2023	No intervention
2020-10-23	171147	141657	203320	2065	No intervention
2020-10-24	173225	140565	209026	2078	No intervention
2020-10-25	175314	139779	214535	2089	No intervention
2020-10-26	177403	139151	219954	2089	No intervention
2020-10-27	179489	138534	225438	2086	No intervention
2020-10-28	181602	138029	230488	2113	No intervention
2020-10-29	183747	137833	235867	2145	No intervention
2020-10-30	185907	137564	241075	2160	No intervention
2020-10-31	188082	137393	246529	2175	No intervention
2020-11-01	190256	137364	251568	2174	No intervention
2020-11-02	192441	137312	256745	2185	No intervention
2020-11-03	194623	137088	262334	2182	No intervention
2020-11-04	196841	137199	267704	2218	No intervention
2020-11-05	199085	137187	272997	2244	No intervention
2020-11-06	201335	137336	278372	2250	No intervention
2020-11-07	203594	137297	284140	2259	No intervention
2020-11-08	205880	137332	289620	2286	No intervention
2020-11-09	208178	137600	295346	2298	No intervention
2020-11-10	210494	137626	300989	2316	No intervention
2020-11-11	212814	137834	306908	2320	No intervention
2020-11-12	215157	137838	312689	2343	No intervention
2020-11-13	217527	137952	318594	2370	No intervention
2020-11-14	219916	138142	324573	2389	No intervention
2020-11-15	222316	138438	331004	2400	No intervention
2020-11-16	224752	138790	337591	2436	No intervention
2020-11-17	227211	138897	343606	2459	No intervention
2020-11-18	229660	138930	350437	2449	No intervention
2020-11-19	232147	139198	357077	2487	No intervention
2020-11-20	234641	139221	363822	2494	No intervention
2020-11-21	237152	139449	370760	2511	No intervention
2020-11-22	239672	139886	377879	2520	No intervention
2020-11-23	242258	139804	385182	2586	No intervention
2020-11-24	244836	140243	392420	2578	No intervention
2020-11-25	247449	140345	399898	2613	No intervention
2020-11-26	250067	140524	408083	2618	No intervention
2020-11-27	252711	140616	415943	2644	No intervention
2020-11-28	255398	140814	423778	2687	No intervention
2020-11-29	258138	140849	431762	2740	No intervention
2020-11-30	260900	141152	439860	2762	No intervention
2020-12-01	263635	141356	448780	2735	No intervention
2020-12-02	266466	141269	458134	2831	No intervention
2020-12-03	269306	141837	466336	2840	No intervention
2020-12-04	272123	141862	476199	2817	No intervention
2020-12-05	275009	142075	484942	2886	No intervention
2020-12-06	277910	142243	494049	2901	No intervention
2020-12-07	280858	142128	504137	2948	No intervention
2020-12-08	283806	142466	514150	2948	No intervention
2020-12-09	286806	142360	524936	3000	No intervention
2020-12-10	289841	142641	534719	3035	No intervention
2020-12-11	292898	142535	545176	3057	No intervention
