stat	value
thetaS_last_obs_p_mean	0.9935563
thetaI_last_obs_p_mean	0.0005790999
thetaR_last_obs_p_mean	0.005864626
thetaS_last_obs_p_ci_low	0.9932389
thetaS_last_obs_p_ci_med	0.9935568
thetaS_last_obs_p_ci_up	0.9938699
thetaI_last_obs_p_ci_low	0.0004870201
thetaI_last_obs_p_ci_med	0.0005781401
thetaI_last_obs_p_ci_up	0.0006768144
thetaR_last_obs_p_ci_low	0.005565381
thetaR_last_obs_p_ci_med	0.005863876
thetaR_last_obs_p_ci_up	0.006167372
R0_p_mean	1.025635
R0_p_ci_low	0.619851
R0_p_ci_med	0.9866265
R0_p_ci_up	1.699699
gamma_p_mean	0.05775779
gamma_p_ci_low	0.01170924
gamma_p_ci_med	0.05602743
gamma_p_ci_up	0.1153498
beta_p_mean	0.05692939
beta_p_ci_low	0.0132499
beta_p_ci_med	0.05447959
beta_p_ci_up	0.1150766
incidence_mean	0.002927654
incidence_ci_low	0.0007735512
incidence_ci_median	0.002779151
incidence_ci_up	0.005954975
thetaI_tp1_mean	0.0008968766
thetaI_tp1_ci_low	0.0007984857
thetaI_tp1_ci_med	0.0008964137
thetaI_tp1_ci_up	0.0009979888
thetaR_tp1_mean	0.003315961
thetaR_tp1_ci_low	0.003126192
thetaR_tp1_ci_med	0.00331559
thetaR_tp1_ci_up	0.003510123
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.006894515
R_tp1_ci_low	0.00366768
R_tp1_ci_med	0.006630529
R_tp1_ci_up	0.01133151
thetaI_tp2_mean	0.0009021164
thetaI_tp2_ci_low	0.0008047915
thetaI_tp2_ci_med	0.0009013913
thetaI_tp2_ci_up	0.001003533
thetaR_tp2_mean	0.003446954
thetaR_tp2_ci_low	0.003253956
thetaR_tp2_ci_med	0.003446354
thetaR_tp2_ci_up	0.003643182
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.007287218
thetaR_max_ci_low	0.002860205
thetaR_max_ci_med	0.007029663
thetaR_max_ci_up	0.01316859
cumInf_mean	0.007372854
cumInf_ci_low	0.00288215
cumInf_ci_med	0.007095056
cumInf_ci_up	0.0134454
dthetaI_tp1_date	09/09/20
first_tp_mean	09/20/20
first_tp_ci_low	09/07/20
first_tp_ci_med	09/20/20
first_tp_ci_up	10/18/20
dthetaI_tp2_date	09/11/20
second_tp_mean	09/22/20
second_tp_ci_low	09/09/20
second_tp_ci_med	09/21/20
second_tp_ci_up	10/19/20
end_p_mean	01/28/21
end_p_ci_low	11/25/20
end_p_ci_med	01/22/21
end_p_ci_up	03/25/21
begin_str	09/07/2020
