date	value	lower_ci	upper_ci	incidence	scenario
2020-10-27	131705	114417	150604	NA	Normal (pre-intervention)
2020-10-28	132030	112030	153891	325	Normal (pre-intervention)
2020-10-29	132335	110022	157080	305	Normal (pre-intervention)
2020-10-30	132670	108424	159932	335	Normal (pre-intervention)
2020-10-31	132990	106883	162640	320	Normal (pre-intervention)
2020-11-01	133299	105350	165093	309	Normal (pre-intervention)
2020-11-02	133617	104177	167569	318	Normal (pre-intervention)
2020-11-03	133908	102781	169816	291	Normal (pre-intervention)
2020-11-04	134205	101752	172015	297	Normal (pre-intervention)
2020-11-05	134508	100682	174231	303	Normal (pre-intervention)
2020-11-06	134798	99660	176230	290	Normal (pre-intervention)
2020-11-07	135096	98953	178216	298	Normal (pre-intervention)
2020-11-08	135392	97983	180192	296	Normal (pre-intervention)
2020-11-09	135658	97189	182196	266	Normal (pre-intervention)
2020-11-10	135936	96339	184153	278	Normal (pre-intervention)
2020-11-11	136230	95592	185890	294	Normal (pre-intervention)
2020-11-12	136505	94973	187671	275	Normal (pre-intervention)
2020-11-13	136781	94389	189501	276	Normal (pre-intervention)
2020-11-14	137058	93538	191292	277	Normal (pre-intervention)
2020-11-15	137352	93042	193130	294	Normal (pre-intervention)
2020-11-16	137629	92342	194711	277	Normal (pre-intervention)
2020-11-17	137903	91676	196495	274	Normal (pre-intervention)
2020-11-18	138165	91074	198123	262	Normal (pre-intervention)
2020-11-19	138427	90336	199900	262	Normal (pre-intervention)
2020-11-20	138677	89813	201338	250	Normal (pre-intervention)
2020-11-21	138932	89214	203107	255	Normal (pre-intervention)
2020-11-22	139187	88559	204980	255	Normal (pre-intervention)
2020-11-23	139454	88015	206496	267	Normal (pre-intervention)
2020-11-24	139728	87415	208131	274	Normal (pre-intervention)
2020-11-25	139965	86973	209813	237	Normal (pre-intervention)
2020-11-26	140200	86372	211357	235	Normal (pre-intervention)
2020-11-27	140462	85777	212877	262	Normal (pre-intervention)
2020-11-28	140692	85353	214548	230	Normal (pre-intervention)
2020-11-29	140941	84820	216258	249	Normal (pre-intervention)
2020-11-30	141162	84369	217756	221	Normal (pre-intervention)
2020-12-01	141415	83754	219375	253	Normal (pre-intervention)
2020-12-02	141663	83372	221066	248	Normal (pre-intervention)
2020-12-03	141921	82634	222908	258	Normal (pre-intervention)
2020-12-04	142170	82152	224181	249	Normal (pre-intervention)
2020-12-05	142421	81713	226090	251	Normal (pre-intervention)
2020-12-06	142648	81295	227584	227	Normal (pre-intervention)
2020-12-07	142861	80764	229087	213	Normal (pre-intervention)
2020-12-08	143097	80376	230654	236	Normal (pre-intervention)
2020-12-09	143348	79960	232392	251	Normal (pre-intervention)
2020-12-10	143583	79466	233730	235	Normal (pre-intervention)
2020-12-11	143826	79043	235481	243	Normal (pre-intervention)
2020-12-12	144060	78504	236595	234	Normal (pre-intervention)
2020-12-13	144278	78103	238458	218	Normal (pre-intervention)
2020-12-14	144522	77735	240140	244	Normal (pre-intervention)
2020-12-15	144755	77111	241642	233	Normal (pre-intervention)
2020-12-16	144994	76670	243344	239	Normal (pre-intervention)
2020-12-17	145204	76130	245189	210	Normal (pre-intervention)
2020-12-18	145441	75734	246831	237	Normal (pre-intervention)
2020-12-19	145664	75386	248031	223	Normal (pre-intervention)
2020-12-20	145894	74948	250112	230	Normal (pre-intervention)
2020-12-21	146112	74510	251828	218	Normal (pre-intervention)
2020-12-22	146359	74188	253427	247	Normal (pre-intervention)
2020-12-23	146598	73826	255140	239	Normal (pre-intervention)
2020-12-24	146821	73301	256763	223	Normal (pre-intervention)
2020-12-25	147062	73005	258132	241	Normal (pre-intervention)
2020-12-26	147298	72370	259900	236	Normal (pre-intervention)
2020-12-27	147528	71978	261435	230	Normal (pre-intervention)
2020-12-28	147758	71585	263061	230	Normal (pre-intervention)
2020-12-29	147982	71361	264724	224	Normal (pre-intervention)
2020-12-30	148226	70901	266207	244	Normal (pre-intervention)
2020-12-31	148464	70529	268278	238	Normal (pre-intervention)
2021-01-01	148698	70106	269836	234	Normal (pre-intervention)
2021-01-02	148936	69699	271394	238	Normal (pre-intervention)
2021-01-03	149153	69218	272994	217	Normal (pre-intervention)
2021-01-04	149427	68892	274947	274	Normal (pre-intervention)
2021-01-05	149648	68631	276663	221	Normal (pre-intervention)
2021-01-06	149877	68252	278553	229	Normal (pre-intervention)
2021-01-07	150123	67782	280279	246	Normal (pre-intervention)
2021-01-08	150373	67479	281676	250	Normal (pre-intervention)
2021-01-09	150634	66943	283610	261	Normal (pre-intervention)
2021-01-10	150871	66552	285339	237	Normal (pre-intervention)
2021-01-11	151135	66342	287442	264	Normal (pre-intervention)
2021-01-12	151368	65817	289108	233	Normal (pre-intervention)
2021-01-13	151616	65517	291083	248	Normal (pre-intervention)
2021-01-14	151877	65126	292493	261	Normal (pre-intervention)
2021-01-15	152131	64683	294528	254	Normal (pre-intervention)
2021-01-16	152393	64589	297107	262	Normal (pre-intervention)
2021-01-17	152650	64253	299133	257	Normal (pre-intervention)
2021-01-18	152903	63903	300972	253	Normal (pre-intervention)
2021-01-19	153149	63434	302688	246	Normal (pre-intervention)
