date	value	lower_ci	upper_ci	incidence	scenario
2020-10-28	100579	83812	119006	NA	Normal (pre-intervention)
2020-10-29	100979	81709	122421	400	Normal (pre-intervention)
2020-10-30	101377	79878	125778	398	Normal (pre-intervention)
2020-10-31	101760	78263	128581	383	Normal (pre-intervention)
2020-11-01	102139	76854	131449	379	Normal (pre-intervention)
2020-11-02	102530	75533	133931	391	Normal (pre-intervention)
2020-11-03	102891	74298	136569	361	Normal (pre-intervention)
2020-11-04	103284	73144	138977	393	Normal (pre-intervention)
2020-11-05	103660	72193	141378	376	Normal (pre-intervention)
2020-11-06	104035	71130	143775	375	Normal (pre-intervention)
2020-11-07	104421	70438	146168	386	Normal (pre-intervention)
2020-11-08	104805	69518	148428	384	Normal (pre-intervention)
2020-11-09	105192	68694	150937	387	Normal (pre-intervention)
2020-11-10	105569	67983	152915	377	Normal (pre-intervention)
2020-11-11	105956	67299	155142	387	Normal (pre-intervention)
2020-11-12	106359	66719	157327	403	Normal (pre-intervention)
2020-11-13	106757	66140	159546	398	Normal (pre-intervention)
2020-11-14	107139	65456	161687	382	Normal (pre-intervention)
2020-11-15	107535	64945	164017	396	Normal (pre-intervention)
2020-11-16	107932	64214	166174	397	Normal (pre-intervention)
2020-11-17	108348	63828	168375	416	Normal (pre-intervention)
2020-11-18	108742	63283	170430	394	Normal (pre-intervention)
2020-11-19	109158	62867	172943	416	Normal (pre-intervention)
2020-11-20	109561	62257	174923	403	Normal (pre-intervention)
2020-11-21	109970	61798	177158	409	Normal (pre-intervention)
2020-11-22	110376	61330	179520	406	Normal (pre-intervention)
2020-11-23	110780	60686	181631	404	Normal (pre-intervention)
2020-11-24	111186	60328	183924	406	Normal (pre-intervention)
2020-11-25	111626	59782	186273	440	Normal (pre-intervention)
2020-11-26	112062	59321	188390	436	Normal (pre-intervention)
2020-11-27	112492	59097	191107	430	Normal (pre-intervention)
2020-11-28	112930	58551	193527	438	Normal (pre-intervention)
2020-11-29	113370	58192	196105	440	Normal (pre-intervention)
2020-11-30	113815	57740	198402	445	Normal (pre-intervention)
2020-12-01	114251	57467	200919	436	Normal (pre-intervention)
2020-12-02	114699	57185	203226	448	Normal (pre-intervention)
2020-12-03	115152	56746	206012	453	Normal (pre-intervention)
2020-12-04	115618	56282	208554	466	Normal (pre-intervention)
2020-12-05	116083	55727	211050	465	Normal (pre-intervention)
2020-12-06	116541	55407	213858	458	Normal (pre-intervention)
2020-12-07	117011	54951	216687	470	Normal (pre-intervention)
2020-12-08	117492	54572	219597	481	Normal (pre-intervention)
2020-12-09	117962	54256	222729	470	Normal (pre-intervention)
2020-12-10	118448	53869	225221	486	Normal (pre-intervention)
2020-12-11	118953	53458	227912	505	Normal (pre-intervention)
2020-12-12	119471	53124	230910	518	Normal (pre-intervention)
2020-12-13	119964	52844	233786	493	Normal (pre-intervention)
2020-12-14	120477	52465	237043	513	Normal (pre-intervention)
2020-12-15	121012	52296	240122	535	Normal (pre-intervention)
2020-12-16	121531	51914	243280	519	Normal (pre-intervention)
2020-12-17	122080	51516	246977	549	Normal (pre-intervention)
2020-12-18	122616	51155	250125	536	Normal (pre-intervention)
2020-12-19	123170	50892	253912	554	Normal (pre-intervention)
2020-12-20	123742	50511	257135	572	Normal (pre-intervention)
2020-12-21	124310	50239	260697	568	Normal (pre-intervention)
2020-12-22	124886	49747	264383	576	Normal (pre-intervention)
2020-12-23	125485	49491	268350	599	Normal (pre-intervention)
2020-12-24	126071	49111	271891	586	Normal (pre-intervention)
2020-12-25	126699	48912	276158	628	Normal (pre-intervention)
2020-12-26	127327	48463	280387	628	Normal (pre-intervention)
2020-12-27	127948	48116	283919	621	Normal (pre-intervention)
2020-12-28	128582	47953	288691	634	Normal (pre-intervention)
2020-12-29	129218	47505	292748	636	Normal (pre-intervention)
2020-12-30	129883	47342	297567	665	Normal (pre-intervention)
2020-12-31	130569	47048	302103	686	Normal (pre-intervention)
2021-01-01	131277	46699	307010	708	Normal (pre-intervention)
2021-01-02	131967	46548	311509	690	Normal (pre-intervention)
2021-01-03	132691	45914	316176	724	Normal (pre-intervention)
2021-01-04	133431	45938	320892	740	Normal (pre-intervention)
2021-01-05	134184	45319	326564	753	Normal (pre-intervention)
2021-01-06	134936	45200	331295	752	Normal (pre-intervention)
2021-01-07	135699	44917	336419	763	Normal (pre-intervention)
2021-01-08	136478	44661	342096	779	Normal (pre-intervention)
2021-01-09	137297	44278	347818	819	Normal (pre-intervention)
2021-01-10	138128	44001	353383	831	Normal (pre-intervention)
2021-01-11	138948	43750	359679	820	Normal (pre-intervention)
2021-01-12	139805	43399	365340	857	Normal (pre-intervention)
2021-01-13	140679	43215	371447	874	Normal (pre-intervention)
2021-01-14	141580	42755	378377	901	Normal (pre-intervention)
2021-01-15	142489	42568	385103	909	Normal (pre-intervention)
2021-01-16	143441	42242	391338	952	Normal (pre-intervention)
2021-01-17	144400	42031	397234	959	Normal (pre-intervention)
2021-01-18	145387	41762	404380	987	Normal (pre-intervention)
2021-01-19	146386	41453	412318	999	Normal (pre-intervention)
2021-01-20	147423	41172	419536	1037	Normal (pre-intervention)
2021-01-21	148485	40993	426972	1062	Normal (pre-intervention)
2021-01-22	149587	40668	435886	1102	Normal (pre-intervention)
2021-01-23	150686	40502	445026	1099	Normal (pre-intervention)
2021-01-24	151804	40099	452078	1118	Normal (pre-intervention)
2021-01-25	152947	39741	461159	1143	Normal (pre-intervention)
2021-01-26	154133	39608	468763	1186	Normal (pre-intervention)
2021-01-27	155322	39310	477687	1189	Normal (pre-intervention)
2021-01-28	156570	39088	486339	1248	Normal (pre-intervention)
2021-01-29	157816	38886	495224	1246	Normal (pre-intervention)
2021-01-30	159084	38606	504271	1268	Normal (pre-intervention)
2021-01-31	160376	38254	514364	1292	Normal (pre-intervention)
2021-02-01	161707	38148	525377	1331	Normal (pre-intervention)
2021-02-02	163072	37811	535504	1365	Normal (pre-intervention)
2021-02-03	164492	37504	546172	1420	Normal (pre-intervention)
2021-02-04	165928	37209	556329	1436	Normal (pre-intervention)
2021-02-05	167400	37051	566102	1472	Normal (pre-intervention)
2021-02-06	168902	36710	579274	1502	Normal (pre-intervention)
2021-02-07	170424	36469	590025	1522	Normal (pre-intervention)
2021-02-08	171969	36414	602430	1545	Normal (pre-intervention)
2021-02-09	173561	35986	613655	1592	Normal (pre-intervention)
2021-02-10	175193	35785	625272	1632	Normal (pre-intervention)
2021-02-11	176828	35544	639889	1635	Normal (pre-intervention)
2021-02-12	178524	35258	652842	1696	Normal (pre-intervention)
2021-02-13	180254	34923	665375	1730	Normal (pre-intervention)
2021-02-14	182015	34644	678664	1761	Normal (pre-intervention)
2021-02-15	183826	34467	690153	1811	Normal (pre-intervention)
2021-02-16	185670	34311	705579	1844	Normal (pre-intervention)
2021-02-17	187538	33961	719235	1868	Normal (pre-intervention)
2021-02-18	189461	33803	733773	1923	Normal (pre-intervention)
2021-02-19	191417	33563	749818	1956	Normal (pre-intervention)
2021-02-20	193423	33424	764121	2006	Normal (pre-intervention)
2021-02-21	195462	33088	779823	2039	Normal (pre-intervention)
2021-02-22	197559	32870	797299	2097	Normal (pre-intervention)
2021-02-23	199662	32858	813536	2103	Normal (pre-intervention)
2021-02-24	201806	32600	832149	2144	Normal (pre-intervention)
2021-02-25	203990	32317	849391	2184	Normal (pre-intervention)
2021-02-26	206238	32116	863684	2248	Normal (pre-intervention)
2021-02-27	208531	31857	882784	2293	Normal (pre-intervention)
2021-02-28	210866	31605	902747	2335	Normal (pre-intervention)
2021-03-01	213246	31412	920256	2380	Normal (pre-intervention)
2021-03-02	215663	31278	942929	2417	Normal (pre-intervention)
2021-03-03	218126	30940	962041	2463	Normal (pre-intervention)
2021-03-04	220641	30891	985089	2515	Normal (pre-intervention)
2021-03-05	223177	30731	1006860	2536	Normal (pre-intervention)
2021-03-06	225780	30325	1027566	2603	Normal (pre-intervention)
2021-03-07	228433	30155	1047664	2653	Normal (pre-intervention)
2021-03-08	231134	29936	1073137	2701	Normal (pre-intervention)
2021-03-09	233883	29648	1094176	2749	Normal (pre-intervention)
2021-03-10	236671	29576	1115964	2788	Normal (pre-intervention)
2021-03-11	239494	29357	1141695	2823	Normal (pre-intervention)
2021-03-12	242386	29207	1166077	2892	Normal (pre-intervention)
2021-03-13	245285	28926	1191842	2899	Normal (pre-intervention)
2021-03-14	248241	28883	1215183	2956	Normal (pre-intervention)
2021-03-15	251215	28496	1242739	2974	Normal (pre-intervention)
2021-03-16	254257	28560	1267966	3042	Normal (pre-intervention)
2021-03-17	257338	28193	1295259	3081	Normal (pre-intervention)
2021-03-18	260483	28019	1321606	3145	Normal (pre-intervention)
2021-03-19	263660	27886	1351973	3177	Normal (pre-intervention)
2021-03-20	266911	27632	1381519	3251	Normal (pre-intervention)
2021-03-21	270185	27335	1407151	3274	Normal (pre-intervention)
2021-03-22	273523	27250	1438169	3338	Normal (pre-intervention)
2021-03-23	276916	27128	1469798	3393	Normal (pre-intervention)
2021-03-24	280325	26822	1502869	3409	Normal (pre-intervention)
2021-03-25	283807	26691	1533902	3482	Normal (pre-intervention)
2021-03-26	287309	26442	1567584	3502	Normal (pre-intervention)
2021-03-27	290880	26348	1602873	3571	Normal (pre-intervention)
2021-03-28	294515	26082	1638782	3635	Normal (pre-intervention)
2021-03-29	298180	25743	1668400	3665	Normal (pre-intervention)
2021-03-30	301867	25631	1708661	3687	Normal (pre-intervention)
2021-03-31	305619	25395	1741011	3752	Normal (pre-intervention)
