stat	value
thetaS_last_obs_p_mean	0.9951151
thetaI_last_obs_p_mean	0.0001579487
thetaR_last_obs_p_mean	0.004726963
thetaS_last_obs_p_ci_low	0.9948362
thetaS_last_obs_p_ci_med	0.9951159
thetaS_last_obs_p_ci_up	0.9953899
thetaI_last_obs_p_ci_low	0.0001104405
thetaI_last_obs_p_ci_med	0.0001569357
thetaI_last_obs_p_ci_up	0.0002107799
thetaR_last_obs_p_ci_low	0.004456946
thetaR_last_obs_p_ci_med	0.004726228
thetaR_last_obs_p_ci_up	0.005001681
R0_p_mean	0.8429108
R0_p_ci_low	0.4833345
R0_p_ci_med	0.8085355
R0_p_ci_up	1.470536
gamma_p_mean	0.09014822
gamma_p_ci_low	0.01379303
gamma_p_ci_med	0.08785047
gamma_p_ci_up	0.1845148
beta_p_mean	0.07291604
beta_p_ci_low	0.01420279
beta_p_ci_med	0.06795184
beta_p_ci_up	0.1603158
incidence_mean	0.002532806
incidence_ci_low	0.0003386594
incidence_ci_median	0.001585518
incidence_ci_up	0.0100671
thetaI_tp1_mean	0.0002049431
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001596149
thetaR_tp1_mean	0.006021123
thetaR_tp1_ci_low	0.001690827
thetaR_tp1_ci_med	0.005291859
thetaR_tp1_ci_up	0.01370378
Y_tp1_mean	0.0002050141
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001604178
R_tp1_mean	0.00602171
R_tp1_ci_low	0.001685646
R_tp1_ci_med	0.005287135
R_tp1_ci_up	0.01370486
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.006021123
thetaR_max_ci_low	0.001690827
thetaR_max_ci_med	0.005291859
thetaR_max_ci_up	0.01370378
cumInf_mean	0.006226066
cumInf_ci_low	0.001698677
cumInf_ci_med	0.005320437
cumInf_ci_up	0.01486213
dthetaI_tp1_date	04/08/21
first_tp_mean	10/25/20
first_tp_ci_low	09/21/20
first_tp_ci_med	10/29/20
first_tp_ci_up	01/10/21
dthetaI_tp2_date	04/08/21
second_tp_mean	10/28/20
second_tp_ci_low	09/23/20
second_tp_ci_med	10/30/20
second_tp_ci_up	02/23/21
end_p_mean	01/11/21
end_p_ci_low	11/18/20
end_p_ci_med	12/27/20
end_p_ci_up	04/08/21
begin_str	09/21/2020
