stat	value
thetaS_last_obs_p_mean	0.9950457
thetaI_last_obs_p_mean	0.0001747694
thetaR_last_obs_p_mean	0.004779533
thetaS_last_obs_p_ci_low	0.9947632
thetaS_last_obs_p_ci_med	0.9950485
thetaS_last_obs_p_ci_up	0.9953162
thetaI_last_obs_p_ci_low	0.0001255942
thetaI_last_obs_p_ci_med	0.0001733281
thetaI_last_obs_p_ci_up	0.0002323251
thetaR_last_obs_p_ci_low	0.004513177
thetaR_last_obs_p_ci_med	0.004776713
thetaR_last_obs_p_ci_up	0.005053506
R0_p_mean	0.9087563
R0_p_ci_low	0.4797547
R0_p_ci_med	0.8425507
R0_p_ci_up	1.815096
gamma_p_mean	0.08114811
gamma_p_ci_low	0.009837274
gamma_p_ci_med	0.07591646
gamma_p_ci_up	0.190104
beta_p_mean	0.06789233
beta_p_ci_low	0.01122389
beta_p_ci_med	0.06046891
beta_p_ci_up	0.1674069
incidence_mean	0.002973284
incidence_ci_low	0.0002345965
incidence_ci_median	0.001414076
incidence_ci_up	0.01250061
thetaI_tp1_mean	0.0004364973
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.002858896
thetaR_tp1_mean	0.006422875
thetaR_tp1_ci_low	0.001660395
thetaR_tp1_ci_med	0.005378878
thetaR_tp1_ci_up	0.01544978
Y_tp1_mean	0.0004372913
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.002847468
R_tp1_mean	0.006420852
R_tp1_ci_low	0.00166495
R_tp1_ci_med	0.005365124
R_tp1_ci_up	0.01522794
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.006422875
thetaR_max_ci_low	0.001660395
thetaR_max_ci_med	0.005378878
thetaR_max_ci_up	0.01544978
cumInf_mean	0.006859373
cumInf_ci_low	0.001684691
cumInf_ci_med	0.005413243
cumInf_ci_up	0.01680004
dthetaI_tp1_date	04/12/21
first_tp_mean	11/05/20
first_tp_ci_low	09/25/20
first_tp_ci_med	11/03/20
first_tp_ci_up	04/09/21
dthetaI_tp2_date	04/12/21
second_tp_mean	11/08/20
second_tp_ci_low	09/27/20
second_tp_ci_med	11/05/20
second_tp_ci_up	04/09/21
end_p_mean	01/23/21
end_p_ci_low	11/24/20
end_p_ci_med	01/05/21
end_p_ci_up	04/12/21
begin_str	09/25/2020
