stat	value
thetaS_last_obs_p_mean	0.9955728
thetaI_last_obs_p_mean	0.000387167
thetaR_last_obs_p_mean	0.004040078
thetaS_last_obs_p_ci_low	0.9953018
thetaS_last_obs_p_ci_med	0.995568
thetaS_last_obs_p_ci_up	0.9958357
thetaI_last_obs_p_ci_low	0.0003099822
thetaI_last_obs_p_ci_med	0.0003868019
thetaI_last_obs_p_ci_up	0.0004655904
thetaR_last_obs_p_ci_low	0.003786553
thetaR_last_obs_p_ci_med	0.00404245
thetaR_last_obs_p_ci_up	0.004290956
R0_p_mean	1.358828
R0_p_ci_low	0.7383591
R0_p_ci_med	1.252329
R0_p_ci_up	2.575636
gamma_p_mean	0.0565901
gamma_p_ci_low	0.008631311
gamma_p_ci_med	0.04729859
gamma_p_ci_up	0.1494367
beta_p_mean	0.06938946
beta_p_ci_low	0.01275414
beta_p_ci_med	0.06172603
beta_p_ci_up	0.1701421
incidence_mean	0.005457757
incidence_ci_low	0.0004034536
incidence_ci_median	0.002664023
incidence_ci_up	0.02932447
thetaI_tp1_mean	0.001174102
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.009425704
thetaR_tp1_mean	0.007495275
thetaR_tp1_ci_low	0.001709562
thetaR_tp1_ci_med	0.005989436
thetaR_tp1_ci_up	0.02506001
Y_tp1_mean	0.001174496
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.009443201
R_tp1_mean	0.007505598
R_tp1_ci_low	0.001708001
R_tp1_ci_med	0.00603235
R_tp1_ci_up	0.02477952
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.007495275
thetaR_max_ci_low	0.001709562
thetaR_max_ci_med	0.005989436
thetaR_max_ci_up	0.02506001
cumInf_mean	0.008669376
cumInf_ci_low	0.001768444
cumInf_ci_med	0.00621994
cumInf_ci_up	0.03133834
dthetaI_tp1_date	04/12/21
first_tp_mean	10/27/20
first_tp_ci_low	09/25/20
first_tp_ci_med	10/17/20
first_tp_ci_up	04/12/21
dthetaI_tp2_date	04/12/21
second_tp_mean	10/29/20
second_tp_ci_low	09/28/20
second_tp_ci_med	10/19/20
second_tp_ci_up	04/12/21
end_p_mean	03/06/21
end_p_ci_low	12/12/20
end_p_ci_med	04/10/21
end_p_ci_up	04/12/21
begin_str	09/25/2020
