stat	value
thetaS_last_obs_p_mean	0.996864
thetaI_last_obs_p_mean	0.0002462697
thetaR_last_obs_p_mean	0.00288969
thetaS_last_obs_p_ci_low	0.9966405
thetaS_last_obs_p_ci_med	0.9968645
thetaS_last_obs_p_ci_up	0.9970831
thetaI_last_obs_p_ci_low	0.0001870465
thetaI_last_obs_p_ci_med	0.0002454294
thetaI_last_obs_p_ci_up	0.0003106298
thetaR_last_obs_p_ci_low	0.002679927
thetaR_last_obs_p_ci_med	0.002889129
thetaR_last_obs_p_ci_up	0.003104245
R0_p_mean	1.288235
R0_p_ci_low	0.6714849
R0_p_ci_med	1.184424
R0_p_ci_up	2.498273
gamma_p_mean	0.05651466
gamma_p_ci_low	0.008018859
gamma_p_ci_med	0.04713243
gamma_p_ci_up	0.1531668
beta_p_mean	0.06552593
beta_p_ci_low	0.01095751
beta_p_ci_med	0.05744545
beta_p_ci_up	0.163465
incidence_mean	0.003226685
incidence_ci_low	0.000246755
incidence_ci_median	0.001544379
incidence_ci_up	0.01652306
thetaI_tp1_mean	0.0006478625
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.005124796
thetaR_tp1_mean	0.004886072
thetaR_tp1_ci_low	0.0008251935
thetaR_tp1_ci_med	0.003837214
thetaR_tp1_ci_up	0.01492395
Y_tp1_mean	0.0006478962
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.005140535
R_tp1_mean	0.004886869
R_tp1_ci_low	0.0008153641
R_tp1_ci_med	0.003835986
R_tp1_ci_up	0.01492489
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.004886072
thetaR_max_ci_low	0.0008251935
thetaR_max_ci_med	0.003837214
thetaR_max_ci_up	0.01492395
cumInf_mean	0.005533935
cumInf_ci_low	0.0008391676
cumInf_ci_med	0.003964334
cumInf_ci_up	0.01935605
dthetaI_tp1_date	04/14/21
first_tp_mean	10/22/20
first_tp_ci_low	09/27/20
first_tp_ci_med	10/10/20
first_tp_ci_up	04/13/21
dthetaI_tp2_date	04/14/21
second_tp_mean	10/24/20
second_tp_ci_low	09/29/20
second_tp_ci_med	10/12/20
second_tp_ci_up	04/13/21
end_p_mean	02/17/21
end_p_ci_low	12/03/20
end_p_ci_med	02/15/21
end_p_ci_up	04/14/21
begin_str	09/27/2020
