stat	value
thetaS_last_obs_p_mean	0.9974887
thetaI_last_obs_p_mean	0.0001174836
thetaR_last_obs_p_mean	0.002393789
thetaS_last_obs_p_ci_low	0.9972906
thetaS_last_obs_p_ci_med	0.9974891
thetaS_last_obs_p_ci_up	0.9976826
thetaI_last_obs_p_ci_low	7.772096e-05
thetaI_last_obs_p_ci_med	0.0001165964
thetaI_last_obs_p_ci_up	0.0001623871
thetaR_last_obs_p_ci_low	0.002204294
thetaR_last_obs_p_ci_med	0.002393615
thetaR_last_obs_p_ci_up	0.00258721
R0_p_mean	1.277017
R0_p_ci_low	0.5997269
R0_p_ci_med	1.158721
R0_p_ci_up	2.620593
gamma_p_mean	0.05111837
gamma_p_ci_low	0.006599658
gamma_p_ci_med	0.03886192
gamma_p_ci_up	0.1616272
beta_p_mean	0.05699768
beta_p_ci_low	0.008748163
beta_p_ci_med	0.04676082
beta_p_ci_up	0.1624092
incidence_mean	0.001614807
incidence_ci_low	0.0001002817
incidence_ci_median	0.0006341858
incidence_ci_up	0.008204854
thetaI_tp1_mean	0.0003715311
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.002693299
thetaR_tp1_mean	0.003300211
thetaR_tp1_ci_low	0.0003926988
thetaR_tp1_ci_med	0.002663191
thetaR_tp1_ci_up	0.009072364
Y_tp1_mean	0.0003716597
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.002702865
R_tp1_mean	0.003300453
R_tp1_ci_low	0.000385869
R_tp1_ci_med	0.002660259
R_tp1_ci_up	0.009087583
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003300211
thetaR_max_ci_low	0.0003926988
thetaR_max_ci_med	0.002663191
thetaR_max_ci_up	0.009072364
cumInf_mean	0.003671743
cumInf_ci_low	0.0003965255
cumInf_ci_med	0.002718483
cumInf_ci_up	0.01115148
dthetaI_tp1_date	04/14/21
first_tp_mean	10/27/20
first_tp_ci_low	09/27/20
first_tp_ci_med	10/25/20
first_tp_ci_up	04/12/21
dthetaI_tp2_date	04/14/21
second_tp_mean	10/30/20
second_tp_ci_low	09/29/20
second_tp_ci_med	10/27/20
second_tp_ci_up	04/12/21
end_p_mean	01/22/21
end_p_ci_low	11/23/20
end_p_ci_med	01/03/21
end_p_ci_up	04/14/21
begin_str	09/27/2020
