stat	value
thetaS_last_obs_p_mean	0.9967729
thetaI_last_obs_p_mean	0.0002586434
thetaR_last_obs_p_mean	0.002968434
thetaS_last_obs_p_ci_low	0.9965456
thetaS_last_obs_p_ci_med	0.996774
thetaS_last_obs_p_ci_up	0.9969957
thetaI_last_obs_p_ci_low	0.000198214
thetaI_last_obs_p_ci_med	0.0002577141
thetaI_last_obs_p_ci_up	0.0003245949
thetaR_last_obs_p_ci_low	0.002755392
thetaR_last_obs_p_ci_med	0.002967473
thetaR_last_obs_p_ci_up	0.003186046
R0_p_mean	1.29437
R0_p_ci_low	0.6695993
R0_p_ci_med	1.188858
R0_p_ci_up	2.515519
gamma_p_mean	0.05603606
gamma_p_ci_low	0.007891288
gamma_p_ci_med	0.04629303
gamma_p_ci_up	0.1543713
beta_p_mean	0.06515284
beta_p_ci_low	0.01076904
beta_p_ci_med	0.05674677
beta_p_ci_up	0.1650579
incidence_mean	0.001651628
incidence_ci_low	0.0002266139
incidence_ci_median	0.001242447
incidence_ci_up	0.005601437
thetaI_tp1_mean	0.0002555247
thetaI_tp1_ci_low	0.0002028238
thetaI_tp1_ci_med	0.0002548832
thetaI_tp1_ci_up	0.0003121267
thetaR_tp1_mean	0.002947543
thetaR_tp1_ci_low	0.002762742
thetaR_tp1_ci_med	0.002946854
thetaR_tp1_ci_up	0.003134767
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.003535179
R_tp1_ci_low	0.001286057
R_tp1_ci_med	0.003312356
R_tp1_ci_up	0.006944849
thetaI_tp2_mean	0.0002567249
thetaI_tp2_ci_low	0.0001463933
thetaI_tp2_ci_med	0.0002525523
thetaI_tp2_ci_up	0.0003914566
thetaR_tp2_mean	0.002997979
thetaR_tp2_ci_low	0.002588928
thetaR_tp2_ci_med	0.002993912
thetaR_tp2_ci_up	0.003429077
Y_tp2_mean	0.0002567739
Y_tp2_ci_low	0.0001264924
Y_tp2_ci_med	0.0002506314
Y_tp2_ci_up	0.0004219558
R_tp2_mean	0.002997841
R_tp2_ci_low	0.002507485
R_tp2_ci_med	0.002991718
R_tp2_ci_up	0.003519924
thetaR_max_mean	0.003899833
thetaR_max_ci_low	0.0007962825
thetaR_max_ci_med	0.003548908
thetaR_max_ci_up	0.008938771
cumInf_mean	0.004073909
cumInf_ci_low	0.0008095307
cumInf_ci_med	0.003619328
cumInf_ci_up	0.009808417
dthetaI_tp1_date	11/12/20
first_tp_mean	10/21/20
first_tp_ci_low	09/30/20
first_tp_ci_med	10/15/20
first_tp_ci_up	11/13/20
dthetaI_tp2_date	11/15/20
second_tp_mean	10/24/20
second_tp_ci_low	10/02/20
second_tp_ci_med	10/16/20
second_tp_ci_up	11/15/20
end_p_mean	02/09/21
end_p_ci_low	12/05/20
end_p_ci_med	01/29/21
end_p_ci_up	04/17/21
begin_str	09/30/2020
