date	value	lower_ci	upper_ci	incidence	scenario
2020-11-16	433262	373388	497738	NA	Cautious return
2020-11-17	434507	365455	509639	1245	Cautious return
2020-11-18	435775	358812	520478	1268	Cautious return
2020-11-19	436993	353014	530515	1218	Cautious return
2020-11-20	438163	347824	539456	1170	Cautious return
2020-11-21	439356	343039	548299	1193	Cautious return
2020-11-22	440522	338536	556818	1166	Cautious return
2020-11-23	441618	334258	564869	1096	Cautious return
2020-11-24	442699	330201	572356	1081	Cautious return
2020-11-25	443737	326889	579678	1038	Cautious return
2020-11-26	444760	323409	586914	1023	Cautious return
2020-11-27	445766	319622	594052	1006	Cautious return
2020-11-28	446733	316923	600824	967	Cautious return
2020-11-29	447762	314133	607452	1029	Cautious return
2020-11-30	448727	311289	614154	965	Cautious return
2020-12-01	449687	308957	620248	960	Cautious return
2020-12-02	450584	305559	626586	897	Cautious return
2020-12-03	451528	303034	632681	944	Cautious return
2020-12-04	452403	301073	639005	875	Cautious return
2020-12-05	453297	299143	644368	894	Cautious return
2020-12-06	454153	297115	650465	856	Cautious return
2020-12-07	455080	294708	656242	927	Cautious return
2020-12-08	455895	292789	662014	815	Cautious return
2020-12-09	456679	291061	666966	784	Cautious return
2020-12-10	457452	288977	671816	773	Cautious return
2020-12-11	458231	287740	677841	779	Cautious return
2020-12-12	459017	286072	682803	786	Cautious return
2020-12-13	459779	284916	687771	762	Cautious return
2020-12-14	460503	282759	693915	724	Cautious return
2020-12-15	461236	280842	698165	733	Cautious return
2020-12-16	461971	280093	703098	735	Cautious return
2020-12-17	462707	278090	708109	736	Cautious return
2020-12-18	463491	276952	713211	784	Cautious return
2020-12-19	464210	275425	717092	719	Cautious return
2020-12-20	464905	274344	722388	695	Cautious return
2020-12-21	465640	272497	726076	735	Cautious return
2020-12-22	466348	271472	732391	708	Cautious return
2020-12-23	467057	270097	736254	709	Cautious return
2020-12-24	467670	268663	740905	613	Cautious return
2020-12-25	468333	266762	745728	663	Cautious return
2020-12-26	469009	265629	750491	676	Cautious return
2020-12-27	469639	264081	754168	630	Cautious return
2020-12-28	470251	262969	758542	612	Cautious return
2020-12-29	470897	261405	762744	646	Cautious return
2020-12-30	471520	260174	767337	623	Cautious return
2020-12-31	472122	258924	772307	602	Cautious return
2021-01-01	472792	257799	776843	670	Cautious return
2021-01-02	473402	256335	781027	610	Cautious return
2021-01-03	474059	255522	784668	657	Cautious return
2021-01-04	474590	253573	788521	531	Cautious return
2021-01-05	475204	252734	793222	614	Cautious return
2021-01-06	475844	251648	798177	640	Cautious return
2021-01-07	476451	250229	802443	607	Cautious return
2021-01-08	477083	249182	806794	632	Cautious return
2021-01-09	477658	248054	810551	575	Cautious return
2021-01-10	478208	247351	814543	550	Cautious return
2021-01-11	478782	245504	818113	574	Cautious return
2021-01-12	479383	244078	823249	601	Cautious return
2021-01-13	479940	243323	826999	557	Cautious return
2021-01-14	480509	242057	830894	569	Cautious return
2021-01-15	481070	240813	835131	561	Cautious return
2021-01-16	481690	239656	837557	620	Cautious return
2021-01-17	482218	238384	843313	528	Cautious return
2021-01-18	482764	237232	846984	546	Cautious return
2021-01-19	483369	235242	851699	605	Cautious return
2021-01-20	483961	234578	855641	592	Cautious return
2021-01-21	484564	233477	859486	603	Cautious return
2021-01-22	485094	232479	864861	530	Cautious return
2021-01-23	485661	230900	867728	567	Cautious return
2021-01-24	486211	229713	872455	550	Cautious return
2021-01-25	486750	229131	874770	539	Cautious return
2021-01-26	487394	227676	880140	644	Cautious return
2021-01-27	487908	227059	884223	514	Cautious return
2021-01-28	488406	226242	887574	498	Cautious return
2021-01-29	488997	224846	891258	591	Cautious return
2021-01-30	489596	224674	896104	599	Cautious return
2021-01-31	490120	223647	901862	524	Cautious return
2021-02-01	490673	222623	904880	553	Cautious return
2021-02-02	491194	221477	908651	521	Cautious return
2021-02-03	491708	220410	912599	514	Cautious return
2021-02-04	492238	219606	916731	530	Cautious return
2021-02-05	492715	218678	922290	477	Cautious return
2021-02-06	493263	217666	924912	548	Cautious return
2021-02-07	493745	216867	930128	482	Cautious return
2021-02-08	494228	215041	933610	483	Cautious return
2021-02-09	494799	213944	937631	571	Cautious return
2021-02-10	495294	213109	941941	495	Cautious return
2021-02-11	495771	212411	944684	477	Cautious return
2021-02-12	496308	211296	949525	537	Cautious return
2021-02-13	496812	209965	954038	504	Cautious return
2021-02-14	497259	209606	956366	447	Cautious return
2021-02-15	497772	208126	961257	513	Cautious return
2021-02-16	498268	207093	964966	496	Cautious return
2021-02-17	498748	206273	968606	480	Cautious return
2021-02-18	499279	205807	973214	531	Cautious return
2021-02-19	499828	205003	977746	549	Cautious return
2021-02-20	500299	203656	981387	471	Cautious return
2021-02-21	500797	202861	985834	498	Cautious return
2021-02-22	501308	201412	988966	511	Cautious return
2021-02-23	501821	200922	993124	513	Cautious return
2021-02-24	502327	200093	998461	506	Cautious return
2021-02-25	502803	199206	1002005	476	Cautious return
2021-02-26	503266	197923	1005045	463	Cautious return
2021-02-27	503711	196835	1009452	445	Cautious return
2021-02-28	504230	196535	1014038	519	Cautious return
2021-03-01	504716	195662	1017679	486	Cautious return
2021-03-02	505172	194562	1019250	456	Cautious return
2021-03-03	505676	193454	1024658	504	Cautious return
2021-03-04	506227	192597	1028607	551	Cautious return
2021-03-05	506770	191877	1032575	543	Cautious return
2021-03-06	507313	190959	1036481	543	Cautious return
2021-03-07	507819	189963	1039571	506	Cautious return
2021-03-08	508319	189268	1045366	500	Cautious return
2021-03-09	508792	188011	1049000	473	Cautious return
2021-03-10	509328	186969	1053499	536	Cautious return
2021-03-11	509842	186249	1059410	514	Cautious return
2021-03-12	510404	185469	1062981	562	Cautious return
2021-03-13	510928	184159	1065557	524	Cautious return
2021-03-14	511502	183437	1070653	574	Cautious return
2021-03-15	512047	182776	1075589	545	Cautious return
2021-03-16	512542	181857	1079624	495	Cautious return
2021-03-17	513042	180289	1082586	500	Cautious return
2021-03-18	513564	179148	1088854	522	Cautious return
2021-03-19	514097	179149	1091791	533	Cautious return
2021-03-20	514642	178235	1096211	545	Cautious return
2021-03-21	515172	177346	1101192	530	Cautious return
2021-03-22	515744	176415	1104666	572	Cautious return
2021-03-23	516282	175444	1109152	538	Cautious return
2021-03-24	516818	175029	1113805	536	Cautious return
2021-03-25	517387	173569	1119477	569	Cautious return
2021-03-26	517937	172630	1123561	550	Cautious return
2021-03-27	518450	172091	1129435	513	Cautious return
2021-03-28	519004	171185	1131018	554	Cautious return
2021-03-29	519580	170282	1134339	576	Cautious return
2021-03-30	520162	170100	1139449	582	Cautious return
2021-03-31	520764	168449	1143655	602	Cautious return
2021-04-01	521336	167391	1149185	572	Cautious return
2021-04-02	521887	167172	1153292	551	Cautious return
2021-04-03	522435	166083	1157987	548	Cautious return
2021-04-04	523033	164830	1160676	598	Cautious return
2021-04-05	523593	165131	1164756	560	Cautious return
2021-04-06	524181	163999	1170226	588	Cautious return
2021-04-07	524750	163137	1175716	569	Cautious return
2021-04-08	525323	162283	1179637	573	Cautious return
2021-04-09	525867	161680	1183663	544	Cautious return
2021-04-10	526466	160468	1189543	599	Cautious return
2021-04-11	527025	160327	1192064	559	Cautious return
2021-04-12	527606	159584	1197421	581	Cautious return
2021-04-13	528215	158994	1200117	609	Cautious return
2021-04-14	528802	157443	1207942	587	Cautious return
2021-04-15	529484	157451	1214048	682	Cautious return
2021-04-16	530097	156019	1216946	613	Cautious return
2021-04-17	530659	154740	1221968	562	Cautious return
2021-04-18	531227	154894	1225809	568	Cautious return
