date	value	lower_ci	upper_ci	incidence	scenario
2020-11-19	311345	279145	345619	NA	No intervention
2020-11-20	311914	274870	351809	569	No intervention
2020-11-21	312443	271221	357525	529	No intervention
2020-11-22	312973	267764	362424	530	No intervention
2020-11-23	313480	264839	367325	507	No intervention
2020-11-24	314030	262146	371744	550	No intervention
2020-11-25	314565	259650	376200	535	No intervention
2020-11-26	315056	257286	380122	491	No intervention
2020-11-27	315570	255147	384274	514	No intervention
2020-11-28	316035	252752	387883	465	No intervention
2020-11-29	316544	251013	391532	509	No intervention
2020-11-30	317054	249259	395406	510	No intervention
2020-12-01	317542	247008	399129	488	No intervention
2020-12-02	318030	245340	402629	488	No intervention
2020-12-03	318515	243830	405831	485	No intervention
2020-12-04	319008	242416	409295	493	No intervention
2020-12-05	319492	240672	412558	484	No intervention
2020-12-06	319980	239636	415867	488	No intervention
2020-12-07	320466	237983	418889	486	No intervention
2020-12-08	320945	236995	421951	479	No intervention
2020-12-09	321415	235517	425334	470	No intervention
2020-12-10	321855	234409	427665	440	No intervention
2020-12-11	322311	233084	431175	456	No intervention
2020-12-12	322819	232137	434559	508	No intervention
2020-12-13	323285	231153	437549	466	No intervention
2020-12-14	323752	229870	440428	467	No intervention
2020-12-15	324203	228960	443689	451	No intervention
2020-12-16	324673	227842	446344	470	No intervention
2020-12-17	325136	226383	449458	463	No intervention
2020-12-18	325620	225475	453033	484	No intervention
2020-12-19	326093	224663	455927	473	No intervention
2020-12-20	326543	223326	458393	450	No intervention
2020-12-21	326964	222699	461844	421	No intervention
2020-12-22	327415	221501	464185	451	No intervention
2020-12-23	327858	220741	467391	443	No intervention
2020-12-24	328312	219793	470503	454	No intervention
2020-12-25	328792	218710	473361	480	No intervention
2020-12-26	329245	217695	476643	453	No intervention
2020-12-27	329700	216797	479628	455	No intervention
2020-12-28	330144	215624	482172	444	No intervention
2020-12-29	330576	215308	484866	432	No intervention
2020-12-30	331013	214042	488397	437	No intervention
2020-12-31	331488	213350	490921	475	No intervention
2021-01-01	331934	212285	493629	446	No intervention
2021-01-02	332384	211388	496825	450	No intervention
2021-01-03	332847	210661	499857	463	No intervention
2021-01-04	333298	209656	503072	451	No intervention
2021-01-05	333716	209139	505839	418	No intervention
2021-01-06	334199	208074	509349	483	No intervention
2021-01-07	334646	207359	511981	447	No intervention
2021-01-08	335100	206617	514690	454	No intervention
2021-01-09	335571	205604	518239	471	No intervention
2021-01-10	336035	205028	520936	464	No intervention
2021-01-11	336511	204028	524149	476	No intervention
2021-01-12	336998	203589	527244	487	No intervention
2021-01-13	337473	202831	530495	475	No intervention
2021-01-14	337948	201730	533880	475	No intervention
2021-01-15	338416	201295	536718	468	No intervention
2021-01-16	338903	200505	539735	487	No intervention
2021-01-17	339388	199697	543828	485	No intervention
2021-01-18	339902	198763	546957	514	No intervention
2021-01-19	340371	198094	550402	469	No intervention
2021-01-20	340859	197213	553253	488	No intervention
2021-01-21	341356	196555	556521	497	No intervention
2021-01-22	341841	195827	559287	485	No intervention
2021-01-23	342328	195356	563025	487	No intervention
2021-01-24	342825	194450	566569	497	No intervention
2021-01-25	343315	193937	569196	490	No intervention
2021-01-26	343829	193255	572241	514	No intervention
2021-01-27	344321	192306	576730	492	No intervention
2021-01-28	344824	191772	580214	503	No intervention
2021-01-29	345331	190522	583456	507	No intervention
2021-01-30	345849	189909	586580	518	No intervention
2021-01-31	346379	189243	590275	530	No intervention
2021-02-01	346928	189164	593800	549	No intervention
2021-02-02	347475	188082	597511	547	No intervention
2021-02-03	348027	187449	601432	552	No intervention
2021-02-04	348547	186857	605222	520	No intervention
2021-02-05	349058	186242	609838	511	No intervention
2021-02-06	349603	185429	613051	545	No intervention
2021-02-07	350152	184514	615911	549	No intervention
2021-02-08	350715	184293	620221	563	No intervention
2021-02-09	351267	183705	624412	552	No intervention
2021-02-10	351828	183015	628723	561	No intervention
2021-02-11	352422	182547	632631	594	No intervention
2021-02-12	353032	181757	637020	610	No intervention
2021-02-13	353620	181256	640446	588	No intervention
2021-02-14	354195	180252	644676	575	No intervention
2021-02-15	354805	179947	648841	610	No intervention
2021-02-16	355392	178995	652815	587	No intervention
2021-02-17	356006	178540	657633	614	No intervention
2021-02-18	356616	177709	662317	610	No intervention
2021-02-19	357265	177404	667008	649	No intervention
2021-02-20	357912	176521	671071	647	No intervention
2021-02-21	358590	176068	675157	678	No intervention
2021-02-22	359262	175513	679166	672	No intervention
2021-02-23	359945	174943	684245	683	No intervention
2021-02-24	360581	174201	689275	636	No intervention
2021-02-25	361263	174018	693870	682	No intervention
2021-02-26	361976	173542	698394	713	No intervention
2021-02-27	362677	172419	703381	701	No intervention
2021-02-28	363370	172239	708399	693	No intervention
2021-03-01	364107	171970	713445	737	No intervention
2021-03-02	364838	170959	719246	731	No intervention
2021-03-03	365591	170613	725070	753	No intervention
2021-03-04	366353	169392	730882	762	No intervention
2021-03-05	367081	168648	735588	728	No intervention
2021-03-06	367852	168621	741089	771	No intervention
2021-03-07	368626	167827	747225	774	No intervention
2021-03-08	369405	167322	751744	779	No intervention
2021-03-09	370213	166788	757366	808	No intervention
2021-03-10	371012	166101	762504	799	No intervention
2021-03-11	371827	165214	767660	815	No intervention
2021-03-12	372647	164965	772824	820	No intervention
2021-03-13	373486	164485	780054	839	No intervention
2021-03-14	374327	163558	785997	841	No intervention
2021-03-15	375189	163110	791438	862	No intervention
2021-03-16	376082	162561	796743	893	No intervention
2021-03-17	376951	161555	802711	869	No intervention
2021-03-18	377834	161103	809400	883	No intervention
2021-03-19	378765	160947	814646	931	No intervention
2021-03-20	379657	160477	821521	892	No intervention
2021-03-21	380591	160080	826413	934	No intervention
2021-03-22	381590	159347	835607	999	No intervention
2021-03-23	382581	158441	841799	991	No intervention
2021-03-24	383590	158178	849561	1009	No intervention
2021-03-25	384597	157552	855946	1007	No intervention
2021-03-26	385640	157081	862983	1043	No intervention
2021-03-27	386691	156390	871056	1051	No intervention
2021-03-28	387738	156312	877487	1047	No intervention
2021-03-29	388745	155546	887641	1007	No intervention
2021-03-30	389821	155028	892963	1076	No intervention
2021-03-31	390903	154523	901036	1082	No intervention
2021-04-01	391998	153983	908812	1095	No intervention
2021-04-02	393098	153599	917229	1100	No intervention
2021-04-03	394240	153103	923393	1142	No intervention
2021-04-04	395394	152531	930840	1154	No intervention
2021-04-05	396560	152241	939510	1166	No intervention
2021-04-06	397766	151789	948589	1206	No intervention
2021-04-07	398977	151161	955673	1211	No intervention
2021-04-08	400204	151016	964948	1227	No intervention
2021-04-09	401399	150337	973825	1195	No intervention
2021-04-10	402626	149792	982988	1227	No intervention
2021-04-11	403885	149276	990453	1259	No intervention
2021-04-12	405141	148672	1002222	1256	No intervention
2021-04-13	406435	148185	1011069	1294	No intervention
2021-04-14	407728	147727	1018693	1293	No intervention
2021-04-15	409033	147640	1027745	1305	No intervention
2021-04-16	410346	146864	1037742	1313	No intervention
2021-04-17	411654	146175	1047615	1308	No intervention
2021-04-18	413023	145935	1056586	1369	No intervention
2021-04-19	414415	145433	1067039	1392	No intervention
2021-04-20	415833	144696	1077342	1418	No intervention
2021-04-21	417231	144362	1089478	1398	No intervention
2021-04-22	418695	144100	1099227	1464	No intervention
