stat	value
thetaS_last_obs_p_mean	0.99675
thetaI_last_obs_p_mean	8.101804e-05
thetaR_last_obs_p_mean	0.003169024
thetaS_last_obs_p_ci_low	0.996523
thetaS_last_obs_p_ci_med	0.9967509
thetaS_last_obs_p_ci_up	0.9969716
thetaI_last_obs_p_ci_low	4.850437e-05
thetaI_last_obs_p_ci_med	8.016541e-05
thetaI_last_obs_p_ci_up	0.0001185612
thetaR_last_obs_p_ci_low	0.002950229
thetaR_last_obs_p_ci_med	0.003168372
thetaR_last_obs_p_ci_up	0.003392792
R0_p_mean	1.236791
R0_p_ci_low	0.5749718
R0_p_ci_med	1.114736
R0_p_ci_up	2.570282
gamma_p_mean	0.05245985
gamma_p_ci_low	0.006339622
gamma_p_ci_med	0.03855176
gamma_p_ci_up	0.1731145
beta_p_mean	0.05604979
beta_p_ci_low	0.008312426
beta_p_ci_med	0.04461799
beta_p_ci_up	0.1683221
incidence_mean	0.006773491
incidence_ci_low	8.649755e-05
incidence_ci_median	0.0006021472
incidence_ci_up	0.05136933
thetaI_tp1_mean	0.00205346
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01756487
thetaR_tp1_mean	0.00748066
thetaR_tp1_ci_low	0.0007665628
thetaR_tp1_ci_med	0.003597778
thetaR_tp1_ci_up	0.03486523
Y_tp1_mean	0.002053646
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01756823
R_tp1_mean	0.007480211
R_tp1_ci_low	0.0007640235
R_tp1_ci_med	0.003594883
R_tp1_ci_up	0.03493768
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.00748066
thetaR_max_ci_low	0.0007665628
thetaR_max_ci_med	0.003597778
thetaR_max_ci_up	0.03486523
cumInf_mean	0.009534119
cumInf_ci_low	0.0007722031
cumInf_ci_med	0.003679089
cumInf_ci_up	0.05351171
dthetaI_tp1_date	04/24/21
first_tp_mean	11/18/20
first_tp_ci_low	10/07/20
first_tp_ci_med	10/30/20
first_tp_ci_up	04/24/21
dthetaI_tp2_date	04/24/21
second_tp_mean	11/21/20
second_tp_ci_low	10/09/20
second_tp_ci_med	10/31/20
second_tp_ci_up	04/24/21
end_p_mean	01/31/21
end_p_ci_low	11/29/20
end_p_ci_med	01/08/21
end_p_ci_up	04/24/21
begin_str	10/07/2020
