stat	value
thetaS_last_obs_p_mean	0.9915629
thetaI_last_obs_p_mean	0.0008056062
thetaR_last_obs_p_mean	0.007631496
thetaS_last_obs_p_ci_low	0.9911953
thetaS_last_obs_p_ci_med	0.9915636
thetaS_last_obs_p_ci_up	0.9919277
thetaI_last_obs_p_ci_low	0.0006953335
thetaI_last_obs_p_ci_med	0.0008046051
thetaI_last_obs_p_ci_up	0.0009219318
thetaR_last_obs_p_ci_low	0.007284428
thetaR_last_obs_p_ci_med	0.007630973
thetaR_last_obs_p_ci_up	0.007981056
R0_p_mean	1.454151
R0_p_ci_low	0.88823
R0_p_ci_med	1.342478
R0_p_ci_up	2.652418
gamma_p_mean	0.06022593
gamma_p_ci_low	0.01000013
gamma_p_ci_med	0.05221318
gamma_p_ci_up	0.1518774
beta_p_mean	0.07912183
beta_p_ci_low	0.01618887
beta_p_ci_med	0.07275471
beta_p_ci_up	0.1762274
incidence_mean	0.01366287
incidence_ci_low	0.001225491
incidence_ci_median	0.007367868
incidence_ci_up	0.0681649
thetaI_tp1_mean	0.002975357
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0005119511
thetaI_tp1_ci_up	0.02219865
thetaR_tp1_mean	0.01715607
thetaR_tp1_ci_low	0.005548468
thetaR_tp1_ci_med	0.01333549
thetaR_tp1_ci_up	0.05417254
Y_tp1_mean	0.002975465
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0005105996
Y_tp1_ci_up	0.02220266
R_tp1_mean	0.01715657
R_tp1_ci_low	0.005525136
R_tp1_ci_med	0.01333216
R_tp1_ci_up	0.05418832
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01715607
thetaR_max_ci_low	0.005548468
thetaR_max_ci_med	0.01333549
thetaR_max_ci_up	0.05417254
cumInf_mean	0.02013143
cumInf_ci_low	0.005731762
cumInf_ci_med	0.01418366
cumInf_ci_up	0.07481812
dthetaI_tp1_date	04/25/21
first_tp_mean	11/24/20
first_tp_ci_low	10/26/20
first_tp_ci_med	11/09/20
first_tp_ci_up	04/25/21
dthetaI_tp2_date	04/25/21
second_tp_mean	11/27/20
second_tp_ci_low	10/27/20
second_tp_ci_med	11/12/20
second_tp_ci_up	04/25/21
end_p_mean	04/11/21
end_p_ci_low	01/19/21
end_p_ci_med	04/25/21
end_p_ci_up	04/25/21
begin_str	10/08/2020
