date	value	incidence	scenario	lower_ci	upper_ci
2020-10-11	151595	NA	Observed	NA	NA
2020-10-12	152764	1169	Observed	NA	NA
2020-10-13	153922	1158	Observed	NA	NA
2020-10-14	155097	1175	Observed	NA	NA
2020-10-15	156282	1185	Observed	NA	NA
2020-10-16	157473	1191	Observed	NA	NA
2020-10-17	158634	1161	Observed	NA	NA
2020-10-18	159725	1091	Observed	NA	NA
2020-10-19	160721	996	Observed	NA	NA
2020-10-20	161847	1126	Observed	NA	NA
2020-10-21	162984	1137	Observed	NA	NA
2020-10-22	164120	1136	Observed	NA	NA
2020-10-23	165232	1112	Observed	NA	NA
2020-10-24	166253	1021	Observed	NA	NA
2020-10-25	167172	919	Observed	NA	NA
2020-10-26	168080	908	Observed	NA	NA
2020-10-27	169072	992	Observed	NA	NA
2020-10-28	170052	980	Observed	NA	NA
2020-10-29	171039	987	Observed	NA	NA
2020-10-30	172008	969	Observed	NA	NA
2020-10-31	172943	935	Observed	NA	NA
2020-11-01	173803	860	Observed	NA	NA
2020-11-02	174678	875	Observed	NA	NA
2020-11-03	175632	954	Observed	NA	NA
2020-11-04	176607	975	Observed	NA	NA
2020-11-05	177597	990	Observed	NA	NA
2020-11-06	178632	1035	Observed	NA	NA
2020-11-07	179678	1046	Observed	NA	NA
2020-11-08	180698	1020	Observed	NA	NA
2020-11-09	181669	971	Observed	NA	NA
2020-11-10	182718	1049	Observed	NA	NA
2020-11-11	183843	1125	Observed	NA	NA
2020-11-12	184963	1120	Observed	NA	NA
2020-11-13	186115	1152	Observed	NA	NA
2020-11-14	187239	1124	Observed	NA	NA
2020-11-15	188309	1070	Observed	NA	NA
2020-11-16	189235	926	Observed	NA	NA
2020-11-17	190360	1125	Observed	NA	NA
2020-11-18	191641	1281	Observed	NA	NA
2020-11-19	192981	1340	Observed	NA	NA
2020-11-20	194401	1420	Observed	NA	NA
2020-11-21	195916	1515	Observed	NA	NA
2020-11-22	197411	1495	Observed	NA	NA
2020-11-23	198898	1487	Observed	NA	NA
2020-11-24	200408	1510	Observed	NA	NA
2020-11-25	200878	NA	Soc. Dist. + Travel Ban	168349	236544
2020-11-26	201473	595	Soc. Dist. + Travel Ban	163953	242914
2020-11-27	202072	599	Soc. Dist. + Travel Ban	160401	248922
2020-11-28	202698	626	Soc. Dist. + Travel Ban	157214	254183
2020-11-29	203297	599	Soc. Dist. + Travel Ban	154396	259455
2020-11-30	203917	620	Soc. Dist. + Travel Ban	151598	264399
2020-12-01	204520	603	Soc. Dist. + Travel Ban	149336	269152
2020-12-02	205128	608	Soc. Dist. + Travel Ban	147149	273451
2020-12-03	205703	575	Soc. Dist. + Travel Ban	145090	277840
2020-12-04	206308	605	Soc. Dist. + Travel Ban	143172	282392
2020-12-05	206896	588	Soc. Dist. + Travel Ban	141429	286675
2020-12-06	207487	591	Soc. Dist. + Travel Ban	139636	290704
2020-12-07	208071	584	Soc. Dist. + Travel Ban	138002	294491
2020-12-08	208651	580	Soc. Dist. + Travel Ban	136399	298511
2020-12-09	209234	583	Soc. Dist. + Travel Ban	134705	302129
2020-12-10	209809	575	Soc. Dist. + Travel Ban	133371	305897
2020-12-11	210380	571	Soc. Dist. + Travel Ban	131848	309757
2020-12-12	210972	592	Soc. Dist. + Travel Ban	130602	313874
2020-12-13	211566	594	Soc. Dist. + Travel Ban	129376	317230
2020-12-14	212175	609	Soc. Dist. + Travel Ban	128350	320882
2020-12-15	212769	594	Soc. Dist. + Travel Ban	127098	324863
2020-12-16	213333	564	Soc. Dist. + Travel Ban	126152	328800
2020-12-17	213916	583	Soc. Dist. + Travel Ban	125053	331675
2020-12-18	214513	597	Soc. Dist. + Travel Ban	124102	335334
2020-12-19	215094	581	Soc. Dist. + Travel Ban	123160	339073
2020-12-20	215668	574	Soc. Dist. + Travel Ban	122262	342966
2020-12-21	216246	578	Soc. Dist. + Travel Ban	120963	346515
2020-12-22	216863	617	Soc. Dist. + Travel Ban	120437	350148
2020-12-23	217456	593	Soc. Dist. + Travel Ban	119446	353925
2020-12-24	218030	574	Soc. Dist. + Travel Ban	118602	357309
2020-12-25	218602	572	Soc. Dist. + Travel Ban	117688	360918
2020-12-26	219197	595	Soc. Dist. + Travel Ban	116982	364656
2020-12-27	219807	610	Soc. Dist. + Travel Ban	116432	368186
2020-12-28	220412	605	Soc. Dist. + Travel Ban	115747	371531
2020-12-29	221023	611	Soc. Dist. + Travel Ban	114883	375196
2020-12-30	221607	584	Soc. Dist. + Travel Ban	114230	378858
2020-12-31	222235	628	Soc. Dist. + Travel Ban	113345	382196
2021-01-01	222837	602	Soc. Dist. + Travel Ban	112804	385894
2021-01-02	223462	625	Soc. Dist. + Travel Ban	111679	389844
2021-01-03	224073	611	Soc. Dist. + Travel Ban	111092	393380
2021-01-04	224679	606	Soc. Dist. + Travel Ban	110133	397011
2021-01-05	225287	608	Soc. Dist. + Travel Ban	109447	400800
2021-01-06	225899	612	Soc. Dist. + Travel Ban	109112	404748
2021-01-07	226553	654	Soc. Dist. + Travel Ban	108406	408823
2021-01-08	227195	642	Soc. Dist. + Travel Ban	107510	412260
2021-01-09	227847	652	Soc. Dist. + Travel Ban	106964	416742
2021-01-10	228519	672	Soc. Dist. + Travel Ban	106224	421288
2021-01-11	229153	634	Soc. Dist. + Travel Ban	105231	425530
2021-01-12	229830	677	Soc. Dist. + Travel Ban	104581	429391
2021-01-13	230479	649	Soc. Dist. + Travel Ban	104197	433769
2021-01-14	231172	693	Soc. Dist. + Travel Ban	103495	438247
2021-01-15	231872	700	Soc. Dist. + Travel Ban	102768	442226
2021-01-16	232606	734	Soc. Dist. + Travel Ban	101847	446325
2021-01-17	233293	687	Soc. Dist. + Travel Ban	101464	450535
2021-01-18	233996	703	Soc. Dist. + Travel Ban	100949	454784
2021-01-19	234693	697	Soc. Dist. + Travel Ban	100462	459699
2021-01-20	235409	716	Soc. Dist. + Travel Ban	99908	463814
2021-01-21	236131	722	Soc. Dist. + Travel Ban	99530	468559
2021-01-22	236851	720	Soc. Dist. + Travel Ban	99113	472590
2021-01-23	237571	720	Soc. Dist. + Travel Ban	98175	476764
2021-01-24	238294	723	Soc. Dist. + Travel Ban	97767	481725
2021-01-25	239024	730	Soc. Dist. + Travel Ban	97301	486396
2021-01-26	239781	757	Soc. Dist. + Travel Ban	96669	491481
2021-01-27	240548	767	Soc. Dist. + Travel Ban	96208	495248
2021-01-28	241306	758	Soc. Dist. + Travel Ban	95627	500513
2021-01-29	242069	763	Soc. Dist. + Travel Ban	95274	505508
2021-01-30	242884	815	Soc. Dist. + Travel Ban	94442	510628
2021-01-31	243705	821	Soc. Dist. + Travel Ban	93836	514963
2021-02-01	244511	806	Soc. Dist. + Travel Ban	93216	521453
2021-02-02	245340	829	Soc. Dist. + Travel Ban	92742	525386
