stat	value
thetaS_last_obs_p_mean	0.9932028
thetaI_last_obs_p_mean	0.0001015698
thetaR_last_obs_p_mean	0.006695612
thetaS_last_obs_p_ci_low	0.9928659
thetaS_last_obs_p_ci_med	0.9932036
thetaS_last_obs_p_ci_up	0.993533
thetaI_last_obs_p_ci_low	6.330766e-05
thetaI_last_obs_p_ci_med	0.0001006242
thetaI_last_obs_p_ci_up	0.0001453255
thetaR_last_obs_p_ci_low	0.006368269
thetaR_last_obs_p_ci_med	0.006694845
thetaR_last_obs_p_ci_up	0.007029872
R0_p_mean	0.8300766
R0_p_ci_low	0.4308208
R0_p_ci_med	0.770877
R0_p_ci_up	1.645783
gamma_p_mean	0.06899615
gamma_p_ci_low	0.008812177
gamma_p_ci_med	0.06478244
gamma_p_ci_up	0.1580793
beta_p_mean	0.05266989
beta_p_ci_low	0.009448327
beta_p_ci_med	0.04684015
beta_p_ci_up	0.1278923
incidence_mean	0.00104868
incidence_ci_low	0.0001996124
incidence_ci_median	0.0009404841
incidence_ci_up	0.002492978
thetaI_tp1_mean	1.209564e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	6.118461e-05
thetaR_tp1_mean	0.006888477
thetaR_tp1_ci_low	0.002487066
thetaR_tp1_ci_med	0.006638794
thetaR_tp1_ci_up	0.01272709
Y_tp1_mean	1.211475e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	5.952983e-05
R_tp1_mean	0.006888676
R_tp1_ci_low	0.002472005
R_tp1_ci_med	0.006638131
R_tp1_ci_up	0.01274143
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.006888477
thetaR_max_ci_low	0.002487066
thetaR_max_ci_med	0.006638794
thetaR_max_ci_up	0.01272709
cumInf_mean	0.006900572
cumInf_ci_low	0.002490181
cumInf_ci_med	0.006648784
cumInf_ci_up	0.01275683
dthetaI_tp1_date	04/29/21
first_tp_mean	10/31/20
first_tp_ci_low	10/12/20
first_tp_ci_med	10/17/20
first_tp_ci_up	11/25/20
dthetaI_tp2_date	04/29/21
second_tp_mean	11/01/20
second_tp_ci_low	10/12/20
second_tp_ci_med	10/19/20
second_tp_ci_up	11/27/20
end_p_mean	01/04/21
end_p_ci_low	12/04/20
end_p_ci_med	12/24/20
end_p_ci_up	04/29/21
begin_str	10/12/2020
