date	value	lower_ci	upper_ci	incidence	scenario
2020-11-29	109562	98705	121066	NA	Moderate return
2020-11-30	109771	97236	123131	209	Moderate return
2020-12-01	109970	95972	124992	199	Moderate return
2020-12-02	110173	94793	126738	203	Moderate return
2020-12-03	110367	93916	128370	194	Moderate return
2020-12-04	110558	93026	129841	191	Moderate return
2020-12-05	110756	92120	131324	198	Moderate return
2020-12-06	110937	91333	132752	181	Moderate return
2020-12-07	111115	90595	134116	178	Moderate return
2020-12-08	111291	89940	135385	176	Moderate return
2020-12-09	111475	89271	136622	184	Moderate return
2020-12-10	111648	88549	137862	173	Moderate return
2020-12-11	111829	87936	139025	181	Moderate return
2020-12-12	111990	87423	140254	161	Moderate return
2020-12-13	112159	86869	141406	169	Moderate return
2020-12-14	112320	86308	142479	161	Moderate return
2020-12-15	112481	85796	143534	161	Moderate return
2020-12-16	112640	85345	144694	159	Moderate return
2020-12-17	112807	84843	145751	167	Moderate return
2020-12-18	112960	84415	146731	153	Moderate return
2020-12-19	113117	83971	147740	157	Moderate return
2020-12-20	113271	83480	148749	154	Moderate return
2020-12-21	113422	83117	149553	151	Moderate return
2020-12-22	113571	82734	150652	149	Moderate return
2020-12-23	113712	82313	151364	141	Moderate return
2020-12-24	113851	81909	152410	139	Moderate return
2020-12-25	113988	81645	153385	137	Moderate return
2020-12-26	114122	81324	154380	134	Moderate return
2020-12-27	114264	80907	155191	142	Moderate return
2020-12-28	114402	80668	155957	138	Moderate return
2020-12-29	114540	80303	156844	138	Moderate return
2020-12-30	114675	80079	157789	135	Moderate return
2020-12-31	114808	79753	158445	133	Moderate return
2021-01-01	114944	79470	159444	136	Moderate return
2021-01-02	115068	79206	160200	124	Moderate return
2021-01-03	115204	78897	161086	136	Moderate return
2021-01-04	115326	78572	161857	122	Moderate return
2021-01-05	115445	78416	162595	119	Moderate return
2021-01-06	115569	78036	163263	124	Moderate return
2021-01-07	115693	77773	164208	124	Moderate return
2021-01-08	115799	77502	165006	106	Moderate return
2021-01-09	115919	77163	165825	120	Moderate return
2021-01-10	116037	76990	166564	118	Moderate return
2021-01-11	116152	76721	167397	115	Moderate return
