stat	value
thetaS_last_obs_p_mean	0.9972855
thetaI_last_obs_p_mean	0.0001279555
thetaR_last_obs_p_mean	0.002586505
thetaS_last_obs_p_ci_low	0.9970787
thetaS_last_obs_p_ci_med	0.9972863
thetaS_last_obs_p_ci_up	0.9974868
thetaI_last_obs_p_ci_low	8.646572e-05
thetaI_last_obs_p_ci_med	0.0001271164
thetaI_last_obs_p_ci_up	0.0001745183
thetaR_last_obs_p_ci_low	0.002389831
thetaR_last_obs_p_ci_med	0.002585811
thetaR_last_obs_p_ci_up	0.002787387
R0_p_mean	1.469588
R0_p_ci_low	0.6652858
R0_p_ci_med	1.339808
R0_p_ci_up	3.016993
gamma_p_mean	0.04697386
gamma_p_ci_low	0.006455947
gamma_p_ci_med	0.03456554
gamma_p_ci_up	0.1591146
beta_p_mean	0.06036974
beta_p_ci_low	0.008829125
beta_p_ci_med	0.04932298
beta_p_ci_up	0.1765088
incidence_mean	0.03332907
incidence_ci_low	9.180935e-05
incidence_ci_median	0.001128071
incidence_ci_up	0.4086733
thetaI_tp1_mean	0.007943056
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	1.17921e-05
thetaI_tp1_ci_up	0.08881619
thetaR_tp1_mean	0.01823639
thetaR_tp1_ci_low	0.0007248291
thetaR_tp1_ci_med	0.003769025
thetaR_tp1_ci_up	0.1754964
Y_tp1_mean	0.007942873
Y_tp1_ci_low	0
Y_tp1_ci_med	9.492656e-06
Y_tp1_ci_up	0.08887608
R_tp1_mean	0.01823599
R_tp1_ci_low	0.0007207
R_tp1_ci_med	0.003773251
R_tp1_ci_up	0.1754061
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02524377
thetaR_max_ci_low	0.0006376737
thetaR_max_ci_med	0.003921576
thetaR_max_ci_up	0.2774386
cumInf_mean	0.03538918
cumInf_ci_low	0.0006505168
cumInf_ci_med	0.004195309
cumInf_ci_up	0.4068092
dthetaI_tp1_date	04/17/21
first_tp_mean	12/31/20
first_tp_ci_low	10/16/20
first_tp_ci_med	11/22/20
first_tp_ci_up	05/03/21
dthetaI_tp2_date	04/17/21
second_tp_mean	01/03/21
second_tp_ci_low	10/18/20
second_tp_ci_med	11/24/20
second_tp_ci_up	05/03/21
end_p_mean	03/13/21
end_p_ci_low	12/14/20
end_p_ci_med	04/24/21
end_p_ci_up	05/03/21
begin_str	10/16/2020
