stat	value
thetaS_last_obs_p_mean	0.9947435
thetaI_last_obs_p_mean	0.0002715548
thetaR_last_obs_p_mean	0.004984943
thetaS_last_obs_p_ci_low	0.9944555
thetaS_last_obs_p_ci_med	0.9947444
thetaS_last_obs_p_ci_up	0.9950282
thetaI_last_obs_p_ci_low	0.0002093066
thetaI_last_obs_p_ci_med	0.000270641
thetaI_last_obs_p_ci_up	0.0003385251
thetaR_last_obs_p_ci_low	0.004706867
thetaR_last_obs_p_ci_med	0.004984142
thetaR_last_obs_p_ci_up	0.005266098
R0_p_mean	1.219613
R0_p_ci_low	0.6619011
R0_p_ci_med	1.122084
R0_p_ci_up	2.348601
gamma_p_mean	0.06068232
gamma_p_ci_low	0.008010146
gamma_p_ci_med	0.05039635
gamma_p_ci_up	0.1651639
beta_p_mean	0.06682588
beta_p_ci_low	0.01067966
beta_p_ci_med	0.05761992
beta_p_ci_up	0.1712034
incidence_mean	0.01663609
incidence_ci_low	0.0003429491
incidence_ci_median	0.003224423
incidence_ci_up	0.1384927
thetaI_tp1_mean	0.004155391
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0001893499
thetaI_tp1_ci_up	0.03768627
thetaR_tp1_mean	0.01654706
thetaR_tp1_ci_low	0.002372905
thetaR_tp1_ci_med	0.007640466
thetaR_tp1_ci_up	0.100812
Y_tp1_mean	0.004154947
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0001885886
Y_tp1_ci_up	0.03774962
R_tp1_mean	0.01654652
R_tp1_ci_low	0.002365347
R_tp1_ci_med	0.007638855
R_tp1_ci_up	0.1007819
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01654706
thetaR_max_ci_low	0.002372905
thetaR_max_ci_med	0.007640466
thetaR_max_ci_up	0.100812
cumInf_mean	0.02070246
cumInf_ci_low	0.002422928
cumInf_ci_med	0.008083539
cumInf_ci_up	0.1414875
dthetaI_tp1_date	05/03/21
first_tp_mean	12/04/20
first_tp_ci_low	10/16/20
first_tp_ci_med	10/26/20
first_tp_ci_up	05/03/21
dthetaI_tp2_date	05/03/21
second_tp_mean	12/06/20
second_tp_ci_low	10/18/20
second_tp_ci_med	10/28/20
second_tp_ci_up	05/03/21
end_p_mean	03/31/21
end_p_ci_low	12/27/20
end_p_ci_med	05/03/21
end_p_ci_up	05/03/21
begin_str	10/16/2020
