stat	value
thetaS_last_obs_p_mean	0.9876589
thetaI_last_obs_p_mean	0.0009782473
thetaR_last_obs_p_mean	0.01136284
thetaS_last_obs_p_ci_low	0.9872201
thetaS_last_obs_p_ci_med	0.9876597
thetaS_last_obs_p_ci_up	0.9880929
thetaI_last_obs_p_ci_low	0.0008572664
thetaI_last_obs_p_ci_med	0.000977204
thetaI_last_obs_p_ci_up	0.001104031
thetaR_last_obs_p_ci_low	0.01094652
thetaR_last_obs_p_ci_med	0.01136253
thetaR_last_obs_p_ci_up	0.01178345
R0_p_mean	1.045556
R0_p_ci_low	0.5728406
R0_p_ci_med	0.9864854
R0_p_ci_up	1.897851
gamma_p_mean	0.03439946
gamma_p_ci_low	0.006173516
gamma_p_ci_med	0.03121397
gamma_p_ci_up	0.08038734
beta_p_mean	0.0337414
beta_p_ci_low	0.007049487
beta_p_ci_med	0.03040489
beta_p_ci_up	0.07855165
incidence_mean	0.008204797
incidence_ci_low	0.001032469
incidence_ci_median	0.005310767
incidence_ci_up	0.03353617
thetaI_tp1_mean	0.001651346
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0006226705
thetaI_tp1_ci_up	0.009559126
thetaR_tp1_mean	0.01703453
thetaR_tp1_ci_low	0.008070203
thetaR_tp1_ci_med	0.01546826
thetaR_tp1_ci_up	0.03597767
Y_tp1_mean	0.001651307
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0006219634
Y_tp1_ci_up	0.009570153
R_tp1_mean	0.01703516
R_tp1_ci_low	0.008053553
R_tp1_ci_med	0.01546977
R_tp1_ci_up	0.03604761
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01703453
thetaR_max_ci_low	0.008070203
thetaR_max_ci_med	0.01546826
thetaR_max_ci_up	0.03597767
cumInf_mean	0.01868588
cumInf_ci_low	0.008425253
cumInf_ci_med	0.01637146
cumInf_ci_up	0.04395415
dthetaI_tp1_date	05/08/21
first_tp_mean	11/23/20
first_tp_ci_low	10/21/20
first_tp_ci_med	11/09/20
first_tp_ci_up	05/08/21
dthetaI_tp2_date	05/08/21
second_tp_mean	11/24/20
second_tp_ci_low	10/23/20
second_tp_ci_med	11/11/20
second_tp_ci_up	05/08/21
end_p_mean	04/30/21
end_p_ci_low	02/22/21
end_p_ci_med	05/08/21
end_p_ci_up	05/08/21
begin_str	10/21/2020
