date	value	lower_ci	upper_ci	incidence	scenario
2020-12-08	635015	581606	691945	NA	Moderate return
2020-12-09	635440	573656	701600	425	Moderate return
2020-12-10	635763	566909	710191	323	Moderate return
2020-12-11	636086	561139	717803	323	Moderate return
2020-12-12	636363	555895	724734	277	Moderate return
2020-12-13	636627	550787	730584	264	Moderate return
2020-12-14	636919	546254	736757	292	Moderate return
2020-12-15	637151	541901	742528	232	Moderate return
2020-12-16	637304	537817	747923	153	Moderate return
2020-12-17	637464	533505	752873	160	Moderate return
2020-12-18	637559	530036	757879	95	Moderate return
2020-12-19	637672	525981	762033	113	Moderate return
2020-12-20	637817	522467	766347	145	Moderate return
2020-12-21	637956	519575	769750	139	Moderate return
2020-12-22	638052	515780	774941	96	Moderate return
2020-12-23	638143	512655	778790	91	Moderate return
2020-12-24	638213	509458	782087	70	Moderate return
2020-12-25	638323	506271	786876	110	Moderate return
2020-12-26	638389	502765	790800	66	Moderate return
2020-12-27	638466	499909	793939	77	Moderate return
2020-12-28	638493	497117	797484	27	Moderate return
2020-12-29	638576	494288	799904	83	Moderate return
2020-12-30	638672	492046	804128	96	Moderate return
2020-12-31	638747	488978	807358	75	Moderate return
2021-01-01	638742	486110	810193	-5	Moderate return
2021-01-02	638805	483787	813741	63	Moderate return
2021-01-03	638917	481051	816987	112	Moderate return
2021-01-04	638979	478690	819465	62	Moderate return
2021-01-05	639073	476434	823071	94	Moderate return
2021-01-06	639133	473593	825493	60	Moderate return
2021-01-07	639138	471937	828947	5	Moderate return
2021-01-08	639138	469470	831176	0	Moderate return
2021-01-09	639202	466739	833589	64	Moderate return
2021-01-10	639170	464794	837072	-32	Moderate return
2021-01-11	639215	462865	839515	45	Moderate return
2021-01-12	639281	459723	841706	66	Moderate return
2021-01-13	639276	458026	845330	-5	Moderate return
2021-01-14	639323	455396	847724	47	Moderate return
2021-01-15	639309	453540	850129	-14	Moderate return
2021-01-16	639313	451903	852688	4	Moderate return
2021-01-17	639317	449982	855064	4	Moderate return
2021-01-18	639350	448109	858194	33	Moderate return
2021-01-19	639328	445705	860222	-22	Moderate return
2021-01-20	639321	443863	861881	-7	Moderate return
2021-01-21	639349	442246	865060	28	Moderate return
2021-01-22	639382	439890	866999	33	Moderate return
2021-01-23	639392	437540	868069	10	Moderate return
2021-01-24	639376	435169	870536	-16	Moderate return
2021-01-25	639414	433500	872784	38	Moderate return
2021-01-26	639505	432299	875701	91	Moderate return
2021-01-27	639521	430068	877510	16	Moderate return
2021-01-28	639515	428226	879931	-6	Moderate return
2021-01-29	639567	426685	881977	52	Moderate return
2021-01-30	639576	425564	884608	9	Moderate return
2021-01-31	639610	423252	886662	34	Moderate return
2021-02-01	639595	421605	888728	-15	Moderate return
2021-02-02	639641	419875	890836	46	Moderate return
2021-02-03	639595	418538	893521	-46	Moderate return
2021-02-04	639576	416751	895360	-19	Moderate return
2021-02-05	639476	414379	897211	-100	Moderate return
2021-02-06	639462	413169	898577	-14	Moderate return
2021-02-07	639420	411522	901892	-42	Moderate return
2021-02-08	639455	409852	903449	35	Moderate return
2021-02-09	639411	408486	905996	-44	Moderate return
2021-02-10	639386	407289	908019	-25	Moderate return
2021-02-11	639413	405729	910094	27	Moderate return
2021-02-12	639460	403826	912432	47	Moderate return
2021-02-13	639458	402769	914116	-2	Moderate return
2021-02-14	639418	400856	915985	-40	Moderate return
2021-02-15	639459	399022	918999	41	Moderate return
2021-02-16	639425	397693	920682	-34	Moderate return
2021-02-17	639392	396051	921850	-33	Moderate return
2021-02-18	639404	395325	923255	12	Moderate return
2021-02-19	639350	393127	926285	-54	Moderate return
2021-02-20	639349	391672	928595	-1	Moderate return
2021-02-21	639344	389886	930902	-5	Moderate return
2021-02-22	639336	388576	932132	-8	Moderate return
2021-02-23	639350	387511	933457	14	Moderate return
2021-02-24	639334	386058	936006	-16	Moderate return
2021-02-25	639271	384958	938258	-63	Moderate return
2021-02-26	639275	384194	939333	4	Moderate return
2021-02-27	639322	382513	941986	47	Moderate return
2021-02-28	639339	380655	944968	17	Moderate return
2021-03-01	639319	378942	946336	-20	Moderate return
2021-03-02	639358	377982	948467	39	Moderate return
2021-03-03	639357	376927	950239	-1	Moderate return
2021-03-04	639432	375508	952945	75	Moderate return
2021-03-05	639413	373939	953004	-19	Moderate return
2021-03-06	639421	372402	955309	8	Moderate return
2021-03-07	639388	371648	956858	-33	Moderate return
2021-03-08	639433	370258	959592	45	Moderate return
2021-03-09	639366	368830	960882	-67	Moderate return
2021-03-10	639422	366948	961474	56	Moderate return
2021-03-11	639452	365693	964898	30	Moderate return
2021-03-12	639447	364648	966881	-5	Moderate return
2021-03-13	639428	363177	968415	-19	Moderate return
2021-03-14	639432	361026	970469	4	Moderate return
2021-03-15	639405	360345	972171	-27	Moderate return
2021-03-16	639369	359252	974082	-36	Moderate return
2021-03-17	639387	357084	975439	18	Moderate return
2021-03-18	639383	356605	978583	-4	Moderate return
2021-03-19	639363	354850	979277	-20	Moderate return
2021-03-20	639371	354029	981770	8	Moderate return
2021-03-21	639352	352709	983579	-19	Moderate return
2021-03-22	639341	351981	984772	-11	Moderate return
2021-03-23	639352	350911	985829	11	Moderate return
2021-03-24	639365	349231	987565	13	Moderate return
2021-03-25	639324	349418	989790	-41	Moderate return
2021-03-26	639383	347604	991020	59	Moderate return
2021-03-27	639414	346884	992874	31	Moderate return
2021-03-28	639433	345760	994567	19	Moderate return
2021-03-29	639416	344605	995610	-17	Moderate return
2021-03-30	639489	343290	997286	73	Moderate return
2021-03-31	639512	342039	1001007	23	Moderate return
2021-04-01	639520	340962	1001830	8	Moderate return
2021-04-02	639605	339987	1003834	85	Moderate return
2021-04-03	639677	338339	1005021	72	Moderate return
2021-04-04	639674	337378	1006991	-3	Moderate return
2021-04-05	639663	336782	1009662	-11	Moderate return
2021-04-06	639696	335460	1010706	33	Moderate return
2021-04-07	639660	334326	1011083	-36	Moderate return
2021-04-08	639672	332577	1014288	12	Moderate return
2021-04-09	639641	332157	1015806	-31	Moderate return
2021-04-10	639639	330918	1016893	-2	Moderate return
2021-04-11	639583	330122	1019518	-56	Moderate return
2021-04-12	639552	328664	1020667	-31	Moderate return
2021-04-13	639576	327761	1021477	24	Moderate return
2021-04-14	639547	326725	1023455	-29	Moderate return
2021-04-15	639592	325126	1025427	45	Moderate return
2021-04-16	639620	325233	1027048	28	Moderate return
2021-04-17	639635	323433	1028132	15	Moderate return
2021-04-18	639647	322368	1031149	12	Moderate return
2021-04-19	639686	321675	1032221	39	Moderate return
2021-04-20	639653	320440	1032997	-33	Moderate return
2021-04-21	639689	318717	1034657	36	Moderate return
