stat	value
thetaS_last_obs_p_mean	0.9965001
thetaI_last_obs_p_mean	0.00023757
thetaR_last_obs_p_mean	0.00326234
thetaS_last_obs_p_ci_low	0.9962646
thetaS_last_obs_p_ci_med	0.9965004
thetaS_last_obs_p_ci_up	0.9967303
thetaI_last_obs_p_ci_low	0.0001803232
thetaI_last_obs_p_ci_med	0.0002366373
thetaI_last_obs_p_ci_up	0.0003002375
thetaR_last_obs_p_ci_low	0.00304033
thetaR_last_obs_p_ci_med	0.003261947
thetaR_last_obs_p_ci_up	0.003489708
R0_p_mean	1.644797
R0_p_ci_low	0.7931431
R0_p_ci_med	1.508367
R0_p_ci_up	3.260642
gamma_p_mean	0.05070975
gamma_p_ci_low	0.007613241
gamma_p_ci_med	0.03894373
gamma_p_ci_up	0.1601237
beta_p_mean	0.07364166
beta_p_ci_low	0.01144853
beta_p_ci_med	0.06353675
beta_p_ci_up	0.1957163
incidence_mean	0.0140825
incidence_ci_low	0.0001903862
incidence_ci_median	0.001966297
incidence_ci_up	0.1217382
thetaI_tp1_mean	0.004740176
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	8.377308e-05
thetaI_tp1_ci_up	0.04596348
thetaR_tp1_mean	0.01214921
thetaR_tp1_ci_low	0.001183884
thetaR_tp1_ci_med	0.00507524
thetaR_tp1_ci_up	0.07557171
Y_tp1_mean	0.004739978
Y_tp1_ci_low	0
Y_tp1_ci_med	8.102971e-05
Y_tp1_ci_up	0.04599094
R_tp1_mean	0.0121492
R_tp1_ci_low	0.001178996
R_tp1_ci_med	0.005074246
R_tp1_ci_up	0.07568903
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01214921
thetaR_max_ci_low	0.001183884
thetaR_max_ci_med	0.00507524
thetaR_max_ci_up	0.07557171
cumInf_mean	0.01688939
cumInf_ci_low	0.001212694
cumInf_ci_med	0.005408497
cumInf_ci_up	0.1230462
dthetaI_tp1_date	05/11/21
first_tp_mean	12/23/20
first_tp_ci_low	10/29/20
first_tp_ci_med	11/24/20
first_tp_ci_up	05/11/21
dthetaI_tp2_date	05/11/21
second_tp_mean	12/25/20
second_tp_ci_low	10/31/20
second_tp_ci_med	11/27/20
second_tp_ci_up	05/11/21
end_p_mean	04/03/21
end_p_ci_low	01/01/21
end_p_ci_med	05/11/21
end_p_ci_up	05/11/21
begin_str	10/24/2020
