date	value	lower_ci	upper_ci	incidence	scenario
2020-12-08	389189	308562	480836	NA	Soc. Dist. + Travel Ban
2020-12-09	390391	297625	496327	1202	Soc. Dist. + Travel Ban
2020-12-10	391613	289318	511031	1222	Soc. Dist. + Travel Ban
2020-12-11	392854	281200	524748	1241	Soc. Dist. + Travel Ban
2020-12-12	394112	273927	537575	1258	Soc. Dist. + Travel Ban
2020-12-13	395427	267657	549218	1315	Soc. Dist. + Travel Ban
2020-12-14	396617	262447	560651	1190	Soc. Dist. + Travel Ban
2020-12-15	397838	256779	572435	1221	Soc. Dist. + Travel Ban
2020-12-16	399078	251849	582645	1240	Soc. Dist. + Travel Ban
2020-12-17	400325	247243	594644	1247	Soc. Dist. + Travel Ban
2020-12-18	401593	243091	604450	1268	Soc. Dist. + Travel Ban
2020-12-19	402797	239103	614671	1204	Soc. Dist. + Travel Ban
2020-12-20	403953	235101	625054	1156	Soc. Dist. + Travel Ban
2020-12-21	405249	231309	635370	1296	Soc. Dist. + Travel Ban
2020-12-22	406440	228425	644486	1191	Soc. Dist. + Travel Ban
2020-12-23	407740	224793	654249	1300	Soc. Dist. + Travel Ban
2020-12-24	409020	222253	664034	1280	Soc. Dist. + Travel Ban
2020-12-25	410161	219768	672920	1141	Soc. Dist. + Travel Ban
2020-12-26	411377	216393	683824	1216	Soc. Dist. + Travel Ban
2020-12-27	412629	213501	692343	1252	Soc. Dist. + Travel Ban
2020-12-28	413916	211285	703189	1287	Soc. Dist. + Travel Ban
2020-12-29	415194	208732	711490	1278	Soc. Dist. + Travel Ban
2020-12-30	416410	205740	721137	1216	Soc. Dist. + Travel Ban
2020-12-31	417599	203690	729543	1189	Soc. Dist. + Travel Ban
2021-01-01	418867	200656	739251	1268	Soc. Dist. + Travel Ban
2021-01-02	420254	198895	748873	1387	Soc. Dist. + Travel Ban
2021-01-03	421562	195699	757687	1308	Soc. Dist. + Travel Ban
2021-01-04	422850	194340	766875	1288	Soc. Dist. + Travel Ban
2021-01-05	424133	191997	777236	1283	Soc. Dist. + Travel Ban
2021-01-06	425483	189828	786397	1350	Soc. Dist. + Travel Ban
2021-01-07	426898	187686	796437	1415	Soc. Dist. + Travel Ban
2021-01-08	428324	185494	806503	1426	Soc. Dist. + Travel Ban
2021-01-09	429745	183601	815679	1421	Soc. Dist. + Travel Ban
2021-01-10	431074	181314	825868	1329	Soc. Dist. + Travel Ban
2021-01-11	432462	178928	836310	1388	Soc. Dist. + Travel Ban
2021-01-12	433849	177138	846051	1387	Soc. Dist. + Travel Ban
2021-01-13	435277	175771	854567	1428	Soc. Dist. + Travel Ban
2021-01-14	436745	173699	865421	1468	Soc. Dist. + Travel Ban
2021-01-15	438240	171745	876471	1495	Soc. Dist. + Travel Ban
2021-01-16	439663	170200	887181	1423	Soc. Dist. + Travel Ban
2021-01-17	441146	168346	897914	1483	Soc. Dist. + Travel Ban
2021-01-18	442692	166267	906496	1546	Soc. Dist. + Travel Ban
2021-01-19	444266	165197	917242	1574	Soc. Dist. + Travel Ban
2021-01-20	445907	163619	928464	1641	Soc. Dist. + Travel Ban
2021-01-21	447395	161957	939838	1488	Soc. Dist. + Travel Ban
2021-01-22	448909	160009	949110	1514	Soc. Dist. + Travel Ban
2021-01-23	450631	158189	961458	1722	Soc. Dist. + Travel Ban
2021-01-24	452298	156964	973667	1667	Soc. Dist. + Travel Ban
2021-01-25	453959	154536	985558	1661	Soc. Dist. + Travel Ban
2021-01-26	455673	152813	997523	1714	Soc. Dist. + Travel Ban
2021-01-27	457379	151205	1009028	1706	Soc. Dist. + Travel Ban
2021-01-28	459109	150226	1021783	1730	Soc. Dist. + Travel Ban
2021-01-29	460857	148196	1034213	1748	Soc. Dist. + Travel Ban
2021-01-30	462662	146877	1046804	1805	Soc. Dist. + Travel Ban
2021-01-31	464521	145306	1060777	1859	Soc. Dist. + Travel Ban
2021-02-01	466373	143199	1072075	1852	Soc. Dist. + Travel Ban
2021-02-02	468300	142132	1084088	1927	Soc. Dist. + Travel Ban
2021-02-03	470261	141427	1099171	1961	Soc. Dist. + Travel Ban
2021-02-04	472267	139206	1113724	2006	Soc. Dist. + Travel Ban
2021-02-05	474390	138202	1126258	2123	Soc. Dist. + Travel Ban
2021-02-06	476369	137000	1140488	1979	Soc. Dist. + Travel Ban
2021-02-07	478495	135158	1156485	2126	Soc. Dist. + Travel Ban
2021-02-08	480668	133801	1167102	2173	Soc. Dist. + Travel Ban
2021-02-09	482837	132750	1185132	2169	Soc. Dist. + Travel Ban
2021-02-10	485048	131320	1199610	2211	Soc. Dist. + Travel Ban
2021-02-11	487318	129833	1213022	2270	Soc. Dist. + Travel Ban
2021-02-12	489636	128216	1230822	2318	Soc. Dist. + Travel Ban
2021-02-13	491880	127584	1246410	2244	Soc. Dist. + Travel Ban
2021-02-14	494165	126490	1263827	2285	Soc. Dist. + Travel Ban
2021-02-15	496664	125097	1279771	2499	Soc. Dist. + Travel Ban
2021-02-16	499154	123037	1294841	2490	Soc. Dist. + Travel Ban
2021-02-17	501685	122322	1314514	2531	Soc. Dist. + Travel Ban
2021-02-18	504306	121129	1331303	2621	Soc. Dist. + Travel Ban
2021-02-19	506901	119272	1349157	2595	Soc. Dist. + Travel Ban
2021-02-20	509655	118768	1367252	2754	Soc. Dist. + Travel Ban
2021-02-21	512435	116900	1386949	2780	Soc. Dist. + Travel Ban
2021-02-22	515220	115758	1406298	2785	Soc. Dist. + Travel Ban
2021-02-23	518121	114474	1427197	2901	Soc. Dist. + Travel Ban
2021-02-24	521049	113210	1447618	2928	Soc. Dist. + Travel Ban
2021-02-25	524065	111929	1469198	3016	Soc. Dist. + Travel Ban
2021-02-26	527167	110739	1491797	3102	Soc. Dist. + Travel Ban
2021-02-27	530302	109202	1510292	3135	Soc. Dist. + Travel Ban
2021-02-28	533644	107863	1532870	3342	Soc. Dist. + Travel Ban
2021-03-01	536869	106183	1552525	3225	Soc. Dist. + Travel Ban
2021-03-02	540236	105970	1578470	3367	Soc. Dist. + Travel Ban
2021-03-03	543650	104740	1605072	3414	Soc. Dist. + Travel Ban
2021-03-04	547286	103540	1627579	3636	Soc. Dist. + Travel Ban
2021-03-05	550875	102800	1649523	3589	Soc. Dist. + Travel Ban
2021-03-06	554651	101093	1679978	3776	Soc. Dist. + Travel Ban
2021-03-07	558465	100258	1707690	3814	Soc. Dist. + Travel Ban
2021-03-08	562282	100040	1732143	3817	Soc. Dist. + Travel Ban
2021-03-09	566257	97840	1758072	3975	Soc. Dist. + Travel Ban
2021-03-10	570380	97003	1788480	4123	Soc. Dist. + Travel Ban
2021-03-11	574561	95930	1818902	4181	Soc. Dist. + Travel Ban
2021-03-12	578722	94976	1848586	4161	Soc. Dist. + Travel Ban
2021-03-13	583081	93597	1876659	4359	Soc. Dist. + Travel Ban
2021-03-14	587560	92179	1904503	4479	Soc. Dist. + Travel Ban
2021-03-15	592290	91753	1939318	4730	Soc. Dist. + Travel Ban
2021-03-16	597012	90835	1967735	4722	Soc. Dist. + Travel Ban
2021-03-17	601898	89615	2001431	4886	Soc. Dist. + Travel Ban
2021-03-18	606781	88425	2036821	4883	Soc. Dist. + Travel Ban
2021-03-19	611964	87443	2069424	5183	Soc. Dist. + Travel Ban
2021-03-20	617152	86379	2108885	5188	Soc. Dist. + Travel Ban
2021-03-21	622451	85610	2145242	5299	Soc. Dist. + Travel Ban
2021-03-22	627935	84693	2180401	5484	Soc. Dist. + Travel Ban
2021-03-23	633479	83146	2228020	5544	Soc. Dist. + Travel Ban
2021-03-24	639305	82486	2264211	5826	Soc. Dist. + Travel Ban
2021-03-25	645191	81994	2307438	5886	Soc. Dist. + Travel Ban
2021-03-26	651290	80658	2349834	6099	Soc. Dist. + Travel Ban
2021-03-27	657462	79047	2395112	6172	Soc. Dist. + Travel Ban
2021-03-28	663844	78272	2434229	6382	Soc. Dist. + Travel Ban
2021-03-29	670261	77199	2474735	6417	Soc. Dist. + Travel Ban
2021-03-30	676927	75799	2522079	6666	Soc. Dist. + Travel Ban
2021-03-31	683686	75218	2574529	6759	Soc. Dist. + Travel Ban
2021-04-01	690751	74300	2622023	7065	Soc. Dist. + Travel Ban
2021-04-02	698060	73709	2672068	7309	Soc. Dist. + Travel Ban
2021-04-03	705427	72389	2727971	7367	Soc. Dist. + Travel Ban
2021-04-04	712831	71621	2775897	7404	Soc. Dist. + Travel Ban
2021-04-05	720349	70768	2836972	7518	Soc. Dist. + Travel Ban
2021-04-06	728165	69322	2885576	7816	Soc. Dist. + Travel Ban
2021-04-07	736112	68226	2939764	7947	Soc. Dist. + Travel Ban
2021-04-08	744209	68043	3001020	8097	Soc. Dist. + Travel Ban
2021-04-09	752596	66941	3052001	8387	Soc. Dist. + Travel Ban
2021-04-10	761175	65745	3113224	8579	Soc. Dist. + Travel Ban
2021-04-11	769872	65186	3178918	8697	Soc. Dist. + Travel Ban
2021-04-12	778873	64101	3242556	9001	Soc. Dist. + Travel Ban
2021-04-13	788091	63176	3307018	9218	Soc. Dist. + Travel Ban
2021-04-14	797559	62348	3362071	9468	Soc. Dist. + Travel Ban
2021-04-15	807184	61168	3430642	9625	Soc. Dist. + Travel Ban
2021-04-16	816924	60420	3510279	9740	Soc. Dist. + Travel Ban
2021-04-17	826801	59588	3575755	9877	Soc. Dist. + Travel Ban
2021-04-18	836988	58837	3643061	10187	Soc. Dist. + Travel Ban
2021-04-19	847457	58158	3721917	10469	Soc. Dist. + Travel Ban
2021-04-20	858138	57362	3807897	10681	Soc. Dist. + Travel Ban
2021-04-21	869016	56562	3874646	10878	Soc. Dist. + Travel Ban
2021-04-22	880078	55476	3961218	11062	Soc. Dist. + Travel Ban
2021-04-23	891404	55188	4046495	11326	Soc. Dist. + Travel Ban
2021-04-24	902942	53681	4127178	11538	Soc. Dist. + Travel Ban
2021-04-25	914813	53450	4194018	11871	Soc. Dist. + Travel Ban
2021-04-26	926893	52689	4291279	12080	Soc. Dist. + Travel Ban
2021-04-27	939149	51625	4370299	12256	Soc. Dist. + Travel Ban
2021-04-28	951715	50654	4466358	12566	Soc. Dist. + Travel Ban
2021-04-29	964464	50185	4563461	12749	Soc. Dist. + Travel Ban
2021-04-30	977443	49419	4650471	12979	Soc. Dist. + Travel Ban
2021-05-01	990758	48134	4745464	13315	Soc. Dist. + Travel Ban
2021-05-02	1004259	47576	4852655	13501	Soc. Dist. + Travel Ban
2021-05-03	1017979	46879	4957141	13720	Soc. Dist. + Travel Ban
2021-05-04	1031819	45708	5056316	13840	Soc. Dist. + Travel Ban
2021-05-05	1046026	45074	5158343	14207	Soc. Dist. + Travel Ban
2021-05-06	1060428	44405	5271823	14402	Soc. Dist. + Travel Ban
2021-05-07	1075207	43513	5383886	14779	Soc. Dist. + Travel Ban
2021-05-08	1090114	42902	5501283	14907	Soc. Dist. + Travel Ban
2021-05-09	1105253	41998	5609321	15139	Soc. Dist. + Travel Ban
2021-05-10	1120625	41435	5734589	15372	Soc. Dist. + Travel Ban
2021-05-11	1136339	40801	5851457	15714	Soc. Dist. + Travel Ban
