stat	value
thetaS_last_obs_p_mean	0.9934303
thetaI_last_obs_p_mean	6.441179e-05
thetaR_last_obs_p_mean	0.006505239
thetaS_last_obs_p_ci_low	0.9930595
thetaS_last_obs_p_ci_med	0.9934343
thetaS_last_obs_p_ci_up	0.9937758
thetaI_last_obs_p_ci_low	6.207428e-06
thetaI_last_obs_p_ci_med	4.309383e-05
thetaI_last_obs_p_ci_up	0.0002506359
thetaR_last_obs_p_ci_low	0.006174643
thetaR_last_obs_p_ci_med	0.006504623
thetaR_last_obs_p_ci_up	0.006839566
R0_p_mean	1.669492
R0_p_ci_low	0.7029979
R0_p_ci_med	1.512576
R0_p_ci_up	3.519986
gamma_p_mean	0.06239203
gamma_p_ci_low	0.007384994
gamma_p_ci_med	0.04254476
gamma_p_ci_up	0.237667
beta_p_mean	0.09051719
beta_p_ci_low	0.01065708
beta_p_ci_med	0.06876397
beta_p_ci_up	0.2962308
incidence_mean	0.01791852
incidence_ci_low	2.188344e-05
incidence_ci_median	0.0002498805
incidence_ci_up	0.2286766
thetaI_tp1_mean	0.002364748
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01757188
thetaR_tp1_mean	0.01129547
thetaR_tp1_ci_low	0.002901097
thetaR_tp1_ci_med	0.006817984
thetaR_tp1_ci_up	0.03215245
Y_tp1_mean	0.002364436
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01775907
R_tp1_mean	0.01129609
R_tp1_ci_low	0.002881896
R_tp1_ci_med	0.006817106
R_tp1_ci_up	0.03220763
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01980301
thetaR_max_ci_low	0.002347288
thetaR_max_ci_med	0.006908518
thetaR_max_ci_up	0.1486609
cumInf_mean	0.02412135
cumInf_ci_low	0.002352396
cumInf_ci_med	0.006960395
cumInf_ci_up	0.2320242
dthetaI_tp1_date	03/31/21
first_tp_mean	12/04/20
first_tp_ci_low	10/28/20
first_tp_ci_med	11/20/20
first_tp_ci_up	05/14/21
dthetaI_tp2_date	03/31/21
second_tp_mean	12/07/20
second_tp_ci_low	10/30/20
second_tp_ci_med	11/22/20
second_tp_ci_up	05/14/21
end_p_mean	01/31/21
end_p_ci_low	12/13/20
end_p_ci_med	01/04/21
end_p_ci_up	05/14/21
begin_str	10/27/2020
