date	value	lower_ci	upper_ci	incidence	scenario
2020-12-14	1288127	1182919	1399417	NA	Soc. Dist. + Travel Ban
2020-12-15	1288610	1166502	1419442	483	Soc. Dist. + Travel Ban
2020-12-16	1289275	1152905	1435600	665	Soc. Dist. + Travel Ban
2020-12-17	1289775	1140419	1451050	500	Soc. Dist. + Travel Ban
2020-12-18	1290170	1129110	1465510	395	Soc. Dist. + Travel Ban
2020-12-19	1290604	1119178	1478498	434	Soc. Dist. + Travel Ban
2020-12-20	1291046	1109768	1491246	442	Soc. Dist. + Travel Ban
2020-12-21	1291486	1101265	1502726	440	Soc. Dist. + Travel Ban
2020-12-22	1291897	1092451	1514655	411	Soc. Dist. + Travel Ban
2020-12-23	1292347	1085916	1525514	450	Soc. Dist. + Travel Ban
2020-12-24	1292618	1077289	1536137	271	Soc. Dist. + Travel Ban
2020-12-25	1292995	1070321	1545306	377	Soc. Dist. + Travel Ban
2020-12-26	1293424	1063496	1555497	429	Soc. Dist. + Travel Ban
2020-12-27	1293760	1056834	1564493	336	Soc. Dist. + Travel Ban
2020-12-28	1293993	1049925	1573292	233	Soc. Dist. + Travel Ban
2020-12-29	1294243	1043579	1581876	250	Soc. Dist. + Travel Ban
2020-12-30	1294438	1037427	1590015	195	Soc. Dist. + Travel Ban
2020-12-31	1294814	1031299	1598679	376	Soc. Dist. + Travel Ban
2021-01-01	1295123	1025393	1607411	309	Soc. Dist. + Travel Ban
2021-01-02	1295367	1019426	1614086	244	Soc. Dist. + Travel Ban
2021-01-03	1295672	1014506	1621772	305	Soc. Dist. + Travel Ban
2021-01-04	1295997	1009323	1630654	325	Soc. Dist. + Travel Ban
2021-01-05	1296344	1003367	1637705	347	Soc. Dist. + Travel Ban
2021-01-06	1296553	998560	1644966	209	Soc. Dist. + Travel Ban
2021-01-07	1296821	993332	1651107	268	Soc. Dist. + Travel Ban
2021-01-08	1296941	987813	1657635	120	Soc. Dist. + Travel Ban
2021-01-09	1297012	983547	1664532	71	Soc. Dist. + Travel Ban
2021-01-10	1297252	978761	1672069	240	Soc. Dist. + Travel Ban
2021-01-11	1297487	974049	1678922	235	Soc. Dist. + Travel Ban
2021-01-12	1297716	969598	1684418	229	Soc. Dist. + Travel Ban
2021-01-13	1297938	965190	1691311	222	Soc. Dist. + Travel Ban
2021-01-14	1298123	959546	1697156	185	Soc. Dist. + Travel Ban
2021-01-15	1298299	955860	1704990	176	Soc. Dist. + Travel Ban
2021-01-16	1298474	951434	1711329	175	Soc. Dist. + Travel Ban
2021-01-17	1298653	947237	1717368	179	Soc. Dist. + Travel Ban
2021-01-18	1298884	943013	1723858	231	Soc. Dist. + Travel Ban
2021-01-19	1299067	939306	1730445	183	Soc. Dist. + Travel Ban
2021-01-20	1299117	934780	1734167	50	Soc. Dist. + Travel Ban
2021-01-21	1299360	931155	1741529	243	Soc. Dist. + Travel Ban
2021-01-22	1299476	926582	1747273	116	Soc. Dist. + Travel Ban
2021-01-23	1299633	923433	1752958	157	Soc. Dist. + Travel Ban
2021-01-24	1299791	918945	1757611	158	Soc. Dist. + Travel Ban
2021-01-25	1299936	914805	1762452	145	Soc. Dist. + Travel Ban
2021-01-26	1300174	911064	1769054	238	Soc. Dist. + Travel Ban
2021-01-27	1300437	907924	1774140	263	Soc. Dist. + Travel Ban
2021-01-28	1300621	903892	1780521	184	Soc. Dist. + Travel Ban
2021-01-29	1300751	898818	1786074	130	Soc. Dist. + Travel Ban
2021-01-30	1300944	895456	1791053	193	Soc. Dist. + Travel Ban
2021-01-31	1301243	892438	1795941	299	Soc. Dist. + Travel Ban
2021-02-01	1301337	889384	1801772	94	Soc. Dist. + Travel Ban
2021-02-02	1301505	885741	1808119	168	Soc. Dist. + Travel Ban
2021-02-03	1301635	881942	1812769	130	Soc. Dist. + Travel Ban
2021-02-04	1301767	878359	1817252	132	Soc. Dist. + Travel Ban
2021-02-05	1301913	875818	1822112	146	Soc. Dist. + Travel Ban
2021-02-06	1302105	872191	1826593	192	Soc. Dist. + Travel Ban
2021-02-07	1302249	869543	1832941	144	Soc. Dist. + Travel Ban
2021-02-08	1302496	865704	1838509	247	Soc. Dist. + Travel Ban
2021-02-09	1302641	861887	1841956	145	Soc. Dist. + Travel Ban
2021-02-10	1302729	858422	1845957	88	Soc. Dist. + Travel Ban
2021-02-11	1302899	854749	1851759	170	Soc. Dist. + Travel Ban
2021-02-12	1303121	851325	1856817	222	Soc. Dist. + Travel Ban
2021-02-13	1303262	847892	1862159	141	Soc. Dist. + Travel Ban
2021-02-14	1303436	845511	1866093	174	Soc. Dist. + Travel Ban
2021-02-15	1303578	843604	1871465	142	Soc. Dist. + Travel Ban
2021-02-16	1303718	839744	1875546	140	Soc. Dist. + Travel Ban
2021-02-17	1303950	836566	1880663	232	Soc. Dist. + Travel Ban
2021-02-18	1304055	834073	1884401	105	Soc. Dist. + Travel Ban
2021-02-19	1304147	831279	1890524	92	Soc. Dist. + Travel Ban
2021-02-20	1304321	828130	1894689	174	Soc. Dist. + Travel Ban
2021-02-21	1304516	824147	1899418	195	Soc. Dist. + Travel Ban
2021-02-22	1304840	822676	1904714	324	Soc. Dist. + Travel Ban
2021-02-23	1305086	818723	1910371	246	Soc. Dist. + Travel Ban
2021-02-24	1305210	814998	1914629	124	Soc. Dist. + Travel Ban
2021-02-25	1305299	812420	1916697	89	Soc. Dist. + Travel Ban
2021-02-26	1305412	809547	1921748	113	Soc. Dist. + Travel Ban
2021-02-27	1305373	807861	1925926	-39	Soc. Dist. + Travel Ban
2021-02-28	1305352	804308	1931597	-21	Soc. Dist. + Travel Ban
2021-03-01	1305622	801053	1934762	270	Soc. Dist. + Travel Ban
2021-03-02	1305859	797727	1941315	237	Soc. Dist. + Travel Ban
2021-03-03	1306099	795570	1944826	240	Soc. Dist. + Travel Ban
2021-03-04	1306335	792599	1948500	236	Soc. Dist. + Travel Ban
2021-03-05	1306582	791826	1952922	247	Soc. Dist. + Travel Ban
2021-03-06	1306737	788146	1958414	155	Soc. Dist. + Travel Ban
2021-03-07	1306846	785780	1960432	109	Soc. Dist. + Travel Ban
2021-03-08	1306957	784168	1966380	111	Soc. Dist. + Travel Ban
2021-03-09	1307055	778990	1970108	98	Soc. Dist. + Travel Ban
2021-03-10	1307384	777844	1974386	329	Soc. Dist. + Travel Ban
2021-03-11	1307561	775040	1979373	177	Soc. Dist. + Travel Ban
2021-03-12	1307851	773639	1983662	290	Soc. Dist. + Travel Ban
2021-03-13	1308063	770254	1986609	212	Soc. Dist. + Travel Ban
2021-03-14	1308262	768870	1991158	199	Soc. Dist. + Travel Ban
2021-03-15	1308331	765605	1995564	69	Soc. Dist. + Travel Ban
2021-03-16	1308569	762554	1999970	238	Soc. Dist. + Travel Ban
2021-03-17	1308656	760293	2004472	87	Soc. Dist. + Travel Ban
2021-03-18	1308801	757821	2008000	145	Soc. Dist. + Travel Ban
2021-03-19	1308968	755930	2014546	167	Soc. Dist. + Travel Ban
2021-03-20	1308973	753943	2016067	5	Soc. Dist. + Travel Ban
2021-03-21	1309172	752318	2022070	199	Soc. Dist. + Travel Ban
2021-03-22	1309339	749275	2024143	167	Soc. Dist. + Travel Ban
2021-03-23	1309587	746321	2028985	248	Soc. Dist. + Travel Ban
2021-03-24	1309589	743675	2034484	2	Soc. Dist. + Travel Ban
2021-03-25	1309909	742759	2036080	320	Soc. Dist. + Travel Ban
2021-03-26	1309975	738655	2041242	66	Soc. Dist. + Travel Ban
2021-03-27	1310061	736606	2044459	86	Soc. Dist. + Travel Ban
2021-03-28	1310292	733866	2050119	231	Soc. Dist. + Travel Ban
2021-03-29	1310487	731005	2053855	195	Soc. Dist. + Travel Ban
2021-03-30	1310628	728868	2057510	141	Soc. Dist. + Travel Ban
2021-03-31	1310804	726109	2061162	176	Soc. Dist. + Travel Ban
2021-04-01	1310888	724653	2065314	84	Soc. Dist. + Travel Ban
