date	value	lower_ci	upper_ci	incidence	scenario
2020-12-15	176330	156642	197561	NA	Moderate return
2020-12-16	176500	153605	201474	170	Moderate return
2020-12-17	176655	150933	205124	155	Moderate return
2020-12-18	176817	148687	208128	162	Moderate return
2020-12-19	176981	146635	211128	164	Moderate return
2020-12-20	177120	144827	213858	139	Moderate return
2020-12-21	177254	143056	216559	134	Moderate return
2020-12-22	177406	141534	219156	152	Moderate return
2020-12-23	177562	139909	221558	156	Moderate return
2020-12-24	177673	138477	223561	111	Moderate return
2020-12-25	177791	137151	226031	118	Moderate return
2020-12-26	177919	135736	228247	128	Moderate return
2020-12-27	178045	134470	229945	126	Moderate return
2020-12-28	178149	133154	231975	104	Moderate return
2020-12-29	178285	132123	234079	136	Moderate return
2020-12-30	178401	131103	235919	116	Moderate return
2020-12-31	178505	129787	237988	104	Moderate return
2021-01-01	178618	128770	239769	113	Moderate return
2021-01-02	178709	127679	241537	91	Moderate return
2021-01-03	178805	126945	243370	96	Moderate return
2021-01-04	178901	125891	245215	96	Moderate return
2021-01-05	178994	124867	246803	93	Moderate return
2021-01-06	179122	123751	248384	128	Moderate return
2021-01-07	179243	122842	250426	121	Moderate return
2021-01-08	179326	121940	251706	83	Moderate return
2021-01-09	179410	120901	253502	84	Moderate return
2021-01-10	179484	120034	254861	74	Moderate return
2021-01-11	179568	119221	256681	84	Moderate return
2021-01-12	179709	118465	258261	141	Moderate return
2021-01-13	179807	117671	259651	98	Moderate return
2021-01-14	179917	116922	261462	110	Moderate return
2021-01-15	180036	116043	262763	119	Moderate return
2021-01-16	180151	115444	264372	115	Moderate return
2021-01-17	180265	114782	266153	114	Moderate return
2021-01-18	180384	114099	267359	119	Moderate return
2021-01-19	180482	113435	268726	98	Moderate return
2021-01-20	180599	112780	270150	117	Moderate return
2021-01-21	180712	111895	272020	113	Moderate return
2021-01-22	180784	111219	273361	72	Moderate return
2021-01-23	180893	110520	274524	109	Moderate return
2021-01-24	180989	109720	276355	96	Moderate return
2021-01-25	181107	109104	277925	118	Moderate return
2021-01-26	181210	108385	278912	103	Moderate return
2021-01-27	181314	107508	280893	104	Moderate return
2021-01-28	181428	106981	282436	114	Moderate return
2021-01-29	181543	106490	283919	115	Moderate return
2021-01-30	181653	105745	285111	110	Moderate return
2021-01-31	181777	104963	286926	124	Moderate return
2021-02-01	181874	104348	288123	97	Moderate return
2021-02-02	181984	103783	289767	110	Moderate return
2021-02-03	182112	103174	290590	128	Moderate return
2021-02-04	182246	102606	292891	134	Moderate return
2021-02-05	182370	101928	293959	124	Moderate return
2021-02-06	182504	101731	295266	134	Moderate return
2021-02-07	182626	100876	296466	122	Moderate return
2021-02-08	182742	100377	298001	116	Moderate return
2021-02-09	182849	100005	299338	107	Moderate return
2021-02-10	182976	99187	300745	127	Moderate return
2021-02-11	183108	98673	302099	132	Moderate return
2021-02-12	183222	98293	303498	114	Moderate return
2021-02-13	183360	97680	304843	138	Moderate return
2021-02-14	183462	97206	306489	102	Moderate return
2021-02-15	183598	96592	307543	136	Moderate return
2021-02-16	183734	96002	309230	136	Moderate return
2021-02-17	183890	95552	310711	156	Moderate return
2021-02-18	184042	95182	312562	152	Moderate return
2021-02-19	184174	94531	313435	132	Moderate return
2021-02-20	184311	93958	315456	137	Moderate return
2021-02-21	184482	93335	316765	171	Moderate return
2021-02-22	184605	92978	318073	123	Moderate return
2021-02-23	184738	92583	319680	133	Moderate return
2021-02-24	184900	92043	321000	162	Moderate return
2021-02-25	185058	91473	322678	158	Moderate return
2021-02-26	185223	90999	324457	165	Moderate return
2021-02-27	185383	90466	325611	160	Moderate return
2021-02-28	185538	89925	327481	155	Moderate return
2021-03-01	185687	89439	329010	149	Moderate return
2021-03-02	185864	88886	330752	177	Moderate return
2021-03-03	186043	88636	332059	179	Moderate return
2021-03-04	186238	88030	333508	195	Moderate return
2021-03-05	186417	87605	335371	179	Moderate return
2021-03-06	186601	86906	336246	184	Moderate return
2021-03-07	186798	86778	339121	197	Moderate return
2021-03-08	186998	86283	340258	200	Moderate return
2021-03-09	187193	85791	341906	195	Moderate return
2021-03-10	187399	85226	343843	206	Moderate return
2021-03-11	187609	84940	345765	210	Moderate return
2021-03-12	187823	84555	347026	214	Moderate return
2021-03-13	188046	83953	349218	223	Moderate return
2021-03-14	188285	83628	350973	239	Moderate return
2021-03-15	188514	83202	353122	229	Moderate return
2021-03-16	188754	82656	354550	240	Moderate return
2021-03-17	188990	82390	356281	236	Moderate return
2021-03-18	189238	82068	357710	248	Moderate return
2021-03-19	189490	81597	359797	252	Moderate return
2021-03-20	189732	80994	361755	242	Moderate return
2021-03-21	189985	80818	363113	253	Moderate return
2021-03-22	190257	80377	365185	272	Moderate return
2021-03-23	190522	79981	367007	265	Moderate return
2021-03-24	190784	79490	368291	262	Moderate return
2021-03-25	191095	79122	370377	311	Moderate return
2021-03-26	191349	78774	372836	254	Moderate return
2021-03-27	191637	78394	375000	288	Moderate return
2021-03-28	191928	78014	376114	291	Moderate return
2021-03-29	192234	77405	378750	306	Moderate return
2021-03-30	192562	77001	381225	328	Moderate return
2021-03-31	192864	76548	382553	302	Moderate return
2021-04-01	193190	76355	384872	326	Moderate return
2021-04-02	193521	75994	386776	331	Moderate return
2021-04-03	193867	75388	388558	346	Moderate return
2021-04-04	194199	75270	390726	332	Moderate return
2021-04-05	194554	74906	393103	355	Moderate return
2021-04-06	194949	74547	394516	395	Moderate return
2021-04-07	195317	73987	396086	368	Moderate return
2021-04-08	195705	73665	398493	388	Moderate return
2021-04-09	196082	73393	400794	377	Moderate return
2021-04-10	196486	72936	402636	404	Moderate return
2021-04-11	196898	72639	404269	412	Moderate return
2021-04-12	197313	72164	406690	415	Moderate return
2021-04-13	197753	71880	409104	440	Moderate return
2021-04-14	198176	71516	410876	423	Moderate return
2021-04-15	198625	71202	412662	449	Moderate return
2021-04-16	199079	70873	415555	454	Moderate return
2021-04-17	199529	70593	418253	450	Moderate return
2021-04-18	200025	70189	420102	496	Moderate return
2021-04-19	200496	69719	422764	471	Moderate return
2021-04-20	200983	69644	424777	487	Moderate return
2021-04-21	201476	69207	427836	493	Moderate return
2021-04-22	201994	68818	429892	518	Moderate return
2021-04-23	202499	68722	433077	505	Moderate return
2021-04-24	203047	68300	435474	548	Moderate return
2021-04-25	203589	67872	437229	542	Moderate return
2021-04-26	204166	67440	440382	577	Moderate return
2021-04-27	204734	67086	442267	568	Moderate return
2021-04-28	205319	66862	445019	585	Moderate return
2021-04-29	205889	66466	448214	570	Moderate return
2021-04-30	206489	66093	450270	600	Moderate return
2021-05-01	207064	65775	453627	575	Moderate return
2021-05-02	207690	65460	456245	626	Moderate return
2021-05-03	208311	65166	459622	621	Moderate return
2021-05-04	208960	64958	463557	649	Moderate return
2021-05-05	209608	64382	466462	648	Moderate return
2021-05-06	210259	64141	468744	651	Moderate return
2021-05-07	210909	64165	471590	650	Moderate return
2021-05-08	211582	63639	473958	673	Moderate return
2021-05-09	212251	63317	475633	669	Moderate return
2021-05-10	212969	62993	479689	718	Moderate return
2021-05-11	213690	62732	482346	721	Moderate return
2021-05-12	214431	62360	486027	741	Moderate return
2021-05-13	215166	62198	488918	735	Moderate return
2021-05-14	215912	61566	492856	746	Moderate return
2021-05-15	216674	61448	495450	762	Moderate return
2021-05-16	217454	61156	498271	780	Moderate return
2021-05-17	218254	60793	502479	800	Moderate return
2021-05-18	219060	60616	505450	806	Moderate return
