date	value	lower_ci	upper_ci	incidence	scenario
2020-12-15	78928	70554	91765	NA	Cautious return
2020-12-16	78955	69305	93337	27	Cautious return
2020-12-17	78979	68212	94485	24	Cautious return
2020-12-18	79012	67199	95671	33	Cautious return
2020-12-19	79039	66338	96637	27	Cautious return
2020-12-20	79068	65558	97665	29	Cautious return
2020-12-21	79093	64806	98600	25	Cautious return
2020-12-22	79125	64134	99562	32	Cautious return
2020-12-23	79150	63374	100463	25	Cautious return
2020-12-24	79174	62779	101121	24	Cautious return
2020-12-25	79211	62227	102054	37	Cautious return
2020-12-26	79246	61555	102804	35	Cautious return
2020-12-27	79273	61045	103507	27	Cautious return
2020-12-28	79296	60488	104261	23	Cautious return
2020-12-29	79315	59969	104980	19	Cautious return
2020-12-30	79345	59464	105624	30	Cautious return
2020-12-31	79366	59020	106503	21	Cautious return
2021-01-01	79384	58500	107188	18	Cautious return
2021-01-02	79424	58079	107940	40	Cautious return
2021-01-03	79452	57622	108641	28	Cautious return
2021-01-04	79485	57254	109180	33	Cautious return
2021-01-05	79509	56755	109901	24	Cautious return
2021-01-06	79531	56357	110594	22	Cautious return
2021-01-07	79564	56000	110997	33	Cautious return
2021-01-08	79594	55544	111634	30	Cautious return
2021-01-09	79627	55173	112435	33	Cautious return
2021-01-10	79664	54780	113133	37	Cautious return
2021-01-11	79697	54473	113781	33	Cautious return
2021-01-12	79731	54000	114228	34	Cautious return
2021-01-13	79765	53615	114980	34	Cautious return
2021-01-14	79794	53287	115461	29	Cautious return
2021-01-15	79825	52926	116097	31	Cautious return
2021-01-16	79857	52597	116727	32	Cautious return
2021-01-17	79889	52251	117311	32	Cautious return
2021-01-18	79924	51938	117986	35	Cautious return
2021-01-19	79967	51653	118669	43	Cautious return
2021-01-20	80009	51308	119319	42	Cautious return
2021-01-21	80043	50993	119764	34	Cautious return
2021-01-22	80091	50663	120479	48	Cautious return
2021-01-23	80136	50376	121014	45	Cautious return
2021-01-24	80178	50146	121663	42	Cautious return
2021-01-25	80236	49749	122498	58	Cautious return
2021-01-26	80289	49436	123160	53	Cautious return
2021-01-27	80333	49207	123536	44	Cautious return
2021-01-28	80388	48846	124258	55	Cautious return
2021-01-29	80442	48628	124850	54	Cautious return
2021-01-30	80501	48249	125716	59	Cautious return
2021-01-31	80562	48060	126282	61	Cautious return
2021-02-01	80622	47837	126939	60	Cautious return
2021-02-02	80689	47499	127472	67	Cautious return
2021-02-03	80760	47252	128339	71	Cautious return
2021-02-04	80833	46969	128977	73	Cautious return
2021-02-05	80901	46740	129488	68	Cautious return
2021-02-06	80979	46459	130265	78	Cautious return
2021-02-07	81066	46221	130867	87	Cautious return
2021-02-08	81163	45935	131489	97	Cautious return
2021-02-09	81252	45655	132376	89	Cautious return
2021-02-10	81349	45470	133050	97	Cautious return
2021-02-11	81452	45264	133544	103	Cautious return
2021-02-12	81561	44979	134593	109	Cautious return
