stat	value
thetaS_last_obs_p_mean	0.991255
thetaI_last_obs_p_mean	0.000230533
thetaR_last_obs_p_mean	0.008514456
thetaS_last_obs_p_ci_low	0.9908873
thetaS_last_obs_p_ci_med	0.9912561
thetaS_last_obs_p_ci_up	0.991618
thetaI_last_obs_p_ci_low	0.0001739645
thetaI_last_obs_p_ci_med	0.000229572
thetaI_last_obs_p_ci_up	0.0002926035
thetaR_last_obs_p_ci_low	0.00815683
thetaR_last_obs_p_ci_med	0.008513331
thetaR_last_obs_p_ci_up	0.008877739
R0_p_mean	1.273315
R0_p_ci_low	0.6176189
R0_p_ci_med	1.155683
R0_p_ci_up	2.570146
gamma_p_mean	0.04641691
gamma_p_ci_low	0.006007963
gamma_p_ci_med	0.03411394
gamma_p_ci_up	0.1552759
beta_p_mean	0.05183879
beta_p_ci_low	0.007892036
beta_p_ci_med	0.04124461
beta_p_ci_up	0.1574608
incidence_mean	0.0112578
incidence_ci_low	0.0001971511
incidence_ci_median	0.00180041
incidence_ci_up	0.09264018
thetaI_tp1_mean	0.00338449
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	6.314891e-05
thetaI_tp1_ci_up	0.03068951
thetaR_tp1_mean	0.0158637
thetaR_tp1_ci_low	0.004639318
thetaR_tp1_ci_med	0.01031197
thetaR_tp1_ci_up	0.06735531
Y_tp1_mean	0.00338426
Y_tp1_ci_low	0
Y_tp1_ci_med	6.021819e-05
Y_tp1_ci_up	0.03074111
R_tp1_mean	0.0158624
R_tp1_ci_low	0.004625929
R_tp1_ci_med	0.0103146
R_tp1_ci_up	0.06725783
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0158637
thetaR_max_ci_low	0.004639318
thetaR_max_ci_med	0.01031197
thetaR_max_ci_up	0.06735531
cumInf_mean	0.01924819
cumInf_ci_low	0.004717596
cumInf_ci_med	0.0107208
cumInf_ci_up	0.09967343
dthetaI_tp1_date	05/18/21
first_tp_mean	12/26/20
first_tp_ci_low	10/31/20
first_tp_ci_med	12/01/20
first_tp_ci_up	05/18/21
dthetaI_tp2_date	05/18/21
second_tp_mean	12/28/20
second_tp_ci_low	11/02/20
second_tp_ci_med	12/03/20
second_tp_ci_up	05/18/21
end_p_mean	04/09/21
end_p_ci_low	01/08/21
end_p_ci_med	05/18/21
end_p_ci_up	05/18/21
begin_str	10/31/2020
