date	value	lower_ci	upper_ci	incidence	scenario
2020-12-16	198177	158169	243494	NA	Moderate return
2020-12-17	198604	152964	251402	427	Moderate return
2020-12-18	199083	148238	258689	479	Moderate return
2020-12-19	199529	144205	264677	446	Moderate return
2020-12-20	199945	140545	270940	416	Moderate return
2020-12-21	200431	137565	276834	486	Moderate return
2020-12-22	200923	134923	282926	492	Moderate return
2020-12-23	201361	132078	288173	438	Moderate return
2020-12-24	201866	129656	293255	505	Moderate return
2020-12-25	202331	127353	298576	465	Moderate return
2020-12-26	202744	124966	303775	413	Moderate return
2020-12-27	203237	123126	308891	493	Moderate return
2020-12-28	203751	121243	313763	514	Moderate return
2020-12-29	204232	119183	318485	481	Moderate return
2020-12-30	204672	117310	322952	440	Moderate return
2020-12-31	205173	115775	327970	501	Moderate return
2021-01-01	205694	114186	332727	521	Moderate return
2021-01-02	206161	112757	337241	467	Moderate return
2021-01-03	206708	111266	341557	547	Moderate return
2021-01-04	207194	109929	346100	486	Moderate return
2021-01-05	207687	108546	350739	493	Moderate return
2021-01-06	208149	106887	355370	462	Moderate return
2021-01-07	208670	105354	360041	521	Moderate return
2021-01-08	209172	104104	364033	502	Moderate return
2021-01-09	209708	102741	369241	536	Moderate return
2021-01-10	210242	101402	373314	534	Moderate return
2021-01-11	210762	99989	377909	520	Moderate return
2021-01-12	211321	98883	381679	559	Moderate return
2021-01-13	211915	97333	386987	594	Moderate return
2021-01-14	212493	96316	391524	578	Moderate return
2021-01-15	213063	94938	396589	570	Moderate return
2021-01-16	213658	93856	400954	595	Moderate return
2021-01-17	214266	92969	406260	608	Moderate return
2021-01-18	214860	91725	410262	594	Moderate return
2021-01-19	215470	90803	415326	610	Moderate return
2021-01-20	216101	89869	420939	631	Moderate return
2021-01-21	216675	88636	425884	574	Moderate return
2021-01-22	217337	87597	430889	662	Moderate return
2021-01-23	217999	86781	435992	662	Moderate return
2021-01-24	218686	85635	440788	687	Moderate return
2021-01-25	219366	84669	446236	680	Moderate return
2021-01-26	220049	83702	451113	683	Moderate return
2021-01-27	220744	83083	456495	695	Moderate return
2021-01-28	221488	81914	461844	744	Moderate return
2021-01-29	222198	81036	467629	710	Moderate return
2021-01-30	222979	79677	474481	781	Moderate return
2021-01-31	223739	78690	479414	760	Moderate return
2021-02-01	224525	77822	485737	786	Moderate return
2021-02-02	225350	76667	492733	825	Moderate return
2021-02-03	226178	76383	498534	828	Moderate return
2021-02-04	227007	75456	504198	829	Moderate return
2021-02-05	227900	74510	511193	893	Moderate return
2021-02-06	228755	73890	517508	855	Moderate return
2021-02-07	229680	72819	524717	925	Moderate return
2021-02-08	230601	71868	531678	921	Moderate return
2021-02-09	231543	71418	538981	942	Moderate return
2021-02-10	232541	70509	544992	998	Moderate return
2021-02-11	233548	69536	553133	1007	Moderate return
2021-02-12	234597	69095	560229	1049	Moderate return
2021-02-13	235686	67981	567973	1089	Moderate return
2021-02-14	236803	67478	575720	1117	Moderate return
2021-02-15	237917	66491	583631	1114	Moderate return
2021-02-16	239059	65746	592789	1142	Moderate return
2021-02-17	240253	65185	599965	1194	Moderate return
2021-02-18	241459	64066	607877	1206	Moderate return
2021-02-19	242728	63410	618497	1269	Moderate return
2021-02-20	244026	62457	628347	1298	Moderate return
2021-02-21	245416	61742	636523	1390	Moderate return
2021-02-22	246786	60923	644922	1370	Moderate return
2021-02-23	248194	60520	655434	1408	Moderate return
2021-02-24	249648	59862	665398	1454	Moderate return
2021-02-25	251158	58910	676295	1510	Moderate return
2021-02-26	252754	58082	686900	1596	Moderate return
2021-02-27	254365	57709	697688	1611	Moderate return
2021-02-28	256026	56669	709190	1661	Moderate return
2021-03-01	257760	56072	719965	1734	Moderate return
2021-03-02	259532	55965	731919	1772	Moderate return
2021-03-03	261395	55242	745658	1863	Moderate return
2021-03-04	263309	54625	756978	1914	Moderate return
2021-03-05	265290	54034	769037	1981	Moderate return
2021-03-06	267280	53345	784066	1990	Moderate return
2021-03-07	269331	52960	797514	2051	Moderate return
2021-03-08	271484	51996	812509	2153	Moderate return
2021-03-09	273648	51271	824941	2164	Moderate return
2021-03-10	275881	50638	839129	2233	Moderate return
2021-03-11	278230	50154	854944	2349	Moderate return
2021-03-12	280668	49656	867935	2438	Moderate return
2021-03-13	283212	48730	886529	2544	Moderate return
2021-03-14	285818	48350	903095	2606	Moderate return
2021-03-15	288533	47621	921577	2715	Moderate return
2021-03-16	291260	47032	939863	2727	Moderate return
2021-03-17	294131	46381	956046	2871	Moderate return
2021-03-18	297172	45883	975825	3041	Moderate return
2021-03-19	300264	45488	995666	3092	Moderate return
2021-03-20	303366	44804	1012612	3102	Moderate return
2021-03-21	306672	44094	1035848	3306	Moderate return
2021-03-22	310025	43583	1053832	3353	Moderate return
2021-03-23	313497	42899	1076759	3472	Moderate return
2021-03-24	317105	42515	1098283	3608	Moderate return
2021-03-25	320804	42139	1120107	3699	Moderate return
2021-03-26	324584	41474	1146177	3780	Moderate return
2021-03-27	328507	41030	1170067	3923	Moderate return
2021-03-28	332524	40519	1196729	4017	Moderate return
2021-03-29	336682	39953	1222225	4158	Moderate return
2021-03-30	340955	39526	1244741	4273	Moderate return
2021-03-31	345403	38562	1276872	4448	Moderate return
2021-04-01	349951	38290	1309944	4548	Moderate return
2021-04-02	354680	37815	1342290	4729	Moderate return
2021-04-03	359492	37304	1372917	4812	Moderate return
2021-04-04	364442	36936	1406193	4950	Moderate return
2021-04-05	369578	36457	1438183	5136	Moderate return
2021-04-06	374822	35797	1470185	5244	Moderate return
2021-04-07	380196	35471	1508657	5374	Moderate return
2021-04-08	385710	34917	1543172	5514	Moderate return
2021-04-09	391374	34603	1579513	5664	Moderate return
2021-04-10	397199	33733	1618129	5825	Moderate return
2021-04-11	403186	33734	1655609	5987	Moderate return
2021-04-12	409322	33135	1692252	6136	Moderate return
2021-04-13	415671	32715	1732652	6349	Moderate return
2021-04-14	422157	32538	1771392	6486	Moderate return
2021-04-15	428820	32042	1820763	6663	Moderate return
