stat	value
thetaS_last_obs_p_mean	0.9885243
thetaI_last_obs_p_mean	3.283855e-06
thetaR_last_obs_p_mean	0.01147241
thetaS_last_obs_p_ci_low	0.9880602
thetaS_last_obs_p_ci_med	0.9885252
thetaS_last_obs_p_ci_up	0.9889807
thetaI_last_obs_p_ci_low	5.991827e-07
thetaI_last_obs_p_ci_med	2.879237e-06
thetaI_last_obs_p_ci_up	8.315367e-06
thetaR_last_obs_p_ci_low	0.01101598
thetaR_last_obs_p_ci_med	0.01147147
thetaR_last_obs_p_ci_up	0.01193642
R0_p_mean	1.052242
R0_p_ci_low	0.4979893
R0_p_ci_med	0.931606
R0_p_ci_up	2.283506
gamma_p_mean	0.08372416
gamma_p_ci_low	0.006955025
gamma_p_ci_med	0.05681322
gamma_p_ci_up	0.2994037
beta_p_mean	0.07462963
beta_p_ci_low	0.008723321
beta_p_ci_med	0.05330249
beta_p_ci_up	0.2621331
incidence_mean	0.000772904
incidence_ci_low	7.701811e-05
incidence_ci_median	0.0004743404
incidence_ci_up	0.002434387
thetaI_tp1_mean	0.0002015941
thetaI_tp1_ci_low	0.0001473343
thetaI_tp1_ci_med	0.000200477
thetaI_tp1_ci_up	0.0002624164
thetaR_tp1_mean	0.01057411
thetaR_tp1_ci_low	0.01020004
thetaR_tp1_ci_med	0.01057251
thetaR_tp1_ci_up	0.01095482
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.0115005
R_tp1_ci_low	0.006272662
R_tp1_ci_med	0.01137006
R_tp1_ci_up	0.01765552
thetaI_tp2_mean	0.0002333388
thetaI_tp2_ci_low	0.0001739561
thetaI_tp2_ci_med	0.0002324898
thetaI_tp2_ci_up	0.0002975271
thetaR_tp2_mean	0.01073447
thetaR_tp2_ci_low	0.01035665
thetaR_tp2_ci_med	0.01073308
thetaR_tp2_ci_up	0.01111906
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0115542
thetaR_max_ci_low	0.00487434
thetaR_max_ci_med	0.01119311
thetaR_max_ci_up	0.02003781
cumInf_mean	0.01159372
cumInf_ci_low	0.004875098
cumInf_ci_med	0.01119569
cumInf_ci_up	0.02007551
dthetaI_tp1_date	11/26/20
first_tp_mean	11/25/20
first_tp_ci_low	11/03/20
first_tp_ci_med	11/26/20
first_tp_ci_up	11/30/20
dthetaI_tp2_date	11/30/20
second_tp_mean	11/27/20
second_tp_ci_low	11/05/20
second_tp_ci_med	11/28/20
second_tp_ci_up	12/02/20
end_p_mean	12/22/20
end_p_ci_low	12/17/20
end_p_ci_med	12/19/20
end_p_ci_up	01/16/21
begin_str	11/02/2020
