date	value	lower_ci	upper_ci	incidence	scenario
2020-12-26	643261	583081	707343	NA	Moderate return
2020-12-27	643930	575132	717610	669	Moderate return
2020-12-28	644561	567879	727794	631	Moderate return
2020-12-29	645175	561177	736036	614	Moderate return
2020-12-30	645755	555522	744824	580	Moderate return
2020-12-31	646346	550029	752238	591	Moderate return
2021-01-01	646920	545068	759497	574	Moderate return
2021-01-02	647428	540183	766881	508	Moderate return
2021-01-03	647974	536183	773056	546	Moderate return
2021-01-04	648535	531735	779490	561	Moderate return
2021-01-05	649071	527952	785662	536	Moderate return
2021-01-06	649725	524500	791774	654	Moderate return
2021-01-07	650287	520901	797822	562	Moderate return
2021-01-08	650841	517375	804310	554	Moderate return
2021-01-09	651321	514741	808955	480	Moderate return
2021-01-10	651858	511528	815095	537	Moderate return
2021-01-11	652347	508015	820507	489	Moderate return
2021-01-12	652876	505130	825565	529	Moderate return
2021-01-13	653432	502373	831776	556	Moderate return
2021-01-14	653956	500208	836789	524	Moderate return
2021-01-15	654474	497429	841845	518	Moderate return
2021-01-16	655022	494416	846649	548	Moderate return
2021-01-17	655540	491641	851843	518	Moderate return
2021-01-18	656104	489761	856747	564	Moderate return
2021-01-19	656631	487257	861272	527	Moderate return
2021-01-20	657174	485365	866181	543	Moderate return
2021-01-21	657799	482994	871136	625	Moderate return
2021-01-22	658314	480599	875570	515	Moderate return
2021-01-23	658852	478552	880514	538	Moderate return
2021-01-24	659385	476728	884777	533	Moderate return
2021-01-25	659894	475009	890129	509	Moderate return
2021-01-26	660385	472841	894175	491	Moderate return
2021-01-27	660895	470478	899319	510	Moderate return
2021-01-28	661405	468654	903345	510	Moderate return
2021-01-29	661920	466417	907695	515	Moderate return
2021-01-30	662441	465410	911988	521	Moderate return
2021-01-31	662906	462597	916819	465	Moderate return
2021-02-01	663407	461176	920927	501	Moderate return
2021-02-02	663999	459157	925262	592	Moderate return
2021-02-03	664471	456864	929476	472	Moderate return
2021-02-04	665013	455080	934429	542	Moderate return
2021-02-05	665473	453983	938404	460	Moderate return
2021-02-06	665995	452357	942335	522	Moderate return
2021-02-07	666497	449682	946304	502	Moderate return
2021-02-08	667020	448378	950612	523	Moderate return
2021-02-09	667547	447265	954937	527	Moderate return
2021-02-10	668055	445239	960409	508	Moderate return
2021-02-11	668613	443547	963992	558	Moderate return
2021-02-12	669146	442687	967938	533	Moderate return
2021-02-13	669649	441016	972855	503	Moderate return
2021-02-14	670209	438941	977013	560	Moderate return
2021-02-15	670733	437685	981011	524	Moderate return
2021-02-16	671286	436467	985766	553	Moderate return
2021-02-17	671859	434823	990571	573	Moderate return
2021-02-18	672388	433706	994985	529	Moderate return
2021-02-19	672962	431935	998135	574	Moderate return
2021-02-20	673439	429968	1002079	477	Moderate return
2021-02-21	673951	429190	1006921	512	Moderate return
2021-02-22	674474	427556	1010228	523	Moderate return
2021-02-23	675051	425951	1015927	577	Moderate return
2021-02-24	675635	425091	1019110	584	Moderate return
2021-02-25	676098	423302	1023611	463	Moderate return
2021-02-26	676689	422304	1029206	591	Moderate return
2021-02-27	677231	421068	1034065	542	Moderate return
2021-02-28	677716	418962	1036249	485	Moderate return
2021-03-01	678316	417493	1041224	600	Moderate return
2021-03-02	678878	416023	1044897	562	Moderate return
2021-03-03	679498	414906	1050141	620	Moderate return
2021-03-04	680051	412993	1054084	553	Moderate return
2021-03-05	680611	411570	1058993	560	Moderate return
2021-03-06	681149	411248	1063218	538	Moderate return
2021-03-07	681722	410153	1068174	573	Moderate return
2021-03-08	682308	408615	1072268	586	Moderate return
2021-03-09	682867	406986	1077236	559	Moderate return
2021-03-10	683394	405860	1080929	527	Moderate return
2021-03-11	684076	404694	1084318	682	Moderate return
2021-03-12	684661	403127	1088779	585	Moderate return
2021-03-13	685236	402003	1094259	575	Moderate return
2021-03-14	685747	401227	1098489	511	Moderate return
2021-03-15	686312	399129	1103421	565	Moderate return
2021-03-16	686925	398222	1108159	613	Moderate return
2021-03-17	687585	397244	1113709	660	Moderate return
2021-03-18	688208	395773	1118517	623	Moderate return
2021-03-19	688829	394918	1122886	621	Moderate return
2021-03-20	689483	394149	1128109	654	Moderate return
