date	value	lower_ci	upper_ci	incidence	scenario
2020-12-27	200449	168802	235189	NA	Cautious return
2020-12-28	200829	164669	240854	380	Cautious return
2020-12-29	201178	160932	246131	349	Cautious return
2020-12-30	201509	157877	251162	331	Cautious return
2020-12-31	201842	154930	255902	333	Cautious return
2021-01-01	202160	152103	260201	318	Cautious return
2021-01-02	202491	149661	264152	331	Cautious return
2021-01-03	202798	147510	267933	307	Cautious return
2021-01-04	203083	145169	271745	285	Cautious return
2021-01-05	203385	143087	275591	302	Cautious return
2021-01-06	203714	141338	279250	329	Cautious return
2021-01-07	204025	139801	282174	311	Cautious return
2021-01-08	204348	137984	285612	323	Cautious return
2021-01-09	204612	136465	288806	264	Cautious return
2021-01-10	204929	134968	291744	317	Cautious return
2021-01-11	205216	133686	294923	287	Cautious return
2021-01-12	205466	132606	298007	250	Cautious return
2021-01-13	205735	131220	301267	269	Cautious return
2021-01-14	206011	129918	304020	276	Cautious return
2021-01-15	206260	128511	306791	249	Cautious return
2021-01-16	206533	127549	309410	273	Cautious return
2021-01-17	206828	126463	312175	295	Cautious return
2021-01-18	207077	125125	314818	249	Cautious return
2021-01-19	207326	123942	317618	249	Cautious return
2021-01-20	207576	122912	319991	250	Cautious return
2021-01-21	207841	121882	323147	265	Cautious return
2021-01-22	208109	121044	325388	268	Cautious return
2021-01-23	208355	119855	327631	246	Cautious return
2021-01-24	208606	118602	330662	251	Cautious return
2021-01-25	208850	117779	332906	244	Cautious return
2021-01-26	209071	116834	335771	221	Cautious return
2021-01-27	209326	115869	337900	255	Cautious return
2021-01-28	209565	114946	340375	239	Cautious return
2021-01-29	209812	114012	342578	247	Cautious return
2021-01-30	210056	113124	345111	244	Cautious return
2021-01-31	210308	112300	347429	252	Cautious return
2021-02-01	210546	111242	350016	238	Cautious return
2021-02-02	210745	110578	352194	199	Cautious return
2021-02-03	210981	109767	354701	236	Cautious return
2021-02-04	211204	108830	356943	223	Cautious return
2021-02-05	211423	107960	358801	219	Cautious return
2021-02-06	211640	107262	361200	217	Cautious return
2021-02-07	211856	106409	363532	216	Cautious return
2021-02-08	212092	105560	366054	236	Cautious return
2021-02-09	212342	104631	368131	250	Cautious return
2021-02-10	212585	103896	370271	243	Cautious return
2021-02-11	212794	103286	372281	209	Cautious return
2021-02-12	213004	102512	374942	210	Cautious return
2021-02-13	213222	101462	376587	218	Cautious return
