date	value	lower_ci	upper_ci	incidence	scenario
2020-12-27	196767	177413	217606	NA	Cautious return
2020-12-28	196856	174485	221087	89	Cautious return
2020-12-29	196920	171925	224264	64	Cautious return
2020-12-30	196986	169812	226904	66	Cautious return
2020-12-31	197068	167835	229563	82	Cautious return
2021-01-01	197154	166109	232107	86	Cautious return
2021-01-02	197206	164414	234240	52	Cautious return
2021-01-03	197269	162831	236330	63	Cautious return
2021-01-04	197332	161228	238393	63	Cautious return
2021-01-05	197383	159910	240255	51	Cautious return
2021-01-06	197428	158498	242071	45	Cautious return
2021-01-07	197468	157048	243999	40	Cautious return
2021-01-08	197508	155827	245587	40	Cautious return
2021-01-09	197540	154479	247245	32	Cautious return
2021-01-10	197575	153520	248756	35	Cautious return
2021-01-11	197614	151981	250459	39	Cautious return
2021-01-12	197640	150903	251917	26	Cautious return
2021-01-13	197684	149926	253232	44	Cautious return
2021-01-14	197709	148843	254808	25	Cautious return
2021-01-15	197726	147768	256225	17	Cautious return
2021-01-16	197755	146785	257346	29	Cautious return
2021-01-17	197785	145784	258694	30	Cautious return
2021-01-18	197799	144870	259893	14	Cautious return
2021-01-19	197831	143881	261155	32	Cautious return
2021-01-20	197861	143063	262219	30	Cautious return
2021-01-21	197885	142290	263617	24	Cautious return
2021-01-22	197921	141366	264694	36	Cautious return
2021-01-23	197951	140430	265789	30	Cautious return
2021-01-24	197976	139617	266918	25	Cautious return
2021-01-25	198009	138875	268057	33	Cautious return
2021-01-26	198028	137872	269279	19	Cautious return
2021-01-27	198063	137157	270449	35	Cautious return
2021-01-28	198081	136389	271494	18	Cautious return
2021-01-29	198100	135663	272571	19	Cautious return
2021-01-30	198141	134739	273429	41	Cautious return
2021-01-31	198182	133991	274349	41	Cautious return
2021-02-01	198215	133284	275656	33	Cautious return
2021-02-02	198243	132382	276457	28	Cautious return
2021-02-03	198266	131896	277402	23	Cautious return
2021-02-04	198285	130946	278457	19	Cautious return
2021-02-05	198291	130272	279329	6	Cautious return
2021-02-06	198307	129609	280718	16	Cautious return
2021-02-07	198323	128941	281182	16	Cautious return
2021-02-08	198346	128278	282183	23	Cautious return
2021-02-09	198358	127298	283198	12	Cautious return
2021-02-10	198381	126938	284089	23	Cautious return
2021-02-11	198391	126122	285245	10	Cautious return
2021-02-12	198409	125705	286327	18	Cautious return
2021-02-13	198414	125079	286976	5	Cautious return
2021-02-14	198426	124536	287898	12	Cautious return
2021-02-15	198439	124017	288686	13	Cautious return
2021-02-16	198456	123374	289553	17	Cautious return
2021-02-17	198457	122664	290207	1	Cautious return
2021-02-18	198469	121909	291277	12	Cautious return
2021-02-19	198484	121431	291719	15	Cautious return
2021-02-20	198484	120883	292495	0	Cautious return
2021-02-21	198500	120215	293472	16	Cautious return
2021-02-22	198493	119472	294040	-7	Cautious return
2021-02-23	198516	118840	295181	23	Cautious return
2021-02-24	198542	118171	295713	26	Cautious return
2021-02-25	198554	117722	296566	12	Cautious return
2021-02-26	198582	117208	297336	28	Cautious return
2021-02-27	198602	116648	298080	20	Cautious return
2021-02-28	198598	115935	299018	-4	Cautious return
2021-03-01	198622	115553	299381	24	Cautious return
2021-03-02	198618	114884	300104	-4	Cautious return
2021-03-03	198614	114418	300708	-4	Cautious return
2021-03-04	198601	113833	301605	-13	Cautious return
2021-03-05	198593	113239	302313	-8	Cautious return
2021-03-06	198591	112728	302805	-2	Cautious return
2021-03-07	198603	112113	303845	12	Cautious return
2021-03-08	198628	111705	304828	25	Cautious return
2021-03-09	198646	111196	305465	18	Cautious return
2021-03-10	198661	110733	305937	15	Cautious return
2021-03-11	198662	110169	306634	1	Cautious return
2021-03-12	198657	109601	307267	-5	Cautious return
2021-03-13	198660	109316	308164	3	Cautious return
2021-03-14	198689	108621	308906	29	Cautious return
2021-03-15	198702	108167	309642	13	Cautious return
2021-03-16	198709	107790	309776	7	Cautious return
2021-03-17	198702	107446	310786	-7	Cautious return
2021-03-18	198735	106757	311215	33	Cautious return
2021-03-19	198739	106149	311829	4	Cautious return
2021-03-20	198750	105685	312296	11	Cautious return
2021-03-21	198744	105154	313088	-6	Cautious return
2021-03-22	198731	104635	313875	-13	Cautious return
2021-03-23	198734	104393	314232	3	Cautious return
2021-03-24	198748	104085	315245	14	Cautious return
2021-03-25	198756	103512	315772	8	Cautious return
2021-03-26	198757	103138	315857	1	Cautious return
2021-03-27	198766	102505	316779	9	Cautious return
2021-03-28	198779	102063	317213	13	Cautious return
2021-03-29	198793	101740	318141	14	Cautious return
2021-03-30	198785	101363	318952	-8	Cautious return
2021-03-31	198756	100668	319399	-29	Cautious return
2021-04-01	198772	100417	320139	16	Cautious return
2021-04-02	198787	100071	320551	15	Cautious return
2021-04-03	198786	99381	321012	-1	Cautious return
2021-04-04	198780	99076	321917	-6	Cautious return
2021-04-05	198809	98746	322339	29	Cautious return
2021-04-06	198819	98108	322515	10	Cautious return
2021-04-07	198831	97775	323267	12	Cautious return
2021-04-08	198847	97550	323584	16	Cautious return
2021-04-09	198852	96827	324482	5	Cautious return
2021-04-10	198847	96584	324845	-5	Cautious return
2021-04-11	198844	96175	325474	-3	Cautious return
2021-04-12	198846	95811	325813	2	Cautious return
2021-04-13	198859	95213	327153	13	Cautious return
2021-04-14	198874	94860	327220	15	Cautious return
