stat	value
thetaS_last_obs_p_mean	0.9891184
thetaI_last_obs_p_mean	3.088865e-06
thetaR_last_obs_p_mean	0.0108785
thetaS_last_obs_p_ci_low	0.9887027
thetaS_last_obs_p_ci_med	0.9891199
thetaS_last_obs_p_ci_up	0.9895289
thetaI_last_obs_p_ci_low	1.85262e-07
thetaI_last_obs_p_ci_med	2.29997e-06
thetaI_last_obs_p_ci_up	1.065273e-05
thetaR_last_obs_p_ci_low	0.01046806
thetaR_last_obs_p_ci_med	0.01087685
thetaR_last_obs_p_ci_up	0.01129361
R0_p_mean	1.461594
R0_p_ci_low	0.6070588
R0_p_ci_med	1.319234
R0_p_ci_up	3.103978
gamma_p_mean	0.05492164
gamma_p_ci_low	0.006391836
gamma_p_ci_med	0.03645421
gamma_p_ci_up	0.218145
beta_p_mean	0.06778733
beta_p_ci_low	0.008688341
beta_p_ci_med	0.05119033
beta_p_ci_up	0.2260778
incidence_mean	0.0004164763
incidence_ci_low	1.954674e-05
incidence_ci_median	0.0001175031
incidence_ci_up	0.0006218636
thetaI_tp1_mean	8.986999e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0
thetaR_tp1_mean	0.01105518
thetaR_tp1_ci_low	0.00540241
thetaR_tp1_ci_med	0.01068396
thetaR_tp1_ci_up	0.017823
Y_tp1_mean	8.971876e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0
R_tp1_mean	0.01105466
R_tp1_ci_low	0.005379789
R_tp1_ci_med	0.01068513
R_tp1_ci_up	0.01785575
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01105518
thetaR_max_ci_low	0.00540241
thetaR_max_ci_med	0.01068396
thetaR_max_ci_up	0.017823
cumInf_mean	0.01114505
cumInf_ci_low	0.00540283
cumInf_ci_med	0.01068647
cumInf_ci_up	0.01787961
dthetaI_tp1_date	06/01/21
first_tp_mean	11/26/20
first_tp_ci_low	11/14/20
first_tp_ci_med	11/25/20
first_tp_ci_up	12/20/20
dthetaI_tp2_date	06/01/21
second_tp_mean	11/27/20
second_tp_ci_low	11/16/20
second_tp_ci_med	11/26/20
second_tp_ci_up	12/21/20
end_p_mean	01/04/21
end_p_ci_low	12/29/20
end_p_ci_med	12/31/20
end_p_ci_up	02/11/21
begin_str	11/14/2020
