stat	value
thetaS_last_obs_p_mean	0.9965835
thetaI_last_obs_p_mean	0.0001393027
thetaR_last_obs_p_mean	0.003277239
thetaS_last_obs_p_ci_low	0.9963513
thetaS_last_obs_p_ci_med	0.9965845
thetaS_last_obs_p_ci_up	0.9968095
thetaI_last_obs_p_ci_low	9.635531e-05
thetaI_last_obs_p_ci_med	0.0001383857
thetaI_last_obs_p_ci_up	0.0001876389
thetaR_last_obs_p_ci_low	0.003055953
thetaR_last_obs_p_ci_med	0.003276145
thetaR_last_obs_p_ci_up	0.003504634
R0_p_mean	1.373548
R0_p_ci_low	0.6572166
R0_p_ci_med	1.24897
R0_p_ci_up	2.782227
gamma_p_mean	0.05017328
gamma_p_ci_low	0.00677338
gamma_p_ci_med	0.03784322
gamma_p_ci_up	0.1615279
beta_p_mean	0.06045379
beta_p_ci_low	0.00921893
beta_p_ci_med	0.04981605
beta_p_ci_up	0.1726675
incidence_mean	0.02052507
incidence_ci_low	0.0001345552
incidence_ci_median	0.001325535
incidence_ci_up	0.221435
thetaI_tp1_mean	0.006293869
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.06648814
thetaR_tp1_mean	0.01692459
thetaR_tp1_ci_low	0.001005947
thetaR_tp1_ci_med	0.00460879
thetaR_tp1_ci_up	0.1448813
Y_tp1_mean	0.006294023
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.06651891
R_tp1_mean	0.01692472
R_tp1_ci_low	0.0009990763
R_tp1_ci_med	0.004610445
R_tp1_ci_up	0.1449131
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01692459
thetaR_max_ci_low	0.001005947
thetaR_max_ci_med	0.00460879
thetaR_max_ci_up	0.1448813
cumInf_mean	0.02321846
cumInf_ci_low	0.001026524
cumInf_ci_med	0.004870058
cumInf_ci_up	0.2214561
dthetaI_tp1_date	06/07/21
first_tp_mean	01/14/21
first_tp_ci_low	11/20/20
first_tp_ci_med	12/01/20
first_tp_ci_up	06/07/21
dthetaI_tp2_date	06/07/21
second_tp_mean	01/16/21
second_tp_ci_low	11/22/20
second_tp_ci_med	12/03/20
second_tp_ci_up	06/07/21
end_p_mean	04/16/21
end_p_ci_low	01/19/21
end_p_ci_med	05/13/21
end_p_ci_up	06/07/21
begin_str	11/20/2020
