date	value	lower_ci	upper_ci	incidence	scenario
2021-01-05	254775	211790	302421	NA	Soc. Dist. + Travel Ban
2021-01-06	255312	204687	309496	537	Soc. Dist. + Travel Ban
2021-01-07	255473	200141	320610	161	Soc. Dist. + Travel Ban
2021-01-08	255476	195236	325920	3	Soc. Dist. + Travel Ban
2021-01-09	255971	189597	334325	495	Soc. Dist. + Travel Ban
2021-01-10	255777	186799	338079	-194	Soc. Dist. + Travel Ban
2021-01-11	256115	185583	342114	338	Soc. Dist. + Travel Ban
2021-01-12	256382	182626	352270	267	Soc. Dist. + Travel Ban
2021-01-13	257106	178209	353473	724	Soc. Dist. + Travel Ban
2021-01-14	257490	179160	364181	384	Soc. Dist. + Travel Ban
2021-01-15	258051	173324	366683	561	Soc. Dist. + Travel Ban
2021-01-16	258640	170780	373650	589	Soc. Dist. + Travel Ban
2021-01-17	258930	168591	374000	290	Soc. Dist. + Travel Ban
2021-01-18	258957	164911	379043	27	Soc. Dist. + Travel Ban
2021-01-19	258914	164414	381479	-43	Soc. Dist. + Travel Ban
2021-01-20	259316	159185	387932	402	Soc. Dist. + Travel Ban
2021-01-21	259178	157943	391519	-138	Soc. Dist. + Travel Ban
2021-01-22	259375	156923	391991	197	Soc. Dist. + Travel Ban
2021-01-23	260102	156082	401928	727	Soc. Dist. + Travel Ban
2021-01-24	260309	153427	404273	207	Soc. Dist. + Travel Ban
2021-01-25	261160	153584	412387	851	Soc. Dist. + Travel Ban
2021-01-26	261400	151428	413794	240	Soc. Dist. + Travel Ban
2021-01-27	261414	148902	423165	14	Soc. Dist. + Travel Ban
2021-01-28	261432	144720	421165	18	Soc. Dist. + Travel Ban
2021-01-29	261715	147965	428563	283	Soc. Dist. + Travel Ban
2021-01-30	262252	145151	425935	537	Soc. Dist. + Travel Ban
2021-01-31	262513	140268	435220	261	Soc. Dist. + Travel Ban
2021-02-01	263230	138118	438936	717	Soc. Dist. + Travel Ban
2021-02-02	263468	134242	439819	238	Soc. Dist. + Travel Ban
2021-02-03	264112	137342	448449	644	Soc. Dist. + Travel Ban
2021-02-04	264790	135361	456143	678	Soc. Dist. + Travel Ban
2021-02-05	264579	132104	461224	-211	Soc. Dist. + Travel Ban
2021-02-06	265163	130806	463797	584	Soc. Dist. + Travel Ban
2021-02-07	265684	129689	470949	521	Soc. Dist. + Travel Ban
2021-02-08	265645	128080	471741	-39	Soc. Dist. + Travel Ban
2021-02-09	265577	124450	469073	-68	Soc. Dist. + Travel Ban
2021-02-10	265572	125451	480358	-5	Soc. Dist. + Travel Ban
2021-02-11	266119	122042	486185	547	Soc. Dist. + Travel Ban
2021-02-12	266812	122636	487908	693	Soc. Dist. + Travel Ban
2021-02-13	267628	121473	491560	816	Soc. Dist. + Travel Ban
2021-02-14	268293	119407	507667	665	Soc. Dist. + Travel Ban
2021-02-15	269055	118277	506522	762	Soc. Dist. + Travel Ban
2021-02-16	269555	116556	511475	500	Soc. Dist. + Travel Ban
2021-02-17	269535	115327	513525	-20	Soc. Dist. + Travel Ban
2021-02-18	270030	114056	517855	495	Soc. Dist. + Travel Ban
2021-02-19	270084	111061	531346	54	Soc. Dist. + Travel Ban
2021-02-20	271204	111794	531853	1120	Soc. Dist. + Travel Ban
2021-02-21	271800	109155	537842	596	Soc. Dist. + Travel Ban
2021-02-22	272440	109450	542056	640	Soc. Dist. + Travel Ban
2021-02-23	272481	106649	541387	41	Soc. Dist. + Travel Ban
2021-02-24	273784	106132	549736	1303	Soc. Dist. + Travel Ban
2021-02-25	274774	106304	557016	990	Soc. Dist. + Travel Ban
2021-02-26	275588	104098	576762	814	Soc. Dist. + Travel Ban
2021-02-27	276571	103927	578568	983	Soc. Dist. + Travel Ban
2021-02-28	277684	103704	598309	1113	Soc. Dist. + Travel Ban
2021-03-01	278419	101472	587575	735	Soc. Dist. + Travel Ban
2021-03-02	279201	100726	591997	782	Soc. Dist. + Travel Ban
2021-03-03	280396	102156	606411	1195	Soc. Dist. + Travel Ban
2021-03-04	281776	97489	629248	1380	Soc. Dist. + Travel Ban
2021-03-05	283247	96973	631448	1471	Soc. Dist. + Travel Ban
