stat	value
thetaS_last_obs_p_mean	0.9803033
thetaI_last_obs_p_mean	0.000621018
thetaR_last_obs_p_mean	0.01907565
thetaS_last_obs_p_ci_low	0.9797362
thetaS_last_obs_p_ci_med	0.9803028
thetaS_last_obs_p_ci_up	0.9808721
thetaI_last_obs_p_ci_low	0.0005222828
thetaI_last_obs_p_ci_med	0.0006197745
thetaI_last_obs_p_ci_up	0.0007270188
thetaR_last_obs_p_ci_low	0.01851642
thetaR_last_obs_p_ci_med	0.01907624
thetaR_last_obs_p_ci_up	0.01963332
R0_p_mean	1.104734
R0_p_ci_low	0.7642033
R0_p_ci_med	1.044935
R0_p_ci_up	1.871474
gamma_p_mean	0.1383864
gamma_p_ci_low	0.01290882
gamma_p_ci_med	0.1287976
gamma_p_ci_up	0.326104
beta_p_mean	0.1441209
beta_p_ci_low	0.01732394
beta_p_ci_med	0.1335709
beta_p_ci_up	0.3333653
incidence_mean	0.03293266
incidence_ci_low	0.00133376
incidence_ci_median	0.01475119
incidence_ci_up	0.1834881
thetaI_tp1_mean	0.002929154
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0005253883
thetaI_tp1_ci_up	0.02150221
thetaR_tp1_mean	0.04036331
thetaR_tp1_ci_low	0.01534597
thetaR_tp1_ci_med	0.02921851
thetaR_tp1_ci_up	0.1397461
Y_tp1_mean	0.002929115
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0005236056
Y_tp1_ci_up	0.02152126
R_tp1_mean	0.04036346
R_tp1_ci_low	0.01533344
R_tp1_ci_med	0.02921339
R_tp1_ci_up	0.1397611
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.04539649
thetaR_max_ci_low	0.0150943
thetaR_max_ci_med	0.03041861
thetaR_max_ci_up	0.1760751
cumInf_mean	0.0488904
cumInf_ci_low	0.01530359
cumInf_ci_med	0.03140358
cumInf_ci_up	0.1977124
dthetaI_tp1_date	05/21/21
first_tp_mean	01/11/21
first_tp_ci_low	11/26/20
first_tp_ci_med	12/23/20
first_tp_ci_up	06/08/21
dthetaI_tp2_date	05/21/21
second_tp_mean	01/15/21
second_tp_ci_low	11/27/20
second_tp_ci_med	12/26/20
second_tp_ci_up	06/08/21
end_p_mean	05/21/21
end_p_ci_low	02/22/21
end_p_ci_med	06/08/21
end_p_ci_up	06/08/21
begin_str	11/21/2020
