stat	value
thetaS_last_obs_p_mean	0.9888507
thetaI_last_obs_p_mean	0.0003733611
thetaR_last_obs_p_mean	0.01077593
thetaS_last_obs_p_ci_low	0.9884266
thetaS_last_obs_p_ci_med	0.9888517
thetaS_last_obs_p_ci_up	0.9892673
thetaI_last_obs_p_ci_low	0.000298969
thetaI_last_obs_p_ci_med	0.0003723227
thetaI_last_obs_p_ci_up	0.0004535167
thetaR_last_obs_p_ci_low	0.01036644
thetaR_last_obs_p_ci_med	0.01077466
thetaR_last_obs_p_ci_up	0.01119312
R0_p_mean	0.996975
R0_p_ci_low	0.5641234
R0_p_ci_med	0.9410238
R0_p_ci_up	1.821816
gamma_p_mean	0.05951255
gamma_p_ci_low	0.008243873
gamma_p_ci_med	0.0534728
gamma_p_ci_up	0.1447323
beta_p_mean	0.05564895
beta_p_ci_low	0.009610713
beta_p_ci_med	0.0489031
beta_p_ci_up	0.1370355
incidence_mean	0.00220639
incidence_ci_low	0.0004388363
incidence_ci_median	0.002005811
incidence_ci_up	0.005057483
thetaI_tp1_mean	0.0008986492
thetaI_tp1_ci_low	0.0007986697
thetaI_tp1_ci_med	0.0008980975
thetaI_tp1_ci_up	0.001001569
thetaR_tp1_mean	0.008023441
thetaR_tp1_ci_low	0.007724368
thetaR_tp1_ci_med	0.008022843
thetaR_tp1_ci_up	0.008325871
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01139514
R_tp1_ci_low	0.007044533
R_tp1_ci_med	0.0111935
R_tp1_ci_up	0.01672383
thetaI_tp2_mean	0.0009089554
thetaI_tp2_ci_low	0.0008077039
thetaI_tp2_ci_med	0.0009084496
thetaI_tp2_ci_up	0.001012749
thetaR_tp2_mean	0.008154503
thetaR_tp2_ci_low	0.007857164
thetaR_tp2_ci_med	0.008153392
thetaR_tp2_ci_up	0.008458547
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01162052
thetaR_max_ci_low	0.00585295
thetaR_max_ci_med	0.0113854
thetaR_max_ci_up	0.01872756
cumInf_mean	0.01168821
cumInf_ci_low	0.0058827
cumInf_ci_med	0.01144116
cumInf_ci_up	0.01888025
dthetaI_tp1_date	11/24/20
first_tp_mean	12/01/20
first_tp_ci_low	11/22/20
first_tp_ci_med	11/27/20
first_tp_ci_up	12/24/20
dthetaI_tp2_date	11/26/20
second_tp_mean	12/03/20
second_tp_ci_low	11/24/20
second_tp_ci_med	11/28/20
second_tp_ci_up	12/25/20
end_p_mean	03/29/21
end_p_ci_low	01/30/21
end_p_ci_med	03/18/21
end_p_ci_up	06/09/21
begin_str	11/22/2020
