stat	value
thetaS_last_obs_p_mean	0.9888476
thetaI_last_obs_p_mean	0.0003738409
thetaR_last_obs_p_mean	0.01077853
thetaS_last_obs_p_ci_low	0.9884456
thetaS_last_obs_p_ci_med	0.9888438
thetaS_last_obs_p_ci_up	0.9892523
thetaI_last_obs_p_ci_low	0.0003053928
thetaI_last_obs_p_ci_med	0.0003732189
thetaI_last_obs_p_ci_up	0.0004516523
thetaR_last_obs_p_ci_low	0.01037176
thetaR_last_obs_p_ci_med	0.01078288
thetaR_last_obs_p_ci_up	0.01118753
R0_p_mean	1.00459
R0_p_ci_low	0.5786602
R0_p_ci_med	0.9445767
R0_p_ci_up	1.809413
gamma_p_mean	0.05928051
gamma_p_ci_low	0.007335963
gamma_p_ci_med	0.05271717
gamma_p_ci_up	0.1450773
beta_p_mean	0.05562448
beta_p_ci_low	0.009339686
beta_p_ci_med	0.048745
beta_p_ci_up	0.1374146
incidence_mean	0.005476167
incidence_ci_low	0.0004877633
incidence_ci_median	0.003087286
incidence_ci_up	0.02636298
thetaI_tp1_mean	0.0008766191
thetaI_tp1_ci_low	0.0007789228
thetaI_tp1_ci_med	0.0008768862
thetaI_tp1_ci_up	0.000984432
thetaR_tp1_mean	0.007980064
thetaR_tp1_ci_low	0.007665934
thetaR_tp1_ci_med	0.007979542
thetaR_tp1_ci_up	0.008285005
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01229821
R_tp1_ci_low	0.007416648
R_tp1_ci_med	0.01163668
R_tp1_ci_up	0.02038809
thetaI_tp2_mean	0.0009091055
thetaI_tp2_ci_low	0.0008150755
thetaI_tp2_ci_med	0.0009078556
thetaI_tp2_ci_up	0.001008595
thetaR_tp2_mean	0.008154669
thetaR_tp2_ci_low	0.007861727
thetaR_tp2_ci_med	0.008152564
thetaR_tp2_ci_up	0.008457186
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01405952
thetaR_max_ci_low	0.00631839
thetaR_max_ci_med	0.01271018
thetaR_max_ci_up	0.03067755
cumInf_mean	0.01475153
cumInf_ci_low	0.006409816
cumInf_ci_med	0.01297618
cumInf_ci_up	0.03454931
dthetaI_tp1_date	11/23/20
first_tp_mean	12/09/20
first_tp_ci_low	11/22/20
first_tp_ci_med	11/26/20
first_tp_ci_up	06/08/21
dthetaI_tp2_date	11/26/20
second_tp_mean	12/11/20
second_tp_ci_low	11/24/20
second_tp_ci_med	11/27/20
second_tp_ci_up	06/08/21
end_p_mean	05/02/21
end_p_ci_low	02/08/21
end_p_ci_med	05/26/21
end_p_ci_up	06/09/21
begin_str	11/22/2020
