stat	value
thetaS_last_obs_p_mean	0.976515
thetaI_last_obs_p_mean	0.001925987
thetaR_last_obs_p_mean	0.02155905
thetaS_last_obs_p_ci_low	0.9759263
thetaS_last_obs_p_ci_med	0.9765159
thetaS_last_obs_p_ci_up	0.9771076
thetaI_last_obs_p_ci_low	0.001759009
thetaI_last_obs_p_ci_med	0.001923655
thetaI_last_obs_p_ci_up	0.002100338
thetaR_last_obs_p_ci_low	0.02098252
thetaR_last_obs_p_ci_med	0.02155538
thetaR_last_obs_p_ci_up	0.02213434
R0_p_mean	1.087286
R0_p_ci_low	0.7908234
R0_p_ci_med	1.064292
R0_p_ci_up	1.550805
gamma_p_mean	0.0618368
gamma_p_ci_low	0.0140435
gamma_p_ci_med	0.06107052
gamma_p_ci_up	0.1165854
beta_p_mean	0.06554681
beta_p_ci_low	0.01681631
beta_p_ci_med	0.06511722
beta_p_ci_up	0.1226332
incidence_mean	0.03315968
incidence_ci_low	0.004961672
incidence_ci_median	0.02504078
incidence_ci_up	0.1103896
thetaI_tp1_mean	0.004234023
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.002120587
thetaI_tp1_ci_up	0.02119531
thetaR_tp1_mean	0.04671496
thetaR_tp1_ci_low	0.02119027
thetaR_tp1_ci_med	0.04048589
thetaR_tp1_ci_up	0.1093942
Y_tp1_mean	0.004232625
Y_tp1_ci_low	0
Y_tp1_ci_med	0.002125563
Y_tp1_ci_up	0.02142497
R_tp1_mean	0.04669983
R_tp1_ci_low	0.02132343
R_tp1_ci_med	0.04059537
R_tp1_ci_up	0.1090235
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.04671496
thetaR_max_ci_low	0.02119027
thetaR_max_ci_med	0.04048589
thetaR_max_ci_up	0.1093942
cumInf_mean	0.05094898
cumInf_ci_low	0.02191511
cumInf_ci_med	0.04311463
cumInf_ci_up	0.1267832
dthetaI_tp1_date	06/09/21
first_tp_mean	01/02/21
first_tp_ci_low	11/23/20
first_tp_ci_med	12/22/20
first_tp_ci_up	06/09/21
dthetaI_tp2_date	06/09/21
second_tp_mean	01/04/21
second_tp_ci_low	11/25/20
second_tp_ci_med	12/25/20
second_tp_ci_up	06/09/21
end_p_mean	06/07/21
end_p_ci_low	05/19/21
end_p_ci_med	06/09/21
end_p_ci_up	06/09/21
begin_str	11/22/2020
