date	value	lower_ci	upper_ci	incidence	scenario
2021-01-06	1951778	1816843	2086847	NA	No intervention
2021-01-07	1952979	1794189	2119278	1201	No intervention
2021-01-08	1955007	1778978	2135864	2028	No intervention
2021-01-09	1956606	1771720	2158608	1599	No intervention
2021-01-10	1958593	1756634	2171160	1987	No intervention
2021-01-11	1960496	1742087	2189497	1903	No intervention
2021-01-12	1961879	1726739	2211437	1383	No intervention
2021-01-13	1963462	1721612	2230278	1583	No intervention
2021-01-14	1965158	1706087	2233891	1696	No intervention
2021-01-15	1966974	1692031	2252967	1816	No intervention
2021-01-16	1969178	1689832	2272611	2204	No intervention
2021-01-17	1970448	1685478	2281721	1270	No intervention
2021-01-18	1972454	1681092	2293092	2006	No intervention
2021-01-19	1975440	1662753	2311811	2986	No intervention
2021-01-20	1977925	1654551	2322639	2485	No intervention
2021-01-21	1981633	1657713	2333478	3708	No intervention
2021-01-22	1983488	1641551	2371085	1855	No intervention
2021-01-23	1984132	1621030	2372924	644	No intervention
2021-01-24	1988215	1622697	2368409	4083	No intervention
2021-01-25	1991476	1619318	2390906	3261	No intervention
2021-01-26	1993758	1608799	2403666	2282	No intervention
2021-01-27	1995248	1601441	2433396	1490	No intervention
2021-01-28	1997451	1594004	2437616	2203	No intervention
2021-01-29	2000855	1584086	2436561	3404	No intervention
2021-01-30	2002620	1595351	2452131	1765	No intervention
2021-01-31	2005739	1567857	2469786	3119	No intervention
2021-02-01	2007085	1576374	2479177	1346	No intervention
2021-02-02	2008373	1569222	2495074	1288	No intervention
2021-02-03	2011498	1565669	2494602	3125	No intervention
2021-02-04	2014137	1569843	2519248	2639	No intervention
2021-02-05	2017381	1564924	2532208	3244	No intervention
2021-02-06	2020486	1564910	2538949	3105	No intervention
2021-02-07	2023314	1555815	2542155	2828	No intervention
2021-02-08	2026160	1559645	2572299	2846	No intervention
2021-02-09	2026513	1547271	2575240	353	No intervention
2021-02-10	2028843	1562943	2586412	2330	No intervention
2021-02-11	2030952	1551927	2601317	2109	No intervention
2021-02-12	2033546	1560534	2616255	2594	No intervention
2021-02-13	2035296	1537609	2642860	1750	No intervention
2021-02-14	2037218	1528127	2644799	1922	No intervention
2021-02-15	2039459	1533088	2672120	2241	No intervention
2021-02-16	2042280	1520399	2680869	2821	No intervention
2021-02-17	2046220	1517665	2694143	3940	No intervention
2021-02-18	2048691	1510596	2713002	2471	No intervention
2021-02-19	2050801	1509515	2718640	2110	No intervention
2021-02-20	2053638	1500761	2727649	2837	No intervention
2021-02-21	2056286	1486621	2740993	2648	No intervention
2021-02-22	2058789	1482772	2737889	2503	No intervention
2021-02-23	2061421	1487545	2785819	2632	No intervention
2021-02-24	2063210	1483177	2792290	1789	No intervention
2021-02-25	2063940	1484654	2777776	730	No intervention
2021-02-26	2067748	1492676	2809157	3808	No intervention
2021-02-27	2071379	1490299	2833612	3631	No intervention
2021-02-28	2074558	1483557	2842519	3179	No intervention
2021-03-01	2076392	1458651	2870745	1834	No intervention
2021-03-02	2079647	1487074	2868609	3255	No intervention
2021-03-03	2082517	1474657	2895425	2870	No intervention
2021-03-04	2084777	1473134	2900510	2260	No intervention
2021-03-05	2087986	1468289	2895328	3209	No intervention
2021-03-06	2091241	1470390	2932789	3255	No intervention
2021-03-07	2094056	1461673	2938524	2815	No intervention
2021-03-08	2097369	1456503	2990226	3313	No intervention
2021-03-09	2101746	1450281	2974416	4377	No intervention
2021-03-10	2106116	1475189	2985295	4370	No intervention
2021-03-11	2110324	1468942	3000653	4208	No intervention
2021-03-12	2114076	1460217	3023273	3752	No intervention
2021-03-13	2117569	1467222	3018969	3493	No intervention
2021-03-14	2119701	1443669	3047839	2132	No intervention
2021-03-15	2122232	1450095	3040420	2531	No intervention
2021-03-16	2125025	1444698	3084727	2793	No intervention
2021-03-17	2129063	1449771	3072041	4038	No intervention
2021-03-18	2133194	1439291	3142474	4131	No intervention
2021-03-19	2137250	1458617	3138589	4056	No intervention
2021-03-20	2140881	1439969	3186072	3631	No intervention
2021-03-21	2144086	1450559	3200618	3205	No intervention
2021-03-22	2148272	1452096	3200760	4186	No intervention
2021-03-23	2151980	1426822	3241684	3708	No intervention
2021-03-24	2156034	1433130	3252113	4054	No intervention
2021-03-25	2160495	1434661	3271513	4461	No intervention
2021-03-26	2164602	1431666	3290466	4107	No intervention
2021-03-27	2168271	1416334	3313336	3669	No intervention
2021-03-28	2172045	1424450	3340668	3774	No intervention
2021-03-29	2177056	1421473	3347348	5011	No intervention
2021-03-30	2180971	1419573	3350258	3915	No intervention
2021-03-31	2184004	1415056	3381028	3033	No intervention
2021-04-01	2188630	1419744	3390654	4626	No intervention
2021-04-02	2193145	1407723	3423051	4515	No intervention
2021-04-03	2198043	1410208	3449591	4898	No intervention
2021-04-04	2202958	1414584	3453736	4915	No intervention
2021-04-05	2206899	1410742	3473372	3941	No intervention
2021-04-06	2211824	1394571	3528245	4925	No intervention
2021-04-07	2216545	1405257	3518905	4721	No intervention
2021-04-08	2221077	1399336	3587316	4532	No intervention
2021-04-09	2225176	1386006	3560565	4099	No intervention
2021-04-10	2230368	1388155	3596231	5192	No intervention
2021-04-11	2237056	1399256	3622535	6688	No intervention
2021-04-12	2240899	1375691	3665260	3843	No intervention
2021-04-13	2247501	1380849	3708722	6602	No intervention
2021-04-14	2252994	1384508	3712708	5493	No intervention
2021-04-15	2258345	1383306	3742030	5351	No intervention
2021-04-16	2263847	1377333	3750516	5502	No intervention
2021-04-17	2267086	1368660	3798388	3239	No intervention
2021-04-18	2272109	1377101	3829718	5023	No intervention
2021-04-19	2277990	1355393	3861955	5881	No intervention
2021-04-20	2284122	1364186	3914489	6132	No intervention
2021-04-21	2288953	1358063	3921382	4831	No intervention
2021-04-22	2295590	1358630	3941097	6637	No intervention
2021-04-23	2300971	1349851	3983898	5381	No intervention
2021-04-24	2307164	1340495	4020154	6193	No intervention
2021-04-25	2312845	1341559	4057395	5681	No intervention
2021-04-26	2319003	1364138	4110645	6158	No intervention
2021-04-27	2323718	1360623	4138189	4715	No intervention
2021-04-28	2329711	1353444	4205193	5993	No intervention
2021-04-29	2337174	1341273	4183433	7463	No intervention
2021-04-30	2345279	1340101	4270089	8105	No intervention
2021-05-01	2352579	1360284	4314338	7300	No intervention
2021-05-02	2360188	1360435	4379483	7609	No intervention
2021-05-03	2366775	1363001	4408195	6587	No intervention
2021-05-04	2374843	1337639	4391129	8068	No intervention
2021-05-05	2380813	1334484	4517398	5970	No intervention
2021-05-06	2388286	1337094	4525519	7473	No intervention
2021-05-07	2392963	1339667	4552320	4677	No intervention
2021-05-08	2399654	1336815	4616368	6691	No intervention
2021-05-09	2406444	1340124	4714390	6790	No intervention
2021-05-10	2416102	1348523	4774761	9658	No intervention
2021-05-11	2424329	1334986	4825612	8227	No intervention
2021-05-12	2431070	1314896	4784383	6741	No intervention
2021-05-13	2439305	1327405	4864394	8235	No intervention
2021-05-14	2446853	1326508	4917558	7548	No intervention
2021-05-15	2453795	1338582	4967487	6942	No intervention
2021-05-16	2461698	1310074	4990320	7903	No intervention
2021-05-17	2470215	1336188	5013950	8517	No intervention
2021-05-18	2480484	1338215	5127584	10269	No intervention
2021-05-19	2489578	1326603	5179390	9094	No intervention
2021-05-20	2498404	1315185	5250459	8826	No intervention
2021-05-21	2508234	1323266	5255792	9830	No intervention
2021-05-22	2515769	1333152	5269420	7535	No intervention
2021-05-23	2524613	1348128	5360228	8844	No intervention
2021-05-24	2534094	1325515	5413853	9481	No intervention
2021-05-25	2544451	1335752	5487818	10357	No intervention
2021-05-26	2555185	1332710	5609134	10734	No intervention
2021-05-27	2564467	1336056	5760362	9282	No intervention
2021-05-28	2572312	1333930	5741279	7845	No intervention
2021-05-29	2582938	1323357	5817380	10626	No intervention
2021-05-30	2592393	1321573	5904722	9455	No intervention
2021-05-31	2601326	1321745	5952382	8933	No intervention
2021-06-01	2611977	1301889	5923288	10651	No intervention
2021-06-02	2623915	1324624	5946674	11938	No intervention
2021-06-03	2633717	1298675	6094702	9802	No intervention
2021-06-04	2645643	1312453	6099702	11926	No intervention
2021-06-05	2656916	1298831	6178462	11273	No intervention
2021-06-06	2667814	1289700	6272078	10898	No intervention
2021-06-07	2678239	1299997	6252509	10425	No intervention
2021-06-08	2689873	1299992	6484915	11634	No intervention
2021-06-09	2699465	1304871	6515476	9592	No intervention
