stat	value
thetaS_last_obs_p_mean	0.9958609
thetaI_last_obs_p_mean	0.0001424169
thetaR_last_obs_p_mean	0.003996689
thetaS_last_obs_p_ci_low	0.9956059
thetaS_last_obs_p_ci_med	0.995862
thetaS_last_obs_p_ci_up	0.9961109
thetaI_last_obs_p_ci_low	9.82905e-05
thetaI_last_obs_p_ci_med	0.0001415141
thetaI_last_obs_p_ci_up	0.0001918939
thetaR_last_obs_p_ci_low	0.003750779
thetaR_last_obs_p_ci_med	0.003995495
thetaR_last_obs_p_ci_up	0.004247461
R0_p_mean	1.347767
R0_p_ci_low	0.6397317
R0_p_ci_med	1.225923
R0_p_ci_up	2.729299
gamma_p_mean	0.04790135
gamma_p_ci_low	0.006376015
gamma_p_ci_med	0.03572626
gamma_p_ci_up	0.1567818
beta_p_mean	0.05652356
beta_p_ci_low	0.008703473
beta_p_ci_med	0.04608858
beta_p_ci_up	0.1640438
incidence_mean	0.002127687
incidence_ci_low	0.0001230543
incidence_ci_median	0.0007996565
incidence_ci_up	0.01143055
thetaI_tp1_mean	0.0005278151
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.00384922
thetaR_tp1_mean	0.005210391
thetaR_tp1_ci_low	0.001279573
thetaR_tp1_ci_med	0.004451872
thetaR_tp1_ci_up	0.01261442
Y_tp1_mean	0.0005277943
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.003867885
R_tp1_mean	0.005210123
R_tp1_ci_low	0.00126517
R_tp1_ci_med	0.004450629
R_tp1_ci_up	0.01264821
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.005210391
thetaR_max_ci_low	0.001279573
thetaR_max_ci_med	0.004451872
thetaR_max_ci_up	0.01261442
cumInf_mean	0.005738206
cumInf_ci_low	0.001293557
cumInf_ci_med	0.004548085
cumInf_ci_up	0.01584181
dthetaI_tp1_date	06/11/21
first_tp_mean	12/15/20
first_tp_ci_low	11/24/20
first_tp_ci_med	12/03/20
first_tp_ci_up	06/10/21
dthetaI_tp2_date	06/11/21
second_tp_mean	12/17/20
second_tp_ci_low	11/26/20
second_tp_ci_med	12/04/20
second_tp_ci_up	06/10/21
end_p_mean	03/31/21
end_p_ci_low	01/22/21
end_p_ci_med	03/16/21
end_p_ci_up	06/11/21
begin_str	11/24/2020
