stat	value
thetaS_last_obs_p_mean	0.9964487
thetaI_last_obs_p_mean	4.414359e-05
thetaR_last_obs_p_mean	0.003507185
thetaS_last_obs_p_ci_low	0.9962142
thetaS_last_obs_p_ci_med	0.9964493
thetaS_last_obs_p_ci_up	0.9966775
thetaI_last_obs_p_ci_low	2.132101e-05
thetaI_last_obs_p_ci_med	4.323282e-05
thetaI_last_obs_p_ci_up	7.2253e-05
thetaR_last_obs_p_ci_low	0.003279501
thetaR_last_obs_p_ci_med	0.003506526
thetaR_last_obs_p_ci_up	0.003739975
R0_p_mean	1.640106
R0_p_ci_low	0.698752
R0_p_ci_med	1.497345
R0_p_ci_up	3.395996
gamma_p_mean	0.05150817
gamma_p_ci_low	0.006822074
gamma_p_ci_med	0.03679194
gamma_p_ci_up	0.1856059
beta_p_mean	0.07388813
beta_p_ci_low	0.009596933
beta_p_ci_med	0.05882113
beta_p_ci_up	0.2254525
incidence_mean	0.001587936
incidence_ci_low	2.922176e-05
incidence_ci_median	0.0002032287
incidence_ci_up	0.006532719
thetaI_tp1_mean	0.0005061279
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.002174711
thetaR_tp1_mean	0.00444174
thetaR_tp1_ci_low	0.0008817357
thetaR_tp1_ci_med	0.003532531
thetaR_tp1_ci_up	0.009599514
Y_tp1_mean	0.00050629
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.002170692
R_tp1_mean	0.004441824
R_tp1_ci_low	0.0008758042
R_tp1_ci_med	0.003529599
R_tp1_ci_up	0.009632669
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.00444174
thetaR_max_ci_low	0.0008817357
thetaR_max_ci_med	0.003532531
thetaR_max_ci_up	0.009599514
cumInf_mean	0.004947868
cumInf_ci_low	0.0008858446
cumInf_ci_med	0.003558643
cumInf_ci_up	0.01099248
dthetaI_tp1_date	06/16/21
first_tp_mean	12/26/20
first_tp_ci_low	11/29/20
first_tp_ci_med	12/20/20
first_tp_ci_up	06/14/21
dthetaI_tp2_date	06/16/21
second_tp_mean	12/28/20
second_tp_ci_low	12/01/20
second_tp_ci_med	12/22/20
second_tp_ci_up	06/14/21
end_p_mean	02/26/21
end_p_ci_low	01/18/21
end_p_ci_med	02/06/21
end_p_ci_up	06/16/21
begin_str	11/29/2020
