stat	value
thetaS_last_obs_p_mean	0.9964439
thetaI_last_obs_p_mean	4.396794e-05
thetaR_last_obs_p_mean	0.003512144
thetaS_last_obs_p_ci_low	0.9962086
thetaS_last_obs_p_ci_med	0.9964447
thetaS_last_obs_p_ci_up	0.9966728
thetaI_last_obs_p_ci_low	2.143843e-05
thetaI_last_obs_p_ci_med	4.302833e-05
thetaI_last_obs_p_ci_up	7.170955e-05
thetaR_last_obs_p_ci_low	0.003284421
thetaR_last_obs_p_ci_med	0.003511322
thetaR_last_obs_p_ci_up	0.003745445
R0_p_mean	1.648378
R0_p_ci_low	0.6987122
R0_p_ci_med	1.502553
R0_p_ci_up	3.441851
gamma_p_mean	0.05172036
gamma_p_ci_low	0.006852474
gamma_p_ci_med	0.03681734
gamma_p_ci_up	0.186189
beta_p_mean	0.07454896
beta_p_ci_low	0.009717888
beta_p_ci_med	0.05927218
beta_p_ci_up	0.2286254
incidence_mean	0.009301282
incidence_ci_low	2.999938e-05
incidence_ci_median	0.0002262162
incidence_ci_up	0.0761064
thetaI_tp1_mean	0.002571876
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0216294
thetaR_tp1_mean	0.008379687
thetaR_tp1_ci_low	0.000973966
thetaR_tp1_ci_med	0.003715438
thetaR_tp1_ci_up	0.03575213
Y_tp1_mean	0.002572021
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0216427
R_tp1_mean	0.008379518
R_tp1_ci_low	0.0009682775
R_tp1_ci_med	0.003716862
R_tp1_ci_up	0.03574674
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.009605768
thetaR_max_ci_low	0.0009247046
thetaR_max_ci_med	0.0037225
thetaR_max_ci_up	0.04732972
cumInf_mean	0.01259074
cumInf_ci_low	0.0009287621
cumInf_ci_med	0.003762677
cumInf_ci_up	0.07838521
dthetaI_tp1_date	06/08/21
first_tp_mean	01/07/21
first_tp_ci_low	11/30/20
first_tp_ci_med	12/22/20
first_tp_ci_up	06/17/21
dthetaI_tp2_date	06/08/21
second_tp_mean	01/09/21
second_tp_ci_low	12/02/20
second_tp_ci_med	12/24/20
second_tp_ci_up	06/17/21
end_p_mean	03/08/21
end_p_ci_low	01/19/21
end_p_ci_med	02/11/21
end_p_ci_up	06/17/21
begin_str	11/30/2020
