stat	value
thetaS_last_obs_p_mean	0.9965225
thetaI_last_obs_p_mean	0.000103329
thetaR_last_obs_p_mean	0.00337417
thetaS_last_obs_p_ci_low	0.9962904
thetaS_last_obs_p_ci_med	0.9965236
thetaS_last_obs_p_ci_up	0.9967497
thetaI_last_obs_p_ci_low	6.682954e-05
thetaI_last_obs_p_ci_med	0.0001024541
thetaI_last_obs_p_ci_up	0.0001452831
thetaR_last_obs_p_ci_low	0.003150397
thetaR_last_obs_p_ci_med	0.003373383
thetaR_last_obs_p_ci_up	0.003603485
R0_p_mean	1.376907
R0_p_ci_low	0.633031
R0_p_ci_med	1.250383
R0_p_ci_up	2.813942
gamma_p_mean	0.04841318
gamma_p_ci_low	0.006385149
gamma_p_ci_med	0.03522023
gamma_p_ci_up	0.1650416
beta_p_mean	0.05801236
beta_p_ci_low	0.008493228
beta_p_ci_med	0.04668836
beta_p_ci_up	0.1742352
incidence_mean	0.01739192
incidence_ci_low	9.03947e-05
incidence_ci_median	0.0007843171
incidence_ci_up	0.1926784
thetaI_tp1_mean	0.005391044
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.05943785
thetaR_tp1_mean	0.01491487
thetaR_tp1_ci_low	0.0009705847
thetaR_tp1_ci_med	0.004256065
thetaR_tp1_ci_up	0.1219789
Y_tp1_mean	0.00539123
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.05947783
R_tp1_mean	0.01491452
R_tp1_ci_low	0.0009623108
R_tp1_ci_med	0.004253581
R_tp1_ci_up	0.1219966
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01491487
thetaR_max_ci_low	0.0009705847
thetaR_max_ci_med	0.004256065
thetaR_max_ci_up	0.1219789
cumInf_mean	0.02030591
cumInf_ci_low	0.0009837793
cumInf_ci_med	0.00441541
cumInf_ci_up	0.1925989
dthetaI_tp1_date	06/18/21
first_tp_mean	01/24/21
first_tp_ci_low	12/01/20
first_tp_ci_med	12/22/20
first_tp_ci_up	06/18/21
dthetaI_tp2_date	06/18/21
second_tp_mean	01/26/21
second_tp_ci_low	12/03/20
second_tp_ci_med	12/23/20
second_tp_ci_up	06/18/21
end_p_mean	04/14/21
end_p_ci_low	01/26/21
end_p_ci_med	04/05/21
end_p_ci_up	06/18/21
begin_str	12/01/2020
