date	value	incidence	scenario	lower_ci	upper_ci
2020-12-02	272400	NA	Observed	NA	NA
2020-12-03	274486	2086	Observed	NA	NA
2020-12-04	276420	1934	Observed	NA	NA
2020-12-05	278496	2076	Observed	NA	NA
2020-12-06	280585	2089	Observed	NA	NA
2020-12-07	282512	1927	Observed	NA	NA
2020-12-08	284116	1604	Observed	NA	NA
2020-12-09	285627	1511	Observed	NA	NA
2020-12-10	287219	1592	Observed	NA	NA
2020-12-11	288692	1473	Observed	NA	NA
2020-12-12	289999	1307	Observed	NA	NA
2020-12-13	291289	1290	Observed	NA	NA
2020-12-14	292539	1250	Observed	NA	NA
2020-12-15	293584	1045	Observed	NA	NA
2020-12-16	294831	1247	Observed	NA	NA
2020-12-17	295953	1122	Observed	NA	NA
2020-12-18	297029	1076	Observed	NA	NA
2020-12-19	298018	989	Observed	NA	NA
2020-12-20	298996	978	Observed	NA	NA
2020-12-21	299909	913	Observed	NA	NA
2020-12-22	300716	807	Observed	NA	NA
2020-12-23	301708	992	Observed	NA	NA
2020-12-24	302709	1001	Observed	NA	NA
2020-12-25	303732	1023	Observed	NA	NA
2020-12-26	304517	785	Observed	NA	NA
2020-12-27	305360	843	Observed	NA	NA
2020-12-28	306158	798	Observed	NA	NA
2020-12-29	306784	626	Observed	NA	NA
2020-12-30	307554	770	Observed	NA	NA
2020-12-31	308243	689	Observed	NA	NA
2021-01-01	308852	609	Observed	NA	NA
2021-01-02	309319	467	Observed	NA	NA
2021-01-03	309821	502	Observed	NA	NA
2021-01-04	310278	457	Observed	NA	NA
2021-01-05	310675	397	Observed	NA	NA
2021-01-06	311111	436	Observed	NA	NA
2021-01-07	311620	509	Observed	NA	NA
2021-01-08	312091	471	Observed	NA	NA
2021-01-09	312521	430	Observed	NA	NA
2021-01-10	312996	475	Observed	NA	NA
2021-01-11	313425	429	Observed	NA	NA
2021-01-12	313718	293	Observed	NA	NA
2021-01-13	314091	373	Observed	NA	NA
2021-01-14	314372	281	Observed	NA	NA
2021-01-15	314682	310	Observed	NA	NA
2021-01-16	314997	NA	Soc. Dist. + Travel Ban	274858	358503
2021-01-17	315220	223	Soc. Dist. + Travel Ban	269163	365697
2021-01-18	315449	229	Soc. Dist. + Travel Ban	264370	372094
2021-01-19	315731	282	Soc. Dist. + Travel Ban	260186	378375
2021-01-20	315952	221	Soc. Dist. + Travel Ban	256309	383658
2021-01-21	316201	249	Soc. Dist. + Travel Ban	252874	388881
2021-01-22	316435	234	Soc. Dist. + Travel Ban	249537	393747
2021-01-23	316674	239	Soc. Dist. + Travel Ban	246604	398376
2021-01-24	316872	198	Soc. Dist. + Travel Ban	243558	402443
2021-01-25	317069	197	Soc. Dist. + Travel Ban	241163	407142
2021-01-26	317249	180	Soc. Dist. + Travel Ban	238489	410828
2021-01-27	317466	217	Soc. Dist. + Travel Ban	235865	415174
2021-01-28	317676	210	Soc. Dist. + Travel Ban	233529	418942
2021-01-29	317889	213	Soc. Dist. + Travel Ban	231308	422974
2021-01-30	318092	203	Soc. Dist. + Travel Ban	229354	426520
2021-01-31	318284	192	Soc. Dist. + Travel Ban	227148	429812
2021-02-01	318433	149	Soc. Dist. + Travel Ban	225105	433032
2021-02-02	318640	207	Soc. Dist. + Travel Ban	222749	436810
2021-02-03	318867	227	Soc. Dist. + Travel Ban	221317	440239
2021-02-04	319073	206	Soc. Dist. + Travel Ban	218974	443672
2021-02-05	319286	213	Soc. Dist. + Travel Ban	217628	446270
2021-02-06	319404	118	Soc. Dist. + Travel Ban	215834	449705
2021-02-07	319557	153	Soc. Dist. + Travel Ban	213885	452812
2021-02-08	319761	204	Soc. Dist. + Travel Ban	212537	456004
2021-02-09	319935	174	Soc. Dist. + Travel Ban	211002	458739
2021-02-10	320118	183	Soc. Dist. + Travel Ban	209580	461994
2021-02-11	320293	175	Soc. Dist. + Travel Ban	207904	465114
2021-02-12	320457	164	Soc. Dist. + Travel Ban	206128	467606
2021-02-13	320657	200	Soc. Dist. + Travel Ban	204825	470494
2021-02-14	320836	179	Soc. Dist. + Travel Ban	203127	473510
2021-02-15	320964	128	Soc. Dist. + Travel Ban	201618	475355
2021-02-16	321117	153	Soc. Dist. + Travel Ban	200380	478975
2021-02-17	321234	117	Soc. Dist. + Travel Ban	199086	481206
2021-02-18	321396	162	Soc. Dist. + Travel Ban	197974	483909
2021-02-19	321597	201	Soc. Dist. + Travel Ban	196338	486430
2021-02-20	321731	134	Soc. Dist. + Travel Ban	194715	489161
2021-02-21	321897	166	Soc. Dist. + Travel Ban	193477	491854
2021-02-22	322057	160	Soc. Dist. + Travel Ban	192235	494090
2021-02-23	322216	159	Soc. Dist. + Travel Ban	190944	496767
2021-02-24	322377	161	Soc. Dist. + Travel Ban	189638	498843
2021-02-25	322537	160	Soc. Dist. + Travel Ban	188066	501337
2021-02-26	322680	143	Soc. Dist. + Travel Ban	186803	503681
