date	value	lower_ci	upper_ci	incidence	scenario
2021-01-18	932552	865996	996785	NA	Soc. Dist. + Travel Ban
2021-01-19	933034	855049	1008789	482	Soc. Dist. + Travel Ban
2021-01-20	933123	848189	1023021	89	Soc. Dist. + Travel Ban
2021-01-21	934334	844828	1030877	1211	Soc. Dist. + Travel Ban
2021-01-22	934850	838422	1039977	516	Soc. Dist. + Travel Ban
2021-01-23	935348	832473	1042373	498	Soc. Dist. + Travel Ban
2021-01-24	935929	828768	1055425	581	Soc. Dist. + Travel Ban
2021-01-25	936546	822552	1059951	617	Soc. Dist. + Travel Ban
2021-01-26	937075	811602	1066756	529	Soc. Dist. + Travel Ban
2021-01-27	937158	809191	1073401	83	Soc. Dist. + Travel Ban
2021-01-28	937911	806948	1071787	753	Soc. Dist. + Travel Ban
2021-01-29	938002	800354	1082928	91	Soc. Dist. + Travel Ban
2021-01-30	938551	795196	1092106	549	Soc. Dist. + Travel Ban
2021-01-31	939488	792798	1095296	937	Soc. Dist. + Travel Ban
2021-02-01	939083	788726	1104834	-405	Soc. Dist. + Travel Ban
2021-02-02	939176	785961	1113275	93	Soc. Dist. + Travel Ban
2021-02-03	939426	783993	1110475	250	Soc. Dist. + Travel Ban
2021-02-04	940265	779471	1119222	839	Soc. Dist. + Travel Ban
2021-02-05	941086	777443	1123350	821	Soc. Dist. + Travel Ban
2021-02-06	941645	774365	1137890	559	Soc. Dist. + Travel Ban
2021-02-07	941600	775860	1141413	-45	Soc. Dist. + Travel Ban
2021-02-08	941660	768715	1149752	60	Soc. Dist. + Travel Ban
2021-02-09	942218	759632	1146171	558	Soc. Dist. + Travel Ban
2021-02-10	942235	758091	1157755	17	Soc. Dist. + Travel Ban
2021-02-11	943226	757949	1150607	991	Soc. Dist. + Travel Ban
2021-02-12	943484	756176	1163365	258	Soc. Dist. + Travel Ban
2021-02-13	944143	748123	1166426	659	Soc. Dist. + Travel Ban
2021-02-14	943848	743133	1164930	-295	Soc. Dist. + Travel Ban
2021-02-15	943677	739914	1175543	-171	Soc. Dist. + Travel Ban
2021-02-16	943909	737394	1175730	232	Soc. Dist. + Travel Ban
2021-02-17	943741	739686	1182773	-168	Soc. Dist. + Travel Ban
2021-02-18	943593	734755	1186707	-148	Soc. Dist. + Travel Ban
2021-02-19	943853	733217	1187250	260	Soc. Dist. + Travel Ban
2021-02-20	944143	727274	1191659	290	Soc. Dist. + Travel Ban
2021-02-21	944221	727120	1201878	78	Soc. Dist. + Travel Ban
