date	value	lower_ci	upper_ci	incidence	scenario
2021-01-18	850903	797007	906245	NA	Normal (pre-intervention)
2021-01-19	854655	791235	919058	3752	Normal (pre-intervention)
2021-01-20	858703	787068	930755	4048	Normal (pre-intervention)
2021-01-21	863160	782476	946406	4457	Normal (pre-intervention)
2021-01-22	867813	783058	956843	4653	Normal (pre-intervention)
2021-01-23	872098	780242	962799	4285	Normal (pre-intervention)
2021-01-24	875972	778131	977106	3874	Normal (pre-intervention)
2021-01-25	880666	777493	989153	4694	Normal (pre-intervention)
2021-01-26	885140	778853	998586	4474	Normal (pre-intervention)
2021-01-27	888948	775583	1010652	3808	Normal (pre-intervention)
2021-01-28	892823	771304	1023439	3875	Normal (pre-intervention)
2021-01-29	897067	771507	1033468	4244	Normal (pre-intervention)
2021-01-30	901518	770006	1046649	4451	Normal (pre-intervention)
2021-01-31	906051	770046	1057753	4533	Normal (pre-intervention)
2021-02-01	910180	771992	1067038	4129	Normal (pre-intervention)
2021-02-02	914916	769625	1077649	4736	Normal (pre-intervention)
2021-02-03	919695	771244	1091388	4779	Normal (pre-intervention)
2021-02-04	923679	768543	1098980	3984	Normal (pre-intervention)
2021-02-05	928299	764258	1109042	4620	Normal (pre-intervention)
2021-02-06	932669	768183	1123021	4370	Normal (pre-intervention)
2021-02-07	937618	763635	1132524	4949	Normal (pre-intervention)
2021-02-08	942305	764680	1140311	4687	Normal (pre-intervention)
2021-02-09	946913	764241	1152477	4608	Normal (pre-intervention)
2021-02-10	951925	762282	1169042	5012	Normal (pre-intervention)
2021-02-11	956072	759524	1179448	4147	Normal (pre-intervention)
2021-02-12	960975	761829	1185393	4903	Normal (pre-intervention)
2021-02-13	965428	758089	1202517	4453	Normal (pre-intervention)
2021-02-14	970084	755366	1217737	4656	Normal (pre-intervention)
2021-02-15	974549	757780	1226694	4465	Normal (pre-intervention)
2021-02-16	979599	754630	1245536	5050	Normal (pre-intervention)
2021-02-17	983895	757559	1251909	4296	Normal (pre-intervention)
2021-02-18	988436	756056	1268142	4541	Normal (pre-intervention)
2021-02-19	992900	757772	1288135	4464	Normal (pre-intervention)
2021-02-20	997979	753907	1287402	5079	Normal (pre-intervention)
2021-02-21	1003185	755649	1306322	5206	Normal (pre-intervention)
2021-02-22	1008661	749832	1324335	5476	Normal (pre-intervention)
2021-02-23	1013719	753381	1338182	5058	Normal (pre-intervention)
2021-02-24	1018215	756263	1354166	4496	Normal (pre-intervention)
2021-02-25	1023232	753139	1368147	5017	Normal (pre-intervention)
2021-02-26	1027975	752497	1381777	4743	Normal (pre-intervention)
2021-02-27	1032901	755460	1396190	4926	Normal (pre-intervention)
2021-02-28	1038079	753960	1410707	5178	Normal (pre-intervention)
2021-03-01	1043906	749300	1424769	5827	Normal (pre-intervention)
2021-03-02	1048891	752955	1435900	4985	Normal (pre-intervention)
2021-03-03	1054582	750840	1453335	5691	Normal (pre-intervention)
2021-03-04	1060451	750171	1478184	5869	Normal (pre-intervention)
2021-03-05	1066039	749054	1476500	5588	Normal (pre-intervention)
2021-03-06	1071279	753134	1500886	5240	Normal (pre-intervention)
2021-03-07	1076017	751472	1511030	4738	Normal (pre-intervention)
2021-03-08	1081197	751343	1551209	5180	Normal (pre-intervention)
2021-03-09	1085923	756747	1546278	4726	Normal (pre-intervention)
2021-03-10	1091669	752372	1565426	5746	Normal (pre-intervention)
2021-03-11	1097341	754411	1581863	5672	Normal (pre-intervention)
2021-03-12	1102519	758211	1608888	5178	Normal (pre-intervention)
2021-03-13	1107558	755903	1611021	5039	Normal (pre-intervention)
2021-03-14	1113083	754621	1634841	5525	Normal (pre-intervention)
2021-03-15	1118656	751434	1647103	5573	Normal (pre-intervention)
2021-03-16	1124214	755860	1658783	5558	Normal (pre-intervention)
2021-03-17	1130215	755500	1674963	6001	Normal (pre-intervention)
2021-03-18	1135725	762499	1699399	5510	Normal (pre-intervention)
2021-03-19	1141715	762651	1715070	5990	Normal (pre-intervention)
2021-03-20	1147578	763324	1724286	5863	Normal (pre-intervention)
2021-03-21	1154083	762065	1743802	6505	Normal (pre-intervention)
2021-03-22	1159696	761172	1777809	5613	Normal (pre-intervention)
2021-03-23	1165913	760295	1789641	6217	Normal (pre-intervention)
2021-03-24	1172405	769689	1818312	6492	Normal (pre-intervention)
2021-03-25	1178675	771688	1839254	6270	Normal (pre-intervention)
2021-03-26	1185112	769394	1865484	6437	Normal (pre-intervention)
2021-03-27	1191312	765646	1885107	6200	Normal (pre-intervention)
2021-03-28	1198161	764272	1920875	6849	Normal (pre-intervention)
2021-03-29	1205015	769795	1940498	6854	Normal (pre-intervention)
2021-03-30	1212133	766870	1964008	7118	Normal (pre-intervention)
2021-03-31	1218891	763592	1989386	6758	Normal (pre-intervention)
2021-04-01	1225336	768676	2012786	6445	Normal (pre-intervention)
2021-04-02	1232173	775587	2041266	6837	Normal (pre-intervention)
2021-04-03	1238375	773238	2088572	6202	Normal (pre-intervention)
2021-04-04	1245321	776320	2082654	6946	Normal (pre-intervention)
2021-04-05	1252204	783265	2117847	6883	Normal (pre-intervention)
2021-04-06	1258671	779186	2145413	6467	Normal (pre-intervention)
2021-04-07	1266016	779406	2159796	7345	Normal (pre-intervention)
2021-04-08	1273294	778757	2211418	7278	Normal (pre-intervention)
2021-04-09	1280135	787191	2207369	6841	Normal (pre-intervention)
2021-04-10	1286777	786611	2237715	6642	Normal (pre-intervention)
2021-04-11	1293781	778289	2255290	7004	Normal (pre-intervention)
2021-04-12	1301151	779765	2298233	7370	Normal (pre-intervention)
2021-04-13	1308961	786149	2323329	7810	Normal (pre-intervention)
2021-04-14	1316502	781766	2355167	7541	Normal (pre-intervention)
2021-04-15	1323212	776309	2381750	6710	Normal (pre-intervention)
