stat	value
thetaS_last_obs_p_mean	0.9930452
thetaI_last_obs_p_mean	9.169159e-05
thetaR_last_obs_p_mean	0.006863107
thetaS_last_obs_p_ci_low	0.9927185
thetaS_last_obs_p_ci_med	0.9930465
thetaS_last_obs_p_ci_up	0.9933658
thetaI_last_obs_p_ci_low	5.757137e-05
thetaI_last_obs_p_ci_med	9.079303e-05
thetaI_last_obs_p_ci_up	0.0001309937
thetaR_last_obs_p_ci_low	0.006544364
thetaR_last_obs_p_ci_med	0.006861796
thetaR_last_obs_p_ci_up	0.007187678
R0_p_mean	1.55731
R0_p_ci_low	0.6882934
R0_p_ci_med	1.419936
R0_p_ci_up	3.195352
gamma_p_mean	0.04535877
gamma_p_ci_low	0.006310436
gamma_p_ci_med	0.03273597
gamma_p_ci_up	0.1597227
beta_p_mean	0.06170747
beta_p_ci_low	0.00891437
beta_p_ci_med	0.04964115
beta_p_ci_up	0.1846101
incidence_mean	0.004749116
incidence_ci_low	6.239614e-05
incidence_ci_median	0.0004618999
incidence_ci_up	0.032321
thetaI_tp1_mean	0.00166559
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01231384
thetaR_tp1_mean	0.009704071
thetaR_tp1_ci_low	0.003077225
thetaR_tp1_ci_med	0.007352992
thetaR_tp1_ci_up	0.02633536
Y_tp1_mean	0.001665247
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01235726
R_tp1_mean	0.009704791
R_tp1_ci_low	0.003062616
R_tp1_ci_med	0.007356195
R_tp1_ci_up	0.02633614
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.009704071
thetaR_max_ci_low	0.003077225
thetaR_max_ci_med	0.007352992
thetaR_max_ci_up	0.02633536
cumInf_mean	0.01136966
cumInf_ci_low	0.00310146
cumInf_ci_med	0.007467473
cumInf_ci_up	0.03880251
dthetaI_tp1_date	06/22/21
first_tp_mean	01/10/21
first_tp_ci_low	12/05/20
first_tp_ci_med	12/24/20
first_tp_ci_up	06/22/21
dthetaI_tp2_date	06/22/21
second_tp_mean	01/12/21
second_tp_ci_low	12/07/20
second_tp_ci_med	12/25/20
second_tp_ci_up	06/22/21
end_p_mean	04/04/21
end_p_ci_low	01/29/21
end_p_ci_med	03/14/21
end_p_ci_up	06/22/21
begin_str	12/05/2020
