stat	value
thetaS_last_obs_p_mean	0.9920572
thetaI_last_obs_p_mean	4.447807e-05
thetaR_last_obs_p_mean	0.007898274
thetaS_last_obs_p_ci_low	0.9917095
thetaS_last_obs_p_ci_med	0.9920578
thetaS_last_obs_p_ci_up	0.9924003
thetaI_last_obs_p_ci_low	2.197234e-05
thetaI_last_obs_p_ci_med	4.36515e-05
thetaI_last_obs_p_ci_up	7.171912e-05
thetaR_last_obs_p_ci_low	0.007555327
thetaR_last_obs_p_ci_med	0.007897582
thetaR_last_obs_p_ci_up	0.008244897
R0_p_mean	1.580234
R0_p_ci_low	0.6713598
R0_p_ci_med	1.439445
R0_p_ci_up	3.287885
gamma_p_mean	0.05017171
gamma_p_ci_low	0.006595076
gamma_p_ci_med	0.03526825
gamma_p_ci_up	0.1848149
beta_p_mean	0.06883746
beta_p_ci_low	0.009263193
beta_p_ci_med	0.05413034
beta_p_ci_up	0.2150026
incidence_mean	0.005075597
incidence_ci_low	3.297682e-05
incidence_ci_median	0.0002303776
incidence_ci_up	0.02909776
thetaI_tp1_mean	0.001702375
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01102848
thetaR_tp1_mean	0.01107106
thetaR_tp1_ci_low	0.003666268
thetaR_tp1_ci_med	0.008110149
thetaR_tp1_ci_up	0.02556846
Y_tp1_mean	0.00170237
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01102982
R_tp1_mean	0.01107077
R_tp1_ci_low	0.003650865
R_tp1_ci_med	0.008113036
R_tp1_ci_up	0.02561365
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01107106
thetaR_max_ci_low	0.003666268
thetaR_max_ci_med	0.008110149
thetaR_max_ci_up	0.02556846
cumInf_mean	0.01277343
cumInf_ci_low	0.003677306
cumInf_ci_med	0.008165656
cumInf_ci_up	0.03676112
dthetaI_tp1_date	06/22/21
first_tp_mean	01/08/21
first_tp_ci_low	12/05/20
first_tp_ci_med	12/25/20
first_tp_ci_up	06/22/21
dthetaI_tp2_date	06/22/21
second_tp_mean	01/10/21
second_tp_ci_low	12/07/20
second_tp_ci_med	12/26/20
second_tp_ci_up	06/22/21
end_p_mean	03/11/21
end_p_ci_low	01/24/21
end_p_ci_med	02/15/21
end_p_ci_up	06/22/21
begin_str	12/05/2020
