stat	value
thetaS_last_obs_p_mean	0.9957297
thetaI_last_obs_p_mean	9.462307e-05
thetaR_last_obs_p_mean	0.004175641
thetaS_last_obs_p_ci_low	0.9954715
thetaS_last_obs_p_ci_med	0.9957308
thetaS_last_obs_p_ci_up	0.9959826
thetaI_last_obs_p_ci_low	5.947468e-05
thetaI_last_obs_p_ci_med	9.372055e-05
thetaI_last_obs_p_ci_up	0.0001348546
thetaR_last_obs_p_ci_low	0.003925362
thetaR_last_obs_p_ci_med	0.004174636
thetaR_last_obs_p_ci_up	0.004430683
R0_p_mean	1.323985
R0_p_ci_low	0.6102868
R0_p_ci_med	1.199648
R0_p_ci_up	2.723443
gamma_p_mean	0.04826379
gamma_p_ci_low	0.006166755
gamma_p_ci_med	0.03485116
gamma_p_ci_up	0.1663621
beta_p_mean	0.05536488
beta_p_ci_low	0.008178102
beta_p_ci_med	0.04408867
beta_p_ci_up	0.1690067
incidence_mean	0.001469581
incidence_ci_low	8.431836e-05
incidence_ci_median	0.0005322602
incidence_ci_up	0.007500635
thetaI_tp1_mean	0.0003576427
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.00258132
thetaR_tp1_mean	0.004975063
thetaR_tp1_ci_low	0.00130096
thetaR_tp1_ci_med	0.004404838
thetaR_tp1_ci_up	0.01089361
Y_tp1_mean	0.0003573201
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.002572966
R_tp1_mean	0.004974783
R_tp1_ci_low	0.001290171
R_tp1_ci_med	0.004401724
R_tp1_ci_up	0.01090567
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.004975063
thetaR_max_ci_low	0.00130096
thetaR_max_ci_med	0.004404838
thetaR_max_ci_up	0.01089361
cumInf_mean	0.005332706
cumInf_ci_low	0.001310032
cumInf_ci_med	0.004463537
cumInf_ci_up	0.01263787
dthetaI_tp1_date	06/25/21
first_tp_mean	12/31/20
first_tp_ci_low	12/08/20
first_tp_ci_med	12/24/20
first_tp_ci_up	06/23/21
dthetaI_tp2_date	06/25/21
second_tp_mean	01/02/21
second_tp_ci_low	12/10/20
second_tp_ci_med	12/25/20
second_tp_ci_up	06/23/21
end_p_mean	03/29/21
end_p_ci_low	01/31/21
end_p_ci_med	03/09/21
end_p_ci_up	06/25/21
begin_str	12/08/2020
