stat	value
thetaS_last_obs_p_mean	0.9846985
thetaI_last_obs_p_mean	0.0001213511
thetaR_last_obs_p_mean	0.01518014
thetaS_last_obs_p_ci_low	0.9842159
thetaS_last_obs_p_ci_med	0.984698
thetaS_last_obs_p_ci_up	0.9851807
thetaI_last_obs_p_ci_low	8.071719e-05
thetaI_last_obs_p_ci_med	0.0001203928
thetaI_last_obs_p_ci_up	0.0001669911
thetaR_last_obs_p_ci_low	0.01470054
thetaR_last_obs_p_ci_med	0.01518068
thetaR_last_obs_p_ci_up	0.01566089
R0_p_mean	1.244354
R0_p_ci_low	0.5761102
R0_p_ci_med	1.119472
R0_p_ci_up	2.595421
gamma_p_mean	0.05001168
gamma_p_ci_low	0.005852807
gamma_p_ci_med	0.03424775
gamma_p_ci_up	0.1855732
beta_p_mean	0.05339268
beta_p_ci_low	0.007542299
beta_p_ci_med	0.0404224
beta_p_ci_up	0.1785267
incidence_mean	0.006528731
incidence_ci_low	0.0001044384
incidence_ci_median	0.0007946469
incidence_ci_up	0.04791845
thetaI_tp1_mean	0.001994503
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01701343
thetaR_tp1_mean	0.01931069
thetaR_tp1_ci_low	0.009273191
thetaR_tp1_ci_med	0.01613151
thetaR_tp1_ci_up	0.04524931
Y_tp1_mean	0.001994138
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0170074
R_tp1_mean	0.01931
R_tp1_ci_low	0.009249085
R_tp1_ci_med	0.01612888
R_tp1_ci_up	0.0453214
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01931069
thetaR_max_ci_low	0.009273191
thetaR_max_ci_med	0.01613151
thetaR_max_ci_up	0.04524931
cumInf_mean	0.02130519
cumInf_ci_low	0.009321974
cumInf_ci_med	0.0163478
cumInf_ci_up	0.06267471
dthetaI_tp1_date	06/26/21
first_tp_mean	01/26/21
first_tp_ci_low	12/10/20
first_tp_ci_med	01/08/21
first_tp_ci_up	06/26/21
dthetaI_tp2_date	06/26/21
second_tp_mean	01/28/21
second_tp_ci_low	12/11/20
second_tp_ci_med	01/10/21
second_tp_ci_up	06/26/21
end_p_mean	04/19/21
end_p_ci_low	02/04/21
end_p_ci_med	04/05/21
end_p_ci_up	06/26/21
begin_str	12/09/2020
