date	value	lower_ci	upper_ci	incidence	scenario
2021-01-24	292666	265600	321351	NA	Cautious return
2021-01-25	292749	261884	326061	83	Cautious return
2021-01-26	292874	258501	330309	125	Cautious return
2021-01-27	292981	255544	333901	107	Cautious return
2021-01-28	293062	252662	337429	81	Cautious return
2021-01-29	293148	250272	340489	86	Cautious return
2021-01-30	293260	247839	343600	112	Cautious return
2021-01-31	293364	245588	346855	104	Cautious return
2021-02-01	293477	243657	349688	113	Cautious return
2021-02-02	293577	241962	352190	100	Cautious return
2021-02-03	293670	239919	354982	93	Cautious return
2021-02-04	293773	238195	357471	103	Cautious return
2021-02-05	293894	236649	359940	121	Cautious return
2021-02-06	293965	234966	362169	71	Cautious return
2021-02-07	294025	233393	364487	60	Cautious return
2021-02-08	294131	231921	366679	106	Cautious return
2021-02-09	294217	230554	368900	86	Cautious return
2021-02-10	294281	229091	370902	64	Cautious return
2021-02-11	294343	227684	373306	62	Cautious return
2021-02-12	294424	226543	375080	81	Cautious return
2021-02-13	294480	224914	377401	56	Cautious return
2021-02-14	294586	223836	379024	106	Cautious return
2021-02-15	294621	222464	380942	35	Cautious return
2021-02-16	294713	221276	382920	92	Cautious return
2021-02-17	294789	220132	384501	76	Cautious return
2021-02-18	294828	219042	386270	39	Cautious return
2021-02-19	294915	217873	388200	87	Cautious return
2021-02-20	294986	216433	389997	71	Cautious return
2021-02-21	295070	215573	391923	84	Cautious return
2021-02-22	295130	214147	393109	60	Cautious return
2021-02-23	295202	212916	394973	72	Cautious return
2021-02-24	295281	212000	396186	79	Cautious return
2021-02-25	295359	211008	398316	78	Cautious return
2021-02-26	295436	210063	400391	77	Cautious return
2021-02-27	295510	208775	401931	74	Cautious return
2021-02-28	295594	207881	403637	84	Cautious return
2021-03-01	295705	206952	405281	111	Cautious return
2021-03-02	295768	205790	406541	63	Cautious return
2021-03-03	295837	204739	407944	69	Cautious return
2021-03-04	295905	204072	409374	68	Cautious return
2021-03-05	295989	203066	411058	84	Cautious return
2021-03-06	296048	202383	412395	59	Cautious return
2021-03-07	296114	201328	414024	66	Cautious return
2021-03-08	296140	200467	415906	26	Cautious return
2021-03-09	296208	199587	417067	68	Cautious return
2021-03-10	296263	199008	418271	55	Cautious return
2021-03-11	296324	197934	419669	61	Cautious return
2021-03-12	296370	197110	420960	46	Cautious return
2021-03-13	296423	196142	422702	53	Cautious return
