date	value	lower_ci	upper_ci	incidence	scenario
2021-01-25	171986	153451	191896	NA	Cautious return
2021-01-26	172066	150841	195204	80	Cautious return
2021-01-27	172153	148554	198153	87	Cautious return
2021-01-28	172228	146445	200721	75	Cautious return
2021-01-29	172288	144597	203093	60	Cautious return
2021-01-30	172370	142850	205235	82	Cautious return
2021-01-31	172430	141404	207572	60	Cautious return
2021-02-01	172494	139878	209537	64	Cautious return
2021-02-02	172536	138377	211452	42	Cautious return
2021-02-03	172573	137211	213494	37	Cautious return
2021-02-04	172653	135928	215241	80	Cautious return
2021-02-05	172717	134866	216983	64	Cautious return
2021-02-06	172797	133645	218858	80	Cautious return
2021-02-07	172875	132516	220386	78	Cautious return
2021-02-08	172931	131559	222120	56	Cautious return
2021-02-09	172976	130564	223519	45	Cautious return
2021-02-10	173039	129437	225284	63	Cautious return
2021-02-11	173080	128646	226807	41	Cautious return
2021-02-12	173149	127731	227885	69	Cautious return
2021-02-13	173194	126711	229326	45	Cautious return
2021-02-14	173256	125957	230801	62	Cautious return
2021-02-15	173294	124953	232093	38	Cautious return
2021-02-16	173339	124145	233556	45	Cautious return
2021-02-17	173406	123250	234854	67	Cautious return
2021-02-18	173466	122537	235988	60	Cautious return
2021-02-19	173524	121726	237438	58	Cautious return
2021-02-20	173566	120787	238461	42	Cautious return
2021-02-21	173595	120232	239871	29	Cautious return
2021-02-22	173649	119244	240829	54	Cautious return
2021-02-23	173693	118587	242145	44	Cautious return
2021-02-24	173737	117862	243303	44	Cautious return
2021-02-25	173766	117187	244298	29	Cautious return
2021-02-26	173816	116592	245539	50	Cautious return
2021-02-27	173847	115882	246528	31	Cautious return
2021-02-28	173886	115191	247806	39	Cautious return
2021-03-01	173924	114426	249056	38	Cautious return
2021-03-02	173985	113683	249907	61	Cautious return
2021-03-03	174005	113133	250839	20	Cautious return
2021-03-04	174046	112558	252151	41	Cautious return
2021-03-05	174086	111823	253286	40	Cautious return
2021-03-06	174124	111207	254275	38	Cautious return
2021-03-07	174166	110635	255320	42	Cautious return
2021-03-08	174199	110042	256277	33	Cautious return
2021-03-09	174239	109564	257131	40	Cautious return
2021-03-10	174279	108956	258161	40	Cautious return
2021-03-11	174340	108369	259327	61	Cautious return
2021-03-12	174388	107832	260123	48	Cautious return
2021-03-13	174434	107182	261361	46	Cautious return
2021-03-14	174482	106742	262084	48	Cautious return
2021-03-15	174527	106096	262987	45	Cautious return
2021-03-16	174554	105556	264173	27	Cautious return
2021-03-17	174595	105094	265300	41	Cautious return
2021-03-18	174639	104366	266242	44	Cautious return
2021-03-19	174687	103861	266684	48	Cautious return
2021-03-20	174729	103385	268118	42	Cautious return
2021-03-21	174764	102886	268726	35	Cautious return
2021-03-22	174807	102569	270042	43	Cautious return
2021-03-23	174830	101814	270661	23	Cautious return
2021-03-24	174879	101377	271733	49	Cautious return
2021-03-25	174935	100980	272762	56	Cautious return
2021-03-26	174958	100401	273449	23	Cautious return
2021-03-27	175004	99791	274448	46	Cautious return
2021-03-28	175037	99380	275416	33	Cautious return
2021-03-29	175066	98932	275997	29	Cautious return
2021-03-30	175095	98505	277016	29	Cautious return
2021-03-31	175125	97826	277788	30	Cautious return
2021-04-01	175133	97567	278706	8	Cautious return
2021-04-02	175159	97124	279529	26	Cautious return
2021-04-03	175193	96586	280104	34	Cautious return
2021-04-04	175241	96257	281248	48	Cautious return
2021-04-05	175287	95645	281927	46	Cautious return
2021-04-06	175312	95161	282776	25	Cautious return
2021-04-07	175354	94792	283725	42	Cautious return
2021-04-08	175413	94378	284541	59	Cautious return
2021-04-09	175438	93967	285044	25	Cautious return
2021-04-10	175453	93689	286162	15	Cautious return
2021-04-11	175491	93103	286667	38	Cautious return
2021-04-12	175515	92570	287677	24	Cautious return
2021-04-13	175568	92252	288743	53	Cautious return
2021-04-14	175579	91843	288944	11	Cautious return
2021-04-15	175607	91549	289738	28	Cautious return
2021-04-16	175641	91142	291031	34	Cautious return
2021-04-17	175685	90873	291821	44	Cautious return
2021-04-18	175725	90438	292541	40	Cautious return
2021-04-19	175778	89989	293241	53	Cautious return
2021-04-20	175800	89383	294132	22	Cautious return
2021-04-21	175851	89112	294903	51	Cautious return
2021-04-22	175878	88721	295780	27	Cautious return
2021-04-23	175914	88246	296790	36	Cautious return
2021-04-24	175934	87813	297345	20	Cautious return
2021-04-25	175965	87362	297952	31	Cautious return
2021-04-26	175989	86978	299038	24	Cautious return
2021-04-27	176039	86747	299643	50	Cautious return
2021-04-28	176075	86178	300420	36	Cautious return
2021-04-29	176114	85679	301218	39	Cautious return
2021-04-30	176138	85418	301927	24	Cautious return
2021-05-01	176165	85048	302739	27	Cautious return
2021-05-02	176221	84556	303381	56	Cautious return
2021-05-03	176261	84186	304407	40	Cautious return
2021-05-04	176303	83893	305415	42	Cautious return
2021-05-05	176347	83513	306307	44	Cautious return
