stat	value
thetaS_last_obs_p_mean	0.9974975
thetaI_last_obs_p_mean	2.564393e-05
thetaR_last_obs_p_mean	0.002476865
thetaS_last_obs_p_ci_low	0.9973011
thetaS_last_obs_p_ci_med	0.9974983
thetaS_last_obs_p_ci_up	0.997689
thetaI_last_obs_p_ci_low	9.537996e-06
thetaI_last_obs_p_ci_med	2.478478e-05
thetaI_last_obs_p_ci_up	4.669736e-05
thetaR_last_obs_p_ci_low	0.002285846
thetaR_last_obs_p_ci_med	0.00247598
thetaR_last_obs_p_ci_up	0.002672645
R0_p_mean	1.646087
R0_p_ci_low	0.6929499
R0_p_ci_med	1.501506
R0_p_ci_up	3.42633
gamma_p_mean	0.05217076
gamma_p_ci_low	0.006869432
gamma_p_ci_med	0.03733198
gamma_p_ci_up	0.1878159
beta_p_mean	0.07527585
beta_p_ci_low	0.009725923
beta_p_ci_med	0.05959578
beta_p_ci_up	0.2311757
incidence_mean	0.006791088
incidence_ci_low	2.322041e-05
incidence_ci_median	0.0001613634
incidence_ci_up	0.03845653
thetaI_tp1_mean	0.001654305
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.009119942
thetaR_tp1_mean	0.005507979
thetaR_tp1_ci_low	0.0004464049
thetaR_tp1_ci_med	0.0025053
thetaR_tp1_ci_up	0.01629028
Y_tp1_mean	0.001654058
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.009120329
R_tp1_mean	0.005508156
R_tp1_ci_low	0.0004378277
R_tp1_ci_med	0.002505231
R_tp1_ci_up	0.01631736
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.006950605
thetaR_max_ci_low	0.0003708443
thetaR_max_ci_med	0.002499173
thetaR_max_ci_up	0.02478239
cumInf_mean	0.00907578
cumInf_ci_low	0.0003718435
cumInf_ci_med	0.002517507
cumInf_ci_up	0.04059506
dthetaI_tp1_date	06/14/21
first_tp_mean	01/09/21
first_tp_ci_low	12/12/20
first_tp_ci_med	12/27/20
first_tp_ci_up	06/29/21
dthetaI_tp2_date	06/14/21
second_tp_mean	01/11/21
second_tp_ci_low	12/14/20
second_tp_ci_med	12/28/20
second_tp_ci_up	06/29/21
end_p_mean	03/05/21
end_p_ci_low	01/29/21
end_p_ci_med	02/11/21
end_p_ci_up	06/29/21
begin_str	12/12/2020
